rollout_index,start_idx_standard,start_idx_candidate,matched_start_idx,standard_failed,candidate_failed,standard_final_drift_eV,candidate_final_drift_eV,standard_abs_final_drift_eV,candidate_abs_final_drift_eV,abs_final_drift_delta_eV,standard_max_abs_drift_eV,candidate_max_abs_drift_eV,max_abs_drift_delta_eV,better_abs_final_drift,better_max_abs_drift,json_path,plot_path
0,190585,190585,190585,False,False,15.5625,11.875,15.5625,11.875,-3.6875,27.0,28.0,1.0,Physics,Standard,results/rollout_comparison/per_rollout/rollout_000/rollout_comparison.json,results/rollout_comparison/per_rollout/rollout_000/rollout_drift_comparison.png
1,192702,192702,192702,False,False,1.875,2.5625,1.875,2.5625,0.6875,12.625,14.4375,1.8125,Standard,Standard,results/rollout_comparison/per_rollout/rollout_001/rollout_comparison.json,results/rollout_comparison/per_rollout/rollout_001/rollout_drift_comparison.png
2,194819,194819,194819,False,False,-1.75,-4.5,1.75,4.5,2.75,13.1875,13.25,0.0625,Standard,Standard,results/rollout_comparison/per_rollout/rollout_002/rollout_comparison.json,results/rollout_comparison/per_rollout/rollout_002/rollout_drift_comparison.png
3,196936,196936,196936,False,False,-3.0,3.1875,3.0,3.1875,0.1875,10.0,10.875,0.875,Standard,Standard,results/rollout_comparison/per_rollout/rollout_003/rollout_comparison.json,results/rollout_comparison/per_rollout/rollout_003/rollout_drift_comparison.png
4,199053,199053,199053,False,False,11.1875,-5.25,11.1875,5.25,-5.9375,13.625,13.75,0.125,Physics,Standard,results/rollout_comparison/per_rollout/rollout_004/rollout_comparison.json,results/rollout_comparison/per_rollout/rollout_004/rollout_drift_comparison.png
5,201170,201170,201170,False,False,-4.3125,-0.4375,4.3125,0.4375,-3.875,16.3125,14.5625,-1.75,Physics,Physics,results/rollout_comparison/per_rollout/rollout_005/rollout_comparison.json,results/rollout_comparison/per_rollout/rollout_005/rollout_drift_comparison.png
6,203287,203287,203287,False,False,-3.0,-2.8125,3.0,2.8125,-0.1875,16.875,14.75,-2.125,Physics,Physics,results/rollout_comparison/per_rollout/rollout_006/rollout_comparison.json,results/rollout_comparison/per_rollout/rollout_006/rollout_drift_comparison.png
7,205404,205404,205404,False,False,7.25,-4.625,7.25,4.625,-2.625,19.75,17.375,-2.375,Physics,Physics,results/rollout_comparison/per_rollout/rollout_007/rollout_comparison.json,results/rollout_comparison/per_rollout/rollout_007/rollout_drift_comparison.png
8,207521,207521,207521,False,False,-3.75,-16.0,3.75,16.0,12.25,21.1875,25.625,4.4375,Standard,Standard,results/rollout_comparison/per_rollout/rollout_008/rollout_comparison.json,results/rollout_comparison/per_rollout/rollout_008/rollout_drift_comparison.png
9,209638,209638,209638,False,False,13.75,9.5625,13.75,9.5625,-4.1875,24.0625,22.75,-1.3125,Physics,Physics,results/rollout_comparison/per_rollout/rollout_009/rollout_comparison.json,results/rollout_comparison/per_rollout/rollout_009/rollout_drift_comparison.png
