label,condition,t0_k,t_plateau_k,onset_idx,onset_time_fs,first_subfloor_idx_OO,first_subfloor_idx_OH,first_subfloor_idx_HH,first_any_subfloor_idx,first_any_subfloor_time_fs,verdict
waterbox_rollout,absolute,286.73914284698253,1914.2238597468227,11,55.0,20,1,1,1,5.0,short-range collapse PRECEDES heating onset - consistent with being the trigger
waterbox_rollout_momentum,momentum,286.73914284698253,2213.0363599779316,12,60.0,20,1,1,1,5.0,short-range collapse PRECEDES heating onset - consistent with being the trigger
waterbox_rollout_study/runs/water_absolute/cfg1,absolute,303.80742486120994,1225.597382929878,19,95.0,22,92,116,22,110.0,short-range collapse COINCIDES with heating onset - consistent with being the trigger
waterbox_rollout_study/runs/water_absolute/cfg2,absolute,303.80742486120994,1050.5338313724387,34,170.0,17,129,102,17,85.0,short-range collapse PRECEDES heating onset - consistent with being the trigger
waterbox_rollout_study/runs/water_absolute/cfg3,absolute,303.80742486120994,1247.96076361801,5,25.0,27,67,103,27,135.0,"short-range collapse FOLLOWS heating onset - looks like a downstream symptom, not the trigger"
waterbox_rollout_study/runs/water_absolute/cfg4,absolute,303.80742486120994,1535.0358987671584,7,35.0,14,92,102,14,70.0,"short-range collapse FOLLOWS heating onset - looks like a downstream symptom, not the trigger"
waterbox_rollout_study/runs/water_absolute/cfg5,absolute,303.80742486120994,1367.5110662838672,13,65.0,34,99,102,34,170.0,"short-range collapse FOLLOWS heating onset - looks like a downstream symptom, not the trigger"
waterbox_rollout_study/runs/water_absolute/vseed0,absolute,303.80742486120994,1898.5211457612963,9,45.0,17,1,1,1,5.0,short-range collapse PRECEDES heating onset - consistent with being the trigger
waterbox_rollout_study/runs/water_absolute/vseed1,absolute,299.9381048479943,2050.6579150348275,16,80.0,22,1,3,1,5.0,short-range collapse PRECEDES heating onset - consistent with being the trigger
waterbox_rollout_study/runs/water_absolute/vseed2,absolute,323.80145368338884,1867.8146255350068,9,45.0,20,1,1,1,5.0,short-range collapse PRECEDES heating onset - consistent with being the trigger
waterbox_rollout_study/runs/water_absolute/vseed3,absolute,311.0853550816985,2027.4738399794612,14,70.0,20,1,3,1,5.0,short-range collapse PRECEDES heating onset - consistent with being the trigger
waterbox_rollout_study/runs/water_absolute/vseed4,absolute,283.0512087954508,1899.9913846833556,13,65.0,16,1,1,1,5.0,short-range collapse PRECEDES heating onset - consistent with being the trigger
waterbox_rollout_study/runs/water_absolute+momentum/cfg1,momentum,303.80742486120994,1424.5616875337862,22,110.0,18,92,115,18,90.0,short-range collapse PRECEDES heating onset - consistent with being the trigger
waterbox_rollout_study/runs/water_absolute+momentum/cfg2,momentum,303.80742486120994,1254.6410586913694,40,200.0,16,117,105,16,80.0,short-range collapse PRECEDES heating onset - consistent with being the trigger
waterbox_rollout_study/runs/water_absolute+momentum/cfg3,momentum,303.80742486120994,1441.4802204529394,13,65.0,23,66,72,23,115.0,"short-range collapse FOLLOWS heating onset - looks like a downstream symptom, not the trigger"
waterbox_rollout_study/runs/water_absolute+momentum/cfg4,momentum,303.80742486120994,1626.5701191226374,6,30.0,13,35,31,13,65.0,"short-range collapse FOLLOWS heating onset - looks like a downstream symptom, not the trigger"
waterbox_rollout_study/runs/water_absolute+momentum/cfg5,momentum,303.80742486120994,1548.6269087792687,14,70.0,32,47,46,32,160.0,"short-range collapse FOLLOWS heating onset - looks like a downstream symptom, not the trigger"
waterbox_rollout_study/runs/water_absolute+momentum/vseed0,momentum,303.80742486120994,2270.0780275473235,19,95.0,15,1,3,1,5.0,short-range collapse PRECEDES heating onset - consistent with being the trigger
waterbox_rollout_study/runs/water_absolute+momentum/vseed1,momentum,299.9381048479943,2533.010647375176,23,115.0,14,1,3,1,5.0,short-range collapse PRECEDES heating onset - consistent with being the trigger
waterbox_rollout_study/runs/water_absolute+momentum/vseed2,momentum,323.80145368338884,2264.4165232746523,14,70.0,18,1,4,1,5.0,short-range collapse PRECEDES heating onset - consistent with being the trigger
