step,time_fs,temperature_k,min_dist_O-O,n_below_floor_O-O,min_dist_O-H,n_below_floor_O-H,min_dist_H-H,n_below_floor_H-H
0,0.0,286.73914284698253,2.6029534726513144,0,1.0623895514770993,2,1.3689245149207059,2
10,5.0,547.6596719005985,2.6268720374488534,0,0.8026132334505118,3,0.8153942293678493,12
20,10.0,895.4604961984521,2.5902974888525954,0,0.6091165492164174,5,0.8659845646868751,26
30,15.0,998.0893807311938,2.5531457728812867,0,0.20947449629095674,4,0.7596729982839745,42
40,20.0,979.7714029421772,2.5210205021037404,2,0.5085712848463043,4,0.7818699781950396,32
50,25.0,1053.992405117368,2.500129248111974,2,0.6334798758655145,4,0.8454970130785917,36
60,30.0,952.7561983612735,2.4666976115443706,4,0.4350653217240324,4,0.8625242740094976,46
70,35.0,1028.2626027653173,2.4233617273283827,8,0.4083877646352448,5,0.8467735132682774,42
80,40.0,931.0061821468602,2.3774566524595078,14,0.27926204420373574,8,0.7487328501715699,42
90,45.0,973.6686961208419,2.3368063460230335,20,0.6623737587497481,8,0.6200007619269913,32
100,50.0,963.9545866785145,2.25956345250527,24,0.842701093326878,10,0.8784244961195039,48
110,55.0,1117.8207015629448,2.2329204900785373,28,0.8898933477129809,9,0.8200256795167589,40
120,60.0,1059.710321610299,2.1852929506793415,30,1.025066068252344,9,0.5880780867072328,40
130,65.0,1014.5951341618174,2.1886250082675875,28,0.9915003846915951,10,0.6219889418873161,52
140,70.0,1003.9991040861681,2.172668648613046,28,0.8656704763186474,10,0.45829961679174813,44
150,75.0,1009.6879839723873,2.074938642549066,30,0.9092026885129358,9,0.2831004551866678,50
160,80.0,1131.978328316709,2.023335302914772,28,0.7291189537177188,7,0.6800264354925009,52
170,85.0,1073.53315854046,1.9572826695653112,32,1.0384058086105326,10,0.7122783420416869,52
180,90.0,1103.0401562351256,1.9014639742891282,34,0.7956079165778647,9,0.12185772846455505,70
190,95.0,1154.3073720928785,1.8147642677599336,36,1.0185683971712196,10,0.618166288230491,64
200,100.0,1095.5487097862415,1.7607075376352455,36,0.7958884606651954,11,0.7893355071185292,64
210,105.0,1284.8302320910939,1.6894259182168385,40,1.0452513856629397,10,0.7818944010923123,58
220,110.0,1357.161250004736,1.6627509320165372,42,0.8456397339185685,11,0.3504786794783522,70
230,115.0,1328.0661802655786,1.6397290018153738,44,0.9972947034013226,10,0.37338624909182816,72
240,120.0,1336.0210822813067,1.6253199799629907,44,0.8951343119168123,8,0.39570956277882563,70
250,125.0,1336.9181658855407,1.6742746149623589,46,0.7519662974815318,9,0.29648764410303413,80
260,130.0,1347.2035534104166,1.6464170068122443,50,0.8818548410747146,8,0.6776284637228891,70
270,135.0,1311.6326470435297,1.5699735316761243,52,0.9017751421534156,11,0.6566286092696884,68
280,140.0,1338.6319931544579,1.5296037355322556,44,0.9919132835147741,13,0.8054363867356673,68
290,145.0,1378.688410592309,1.4825421650788275,44,0.9244398105017005,10,0.5959304966640927,66
300,150.0,1332.4999004707654,1.4615386178880563,46,0.9437881867390175,11,0.3649836255080715,80
310,155.0,1439.0264961035227,1.4978451876186147,44,0.9153619022354582,13,0.7484883830840543,78
320,160.0,1436.2851863157832,1.5697498150816234,50,0.9921541330407906,13,0.7793136139689315,86
330,165.0,1396.1643414651899,1.5711811053086697,56,0.8197870546893778,13,0.8358662398774073,80
340,170.0,1386.714945755286,1.6095197772630936,54,1.0266212433524808,11,0.7724263737725398,82
350,175.0,1461.9185953954966,1.6059241876725279,56,0.8634856798089932,11,0.8368419779313764,88
360,180.0,1475.6986245838766,1.594837012333925,56,1.0265325210013483,12,0.8388644050308386,90
370,185.0,1584.0691070299142,1.6219813141983133,54,0.8995186614619435,10,0.7708910580265363,88
380,190.0,1533.6478489560388,1.6168015892898058,52,1.0066693823590733,11,0.8461511542572795,96
390,195.0,1498.035553399971,1.5848845973121928,58,0.9398062617449487,12,0.8175165353954866,92
400,200.0,1667.9538337298393,1.5556832999593186,56,0.9279504372701668,12,0.7172781307518723,102
410,205.0,1500.1159368212059,1.609569566575453,52,1.0091719148001355,12,0.658985893078773,98
420,210.0,1549.114877053448,1.6556188277095618,54,0.7941127624467895,12,0.8046543528493382,96
430,215.0,1623.594301553217,1.6320573441669062,56,0.9721998052634373,11,0.808627634060206,100
440,220.0,1698.3771414735122,1.610860697423621,54,0.9404007303940108,9,0.8165964534856491,102
450,225.0,1575.8538446191112,1.5830818710204846,54,0.9569597604695094,9,0.8072102972958378,104
460,230.0,1634.8890986792046,1.5590465939581106,52,0.7830222694547689,9,0.8311060666400061,106
470,235.0,1659.849132231367,1.575602659045878,54,0.9768207870713889,8,0.8084167754166203,100
480,240.0,1684.0269820449432,1.5717166338260224,46,0.9284238490781344,7,0.7926827530502885,100
490,245.0,1503.1032502455473,1.5451603179263778,42,0.8229544627139083,6,0.8230132175157647,106
500,250.0,1681.5069351140341,1.5505989230558734,48,0.9679450055944664,10,0.820972587438173,104
510,255.0,1686.4523643987054,1.5426298429157148,50,0.9505426739530726,8,0.8209233977021707,106
520,260.0,1746.026439029949,1.4803035261345394,56,0.9647990967479698,10,0.7798680533334303,104
530,265.0,1829.197993214755,1.4710336756041382,56,0.9332522142788782,11,0.8170334850379051,108
540,270.0,1758.8667877649036,1.4831856255409905,58,0.937602454235107,8,0.7841407956265191,102
550,275.0,1586.5074356659852,1.5454191808756956,58,0.9037406299443037,8,0.7987330994420004,102
560,280.0,1595.8046881465805,1.6182739679927545,54,0.8718541859596902,10,0.7667550472250205,108
570,285.0,1723.0932229191512,1.5689549487324692,58,0.9948663704169111,10,0.7746357133818583,108
580,290.0,1610.1157274976126,1.4973716337998548,54,0.8952761947217469,14,0.8310624796813498,110
590,295.0,1702.1471061605162,1.4751719050401797,54,0.8340230452261781,12,0.753795847554034,106
600,300.0,1692.3119036979817,1.4627945625404102,56,0.8318510684023483,13,0.8055083580632993,110
610,305.0,1755.9770187882657,1.482310814896118,52,0.983644086751396,11,0.7672157848007667,112
620,310.0,1744.1237464562578,1.5333222009725036,56,0.8716756984419337,14,0.8145796347214818,108
