step,time_fs,temperature_k,min_dist_O-O,n_below_floor_O-O,min_dist_O-H,n_below_floor_O-H,min_dist_H-H,n_below_floor_H-H
0,0.0,286.73914284698253,2.6029534726513144,0,1.0623895514770993,2,1.3689245149207059,2
10,5.0,609.9508283918099,2.625541320149161,0,0.8042141931738308,3,0.9040234331059246,10
20,10.0,934.1212265374448,2.5848150818355355,0,0.5077991846758665,6,0.8419033168487018,18
30,15.0,1013.3334339951247,2.549774204733447,0,0.3208578026161059,4,0.6737345354728348,34
40,20.0,998.0323279269746,2.529964719497102,0,0.20413850542479103,5,0.7899384425321118,30
50,25.0,961.5619147105723,2.5038541793022526,2,0.5012651848655153,4,0.6297927321077954,38
60,30.0,943.7825632573235,2.449245085679676,4,0.7010736106959194,4,0.621858641857971,36
70,35.0,1051.1964971577188,2.396079978085768,10,0.9393601082459647,6,0.4129155639582896,42
80,40.0,1131.264581775995,2.362460842407539,16,0.769223008429575,8,0.8911170989782776,26
90,45.0,1077.691616839413,2.3312456969354414,18,0.5725385907844417,12,0.8790310104315953,36
100,50.0,1165.248606986116,2.2736731599675615,24,0.9368848051433731,10,0.45090042239543104,40
110,55.0,1167.3188920120099,2.2119229443923913,28,1.018480380885143,14,0.42651666544560596,50
120,60.0,1296.6990671631613,2.163370480365919,32,0.8220527535871073,11,0.6469497504884372,52
130,65.0,1205.0890029618045,2.131351890634233,40,1.0478187963227534,10,0.6265070119979524,48
140,70.0,1121.5874289592166,2.08037544012559,40,0.8293578593103917,11,0.3516070425408563,50
150,75.0,1214.4360129668125,2.0785171038639025,42,0.8381723754346513,11,0.3667366181972717,56
160,80.0,1312.1413552514236,2.023354971546174,40,0.9398767476106575,10,0.26046646691949904,50
170,85.0,1310.573440830691,1.9504577561871608,48,1.0006063479441634,15,0.13793522294658553,54
180,90.0,1334.0755457634486,1.875036353085993,46,0.9105647567230636,12,0.4085505411000375,64
190,95.0,1438.0187889969795,1.7846918169644943,50,0.7843846170704525,15,0.4189886557692798,62
200,100.0,1300.2872531096575,1.6669703175177601,54,0.8507687373368218,15,0.13706334728104272,66
210,105.0,1289.9408780758047,1.5823771836372131,58,0.9420302104767972,16,0.5881477146455705,70
220,110.0,1387.6388997441936,1.5098048261625052,56,0.8127007716544716,12,0.7651874062241129,66
230,115.0,1421.6797725639133,1.5064880726786791,52,0.9921136525122896,13,0.8221911492254443,66
240,120.0,1363.1494786636988,1.5552280708320425,58,0.9489143522512982,13,0.5016514799541106,76
250,125.0,1643.1052734050527,1.6186050432741852,52,0.9300885836718715,11,0.7847154860066232,78
260,130.0,1580.5171121698174,1.6664506065760099,52,0.9119952391841896,14,0.76259035968128,86
270,135.0,1628.39636570518,1.6349549381572126,52,0.9461115829741783,17,0.7878358011953189,88
280,140.0,1669.9309837233607,1.617134478881576,56,0.9448529670658301,18,0.8143866127542572,92
290,145.0,1800.1948359422156,1.6268669894554728,62,0.8409091439842973,21,0.7563265547405905,88
300,150.0,1830.9563148157781,1.656836946686772,68,0.8596527408138827,19,0.7785295023672119,90
310,155.0,1875.4622581256358,1.6592136308268584,68,0.9701154026551798,20,0.7258265130003152,96
320,160.0,1779.6897694163313,1.6916409161539536,66,0.9525544721747583,15,0.7853660262217848,100
330,165.0,1835.291122613353,1.7238828566891211,64,0.8829404577615414,18,0.768356611744593,104
340,170.0,1797.630216082401,1.7300845497532606,70,0.9629766045360094,15,0.7662215184966054,102
350,175.0,1739.1806689280936,1.731061306873735,70,0.8845384852682393,17,0.8110176951155442,106
360,180.0,1886.3290669230373,1.687525818159423,72,0.9867094998306197,22,0.7646904655546172,106
370,185.0,1870.1937300144052,1.664458273280636,74,0.8979507671497553,19,0.37376349825436317,108
380,190.0,1994.6720731456458,1.6809782640661117,76,0.9581189718436809,24,0.3705329963482661,110
390,195.0,1949.0919275005265,1.6808225708118363,72,0.9153150827904494,19,0.6310038114984692,100
400,200.0,1949.1962075707308,1.5963315004697427,66,0.902032246529983,19,0.5032509419510625,110
410,205.0,1965.2695037378494,1.5278170388247179,76,0.9352700940775464,19,0.546234332225902,110
