step,time_fs,temperature_k,min_dist_O-O,n_below_floor_O-O,min_dist_O-H,n_below_floor_O-H,min_dist_H-H,n_below_floor_H-H
0,0.0,303.80742486120994,2.557475031445126,0,1.6258780162911413,0,1.7120915490823898,0
10,5.0,333.44688738657925,2.57092976326932,0,1.6259127129627113,0,1.7202094895477542,0
20,10.0,441.14903252336325,2.531356747095981,0,1.6292248075463296,0,1.7214470407705864,0
30,15.0,494.03087684874754,2.492677285696206,0,1.599289230354819,0,1.7557751918196274,0
40,20.0,526.1293980353928,2.4718046747805698,0,1.5740778239126227,0,1.7526078719781961,0
50,25.0,511.8785337992271,2.4523686013952015,0,1.5607119453606808,0,1.6807379625599623,0
60,30.0,521.4717361271386,2.42093120566376,0,1.5349827259460922,0,1.608358642659628,0
70,35.0,519.6368104978771,2.341638578792989,0,1.5541119269821035,0,1.680624024352601,0
80,40.0,549.1119782227934,2.2711308198702747,0,1.5133130065643179,0,1.7539342317972937,0
90,45.0,530.5808859765976,2.195204860009861,0,1.4487404491151121,0,1.718907258036678,0
100,50.0,564.5860705299942,2.1065270086239014,0,1.4203320151322516,0,1.7461986929651516,0
110,55.0,545.640888271731,2.016130306293238,0,1.3777498404534732,0,1.7086627270678343,0
120,60.0,559.2527195416882,1.9440141119468246,0,1.3795009738155193,0,1.724971631326082,0
130,65.0,557.3055249119521,1.8824691734111711,0,1.3612981298026943,0,1.6812222357882565,0
140,70.0,582.5525557409075,1.831546939877766,0,1.3890094966967692,0,1.6646884338102534,0
150,75.0,578.6086371271062,1.7739161646838773,0,1.4045554632905568,0,1.7748626713569078,0
160,80.0,541.7824087529997,1.7123500186805711,2,1.4113346349862455,0,1.7206561742968456,0
170,85.0,535.1873316192248,1.6609475700601484,2,1.3569564034733796,0,1.6798804504281044,0
180,90.0,579.2905997870988,1.6253158394681297,2,1.3944556527531038,0,1.7162363561693572,0
190,95.0,539.2965635030047,1.6082096293141646,4,1.390433156460663,0,1.6156658011337217,0
200,100.0,541.0300728529825,1.616392803163817,4,1.3634087054854755,0,1.6278219569593078,0
210,105.0,619.9590379213664,1.6678401001133174,4,1.4590743425972668,0,1.7071543185382965,0
220,110.0,608.6279026849721,1.6767350139795552,4,1.440053025744769,0,1.7725520477020602,0
230,115.0,624.9197944770825,1.676943670851457,2,1.3703571758769806,0,1.6761770662307411,0
240,120.0,623.5374884212806,1.680142848581139,2,1.363885759336833,0,1.7482565401920667,0
250,125.0,608.2811692774942,1.6928532938320837,2,1.3678426581930758,0,1.7147666523104546,0
260,130.0,650.0426658513059,1.6917728643655467,2,1.3152797403242529,0,1.6903120967726237,0
270,135.0,656.4334541471037,1.7033722002546823,4,1.3593639411608611,0,1.7326763042202655,0
280,140.0,676.245221579188,1.6574183606508712,4,1.4112539250086544,0,1.752214484479482,0
290,145.0,661.0735274985485,1.6363432706146583,6,1.3950224056837257,0,1.7636107980042905,0
300,150.0,627.395980852508,1.6113047816373234,6,1.4142695243759402,0,1.7642719000522704,0
310,155.0,684.3878839955422,1.6230099888153702,6,1.4318398771040994,0,1.7667785940882077,0
320,160.0,645.3581382416197,1.6148164597148453,6,1.3416762811885263,0,1.5935189747758207,0
330,165.0,688.2734260490804,1.6360879688656986,6,1.3834668001913726,0,1.666270517293107,0
340,170.0,715.0221748930492,1.651782456260786,4,1.4103639950779197,0,1.7246318534689664,0
350,175.0,706.0055800398079,1.6795385053573588,4,1.3915638755468005,0,1.6863093242444758,0
360,180.0,690.5949925893032,1.695296389779942,2,1.3794097343537617,0,1.7170503175301726,0
