step,time_fs,temperature_k,min_dist_O-O,n_below_floor_O-O,min_dist_O-H,n_below_floor_O-H,min_dist_H-H,n_below_floor_H-H
0,0.0,299.9381048479943,2.6029534726513144,0,1.0623895514770993,0,1.3689245149207059,0
10,5.0,552.0507034919415,2.63709706470917,0,0.8048718250446675,1,1.0791187407064606,0
20,10.0,861.7478507562314,2.6279078803672093,0,0.45099045350392847,2,1.391121002703219,0
30,15.0,1017.9905176057513,2.610209696240786,0,0.36267992730213405,3,0.7677863650650943,2
40,20.0,855.3548939562259,2.5991977395058736,0,0.6238176625792702,1,0.37896557162546834,6
50,25.0,924.091283054208,2.5099663795960843,0,0.26808075109948454,2,1.0037936768531968,0
60,30.0,1036.549699534151,2.4336401259974165,0,0.669312486713899,2,0.727342044204719,2
70,35.0,892.912962668857,2.332855085080842,0,0.9543329597090293,1,1.0411808132928393,0
80,40.0,977.8000250110704,2.2536796898390574,0,0.8183829443666665,2,0.8569187816737988,4
90,45.0,1074.888871712077,2.1646094961186555,0,0.9770252892547233,0,0.9816990879483638,0
100,50.0,1048.4732448150428,2.08269601049832,0,0.9049564819613949,1,0.8642627983971428,4
110,55.0,1198.3831785545324,1.9848726848826777,0,0.7851423054557016,1,0.8853395018955817,2
120,60.0,1127.614187671666,1.879933543501607,0,0.9054723761343261,1,0.8651534078140091,2
130,65.0,1198.3151860556577,1.7782740059675022,0,1.1006308753409226,0,0.8610533228804952,2
140,70.0,1197.6458872065082,1.6369769941422976,2,0.8575193396879403,1,0.895636822193184,2
150,75.0,1233.4510122849092,1.522819583043658,2,0.8691141247025058,2,0.8634017047031107,6
160,80.0,1211.0406802347443,1.5434949352940872,2,0.7782176990904126,2,1.1020442378358142,0
170,85.0,1245.1866677605522,1.6088500617745745,2,1.0236542882992528,0,0.9232475300803824,0
180,90.0,1204.554089194037,1.6537480030248883,2,0.760549315421252,4,0.8309010586650176,4
190,95.0,1246.9394431339242,1.7030934917778162,4,0.9937085595974742,0,0.8365488798833998,2
200,100.0,1265.443159124296,1.6188385508898608,4,0.8859246725976129,1,0.7983579597511865,4
210,105.0,1378.733915109886,1.5771514298439817,4,0.9389440252852244,1,0.5549133007577377,6
