step,time_fs,temperature_k,min_dist_O-O,n_below_floor_O-O,min_dist_O-H,n_below_floor_O-H,min_dist_H-H,n_below_floor_H-H
0,0.0,303.80742486120994,2.530130578054404,0,1.411982817292767,0,1.8068862713409073,0
10,5.0,531.4091676104889,2.519051647376462,0,1.5636649599745485,0,1.8797919536276222,0
20,10.0,505.2783316847782,2.486356097262527,0,1.5091030139603816,0,1.7791343348017135,0
30,15.0,620.2639982420362,2.483439865706422,0,1.5845249646535637,0,1.7978990918093942,0
40,20.0,629.6853263161972,2.4630016415623346,0,1.5447103283106156,0,1.8578519454163154,0
50,25.0,609.261381569019,2.4167692148908415,0,1.5196469083432538,0,1.7978847933037336,0
60,30.0,684.8022576887132,2.352130373784887,0,1.5816567527049825,0,1.724496933440019,0
70,35.0,682.9513572589248,2.30226844607334,0,1.494834187772038,0,1.7920818604141258,0
80,40.0,738.1196418495844,2.2820344325770994,0,1.5118645223954006,0,1.739822871297238,0
90,45.0,675.6251545453151,2.2594771434714396,0,1.4701185044609055,0,1.8507010805847026,0
100,50.0,719.9167298644604,2.185979392919778,0,1.5152661312501212,0,1.7980735355909374,0
110,55.0,666.7822435931428,2.1297465028081435,0,1.4239760853110546,0,1.7063508948411696,0
120,60.0,705.2210083645505,2.06223540678668,0,1.3967599036878915,0,1.7014899535843067,0
130,65.0,650.7605874552139,2.018396103909216,0,1.319323652172324,0,1.7110391594452403,0
140,70.0,729.0654219461983,1.9619039533570033,0,1.4301323181798167,0,1.6394619396814227,0
150,75.0,706.8466675277024,1.9334153010563155,0,1.3793629243593029,0,1.677686291805552,0
160,80.0,666.1718057972953,1.9083864591229491,0,1.3840140357271147,0,1.755287935373616,0
170,85.0,669.7575080798294,1.8934056599248918,0,1.4262466975074375,0,1.769708527695523,0
180,90.0,709.5793755784049,1.8718901643413954,0,1.430304736437904,0,1.7781995745072958,0
190,95.0,802.0333030954826,1.8420408900807859,0,1.259869783729885,0,1.8543503746526568,0
200,100.0,714.6980002697001,1.8183489716716539,0,1.321611496480066,0,1.8017122639665921,0
210,105.0,718.9104358565352,1.7756235358921706,0,1.340582434457432,0,1.7901939508722293,0
220,110.0,682.3464406079034,1.717687720081186,2,1.2620673091803278,0,1.7239142474953937,0
230,115.0,721.5622961126735,1.6438618231612894,2,1.3732267391485111,0,1.7226525735316525,0
240,120.0,677.8613487759145,1.6032644185258254,2,1.4261196291833025,0,1.7243013541490049,0
250,125.0,678.9019714812479,1.5996001335449672,2,1.3471255520686756,0,1.749097119436076,0
260,130.0,683.6668191101988,1.6249357858939022,4,1.3303890905256297,0,1.753423771081127,0
270,135.0,662.4310613321599,1.6361456702612014,4,1.3817397081266003,0,1.7722803270537764,0
280,140.0,732.3822257069733,1.5693217754139168,4,1.2981216499910182,0,1.6799565109289367,0
290,145.0,757.6270604813506,1.5469759064432511,2,1.3221102772296311,0,1.8021211975640883,0
300,150.0,755.1113002502228,1.5957937335294283,2,1.4526724694969795,0,1.7049143175471508,0
310,155.0,744.2700700803856,1.678238090679229,2,1.4254612463094478,0,1.7685543409209823,0
320,160.0,763.1844311983408,1.7415404293269618,2,1.2930200117485304,0,1.6923217480453236,0
