step,time_fs,temperature_k,min_dist_O-O,n_below_floor_O-O,min_dist_O-H,n_below_floor_O-H,min_dist_H-H,n_below_floor_H-H
0,0.0,299.9381048479943,2.6029534726513144,0,1.0623895514770993,0,1.3689245149207059,0
10,5.0,564.485527004865,2.6255955229354218,0,0.8244970642990532,1,0.9311349285998352,0
20,10.0,856.604647152341,2.5873115434275618,0,0.9741382030517195,1,1.6715862583962382,0
30,15.0,952.6014408208648,2.5269025326629437,0,0.7649301498813028,2,1.446605349039948,0
40,20.0,774.8089373184074,2.4691778409737615,0,0.8864568223423361,1,0.875309797500505,2
50,25.0,774.2492099379729,2.4145504423234634,0,1.037793274822153,0,0.7692007473984261,2
60,30.0,797.0199195896531,2.3337565547685832,0,0.8510266869784896,1,0.9291774485690604,0
70,35.0,808.0238689755814,2.2860677784651067,0,1.1561036171923875,0,0.9492518069239992,0
80,40.0,933.3326386897465,2.27178581066288,0,0.8685599611530909,3,1.0874659214237103,0
90,45.0,832.4529658349384,2.1955694911678627,0,1.0420599906116341,0,1.6241236256211755,0
100,50.0,946.3069785313967,2.093760278651033,0,0.8713132271255846,2,1.1821602237307536,0
110,55.0,835.4791470127105,2.0028452942366046,0,0.9770495335575206,0,1.2963455083031215,0
120,60.0,852.0668052558646,1.9136858468345075,0,0.8791402785715942,1,0.8552233299339284,2
130,65.0,848.5865544668707,1.8471441005572173,0,0.9481670167412556,1,0.8791076448413842,2
140,70.0,864.6674359602165,1.7815044400621578,0,0.9251356763464043,3,0.820588763961313,2
150,75.0,937.8863092161605,1.722360883221123,2,0.8852773019489066,1,0.7775339545214542,2
160,80.0,837.2304890232066,1.686755828728117,2,0.8695514050317767,1,1.1121616609233476,0
170,85.0,939.1124166602389,1.6800043665668685,2,0.9179519725883137,2,1.3981166210384504,0
180,90.0,871.9988263894403,1.6944357224549127,2,1.045758858733544,0,1.242504982766467,0
190,95.0,873.5425098338276,1.7109909853607141,2,0.870956672183504,3,0.8913375220599281,2
200,100.0,855.0185644316759,1.7421580635533844,2,1.0719280583593882,0,1.4899860432054206,0
210,105.0,888.8322337348147,1.7984041718693013,0,0.8718925320277413,4,1.1647150200757594,0
