step,time_fs,temperature_k,min_dist_O-O,n_below_floor_O-O,min_dist_O-H,n_below_floor_O-H,min_dist_H-H,n_below_floor_H-H
0,0.0,303.80742486120994,2.557475031445126,0,1.6258780162911413,0,1.7120915490823898,0
10,5.0,432.14004328625964,2.5646202383083065,0,1.589280787436459,0,1.6665934555130792,0
20,10.0,554.8396162882657,2.5357068310367663,0,1.6114218919297827,0,1.824687724730555,0
30,15.0,574.5318329005272,2.5047606493287224,0,1.6241381292897625,0,1.6535650859026858,0
40,20.0,535.7242626181759,2.475870555783931,0,1.6044648755124216,0,1.6919406896889178,0
50,25.0,496.87650326039744,2.4375148680326295,0,1.5329379635993705,0,1.6630677479062321,0
60,30.0,516.2504113021597,2.397790231655337,0,1.5930867684027818,0,1.7913448694049534,0
70,35.0,557.5034043309907,2.373446148539542,0,1.5280699540673657,0,1.775014359885827,0
80,40.0,561.2931696312171,2.381130704497783,0,1.5093499882813355,0,1.7980228032287005,0
90,45.0,559.0099128162466,2.358175888074749,0,1.4636798953531387,0,1.7444189583284118,0
100,50.0,557.7876424088955,2.3194858291874545,0,1.4751685322714594,0,1.5947730325745975,0
110,55.0,555.1089832444609,2.262799793234174,0,1.442204603089607,0,1.532543616472257,0
120,60.0,533.1170150048963,2.2023770206279307,0,1.4493326299380493,0,1.3979009371278286,0
130,65.0,564.683207861587,2.1423180269774966,0,1.3457376948366144,0,1.4223539762249413,0
140,70.0,551.9222539496374,2.106761095236019,0,1.3590112856330312,0,1.4515050289975588,0
150,75.0,588.5285413807899,2.088802365646151,0,1.368580437268714,0,1.5291167962723144,0
160,80.0,541.8861836086714,2.086678602485486,0,1.3077761171571287,0,1.7501411621535392,0
170,85.0,579.4407669679154,2.086380750043841,0,1.3000640787073505,0,1.702147177608656,0
180,90.0,574.901962728934,2.11887964798154,0,1.337790826599012,0,1.7384760090879623,0
190,95.0,596.7524346545276,2.1355572150999023,0,1.4496241415353246,0,1.6182678968798503,0
200,100.0,575.3145153466429,2.1457196549419937,0,1.3765549828615842,0,1.6959078083904984,0
210,105.0,587.1749171915171,2.1486690190944873,0,1.462797642525883,0,1.7251098740843476,0
220,110.0,558.3812661155891,2.159505877700806,0,1.46871447952859,0,1.684097680011359,0
230,115.0,549.4092873305631,2.17422244521962,0,1.5080981444226889,0,1.6378914726118619,0
240,120.0,544.7941294935979,2.202178351984127,0,1.4088063184111115,0,1.5844197153737314,0
250,125.0,577.1922360174806,2.1932204967841713,0,1.4878151348011779,0,1.4794416300127795,0
260,130.0,602.208304798683,2.1977008433931444,0,1.4358681886009277,0,1.6536884816122006,0
270,135.0,619.6463010175361,2.222996960833429,0,1.5011862895368464,0,1.5216550640943738,0
280,140.0,584.7819190423833,2.2628269702069033,0,1.4908326807532775,0,1.5917811965356718,0
290,145.0,585.5333934224283,2.244904651366128,0,1.4344906698491504,0,1.7880126519296067,0
300,150.0,575.1742852043436,2.2484859220809277,0,1.4561749082221662,0,1.8101234860048252,0
310,155.0,587.4365004497084,2.241706934354509,0,1.4484154476030446,0,1.5913921580368475,0
320,160.0,589.0814842778099,2.179563998707289,0,1.4433675134128279,0,1.4606145370027355,0
