step,time_fs,temperature_k,min_dist_O-O,n_below_floor_O-O,min_dist_O-H,n_below_floor_O-H,min_dist_H-H,n_below_floor_H-H
0,0.0,283.0512087954508,2.6029534726513144,0,1.0623895514770993,0,1.3689245149207059,0
10,5.0,624.7074572240907,2.5675403643159833,0,0.927228337591235,1,0.8865081341524671,2
20,10.0,900.1196530809649,2.5457581797959468,0,0.8922674388410955,1,1.5197358794975087,0
30,15.0,900.3953051830222,2.5374815197517337,0,0.7887782976279952,1,1.369097095939489,0
40,20.0,850.1056119830705,2.5429761435764564,0,0.8668289401944438,2,1.1751983154748467,0
50,25.0,753.1440401635872,2.5829199933364917,0,1.1094638704516528,0,1.1955030917387386,0
60,30.0,822.5994625556815,2.498973034551717,0,0.9407488432326347,1,1.0334976621901262,0
70,35.0,856.8505583499294,2.408370672117423,0,1.1018463980526347,0,0.8333930710210468,2
80,40.0,902.6257252718087,2.3398534620359923,0,0.8973735376695268,2,0.9662852645235663,0
90,45.0,797.737774043172,2.286411694020642,0,0.8795405115507487,1,0.7287477430586635,2
100,50.0,870.6013637635558,2.2561728599122923,0,0.8662154518261382,3,0.8894485926080002,2
110,55.0,890.8342312867884,2.2447342425732146,0,0.9364119605074858,1,1.074532183579932,0
120,60.0,921.2478376276109,2.2091111342087633,0,0.8534453856541151,2,0.9155190292449984,0
130,65.0,927.1663597988147,2.1638645242425802,0,0.9638276160530082,1,0.9140313552997061,0
140,70.0,875.8130330085328,2.1127778946520115,0,0.8964315335911246,1,0.9399164678500331,0
150,75.0,909.0818416785316,2.06432686091669,0,1.040000538369873,0,0.9780000191192664,0
160,80.0,862.2997881652988,2.027931188671093,0,0.8774280802257897,1,0.9779962567486665,0
170,85.0,915.5507461785244,2.000621568834961,0,0.8158279911943943,1,0.9548086316085379,0
180,90.0,995.3636676786269,1.9842049689210102,0,0.8729662320664205,1,0.8493031538297603,2
190,95.0,886.4241584423195,1.8909521350172747,0,1.0144137348265074,0,0.9902348040010565,0
200,100.0,904.6434199224688,1.7536151982111916,2,1.059407998309116,0,0.7920085963000503,4
210,105.0,847.4700722292307,1.6337939106160428,2,0.9113249257841931,1,0.9672486627591664,0
220,110.0,919.5985782851415,1.5491417221150623,2,0.8712825996204535,1,0.9295245025867365,0
230,115.0,904.3567894470007,1.4738845987681493,2,0.9610115622284993,1,0.9291517625659022,0
240,120.0,875.1163114033878,1.4004355622077018,4,0.9961451874867734,0,0.8542508039551804,2
250,125.0,829.020285257941,1.3353553377317269,4,0.8419169357623221,2,0.8126308309588116,2
260,130.0,867.5294611766781,1.3102157011607212,4,1.0541561410641165,0,0.9042203711194998,2
270,135.0,900.0398905798296,1.3251093723125038,4,0.8772353638728856,1,0.8485664679117426,2
280,140.0,860.2924306239756,1.372706445649211,4,0.9144991653618734,2,1.0166829022727049,0
290,145.0,869.1535482904976,1.4295613007619095,4,0.8849993211511109,2,0.9727139623513973,0
300,150.0,837.8759348417271,1.5005691297129162,4,0.8415428962408668,2,0.8608316982308656,4
310,155.0,850.4007087538845,1.504703888916826,6,0.8613246801183307,2,0.9659473945312622,0
320,160.0,883.7455159392907,1.4862337232834257,6,0.9414088461847357,1,1.0288416351174867,0
330,165.0,877.4954581100934,1.4707312733398075,4,0.869550149936462,2,0.89754194343069,2
340,170.0,962.7625703826048,1.4371312469926871,4,0.839935942620649,3,0.9488373265765617,0
350,175.0,883.4795419276808,1.3798504515277696,4,0.9612714865545748,1,0.9005629164294194,2
360,180.0,927.8444746705719,1.354364496483531,4,0.8946565565467445,2,0.8582617301923545,2
370,185.0,970.9879395594064,1.3639689644337094,4,0.9752679907717544,0,1.0856466761199621,0
380,190.0,965.3417750809714,1.3954607380162203,4,0.8652071049568669,1,0.8506118696876871,4
390,195.0,865.243510279342,1.439550167249189,4,0.9048885996458105,2,0.8491291366408612,2
400,200.0,937.1960867156528,1.4925042496430443,4,0.9123606868462615,3,0.9418032930357138,0
410,205.0,841.8349096003494,1.5438527759205865,4,0.8829804521000849,3,0.8134536506765099,2
420,210.0,903.14890691346,1.6126373227195867,4,0.8712171088682406,3,0.9878878240483779,0
430,215.0,853.5892964696887,1.67190887294897,2,0.9356914353957028,2,0.8757938382580926,2
440,220.0,931.3033025382646,1.73699210516586,2,0.9217008716554967,3,0.8924090520343853,4
450,225.0,873.0988007173751,1.7851569031085721,0,0.9178056563297765,2,0.8778022050174478,2
460,230.0,937.58508261304,1.7629056735888347,2,0.8858619601281394,2,0.930401761447751,0
470,235.0,897.1821681655432,1.7200376697574211,4,0.8598543261777987,3,0.9644591992788104,0
480,240.0,935.9122624455866,1.702930380918945,4,0.8571791577396876,1,0.9352788189603823,0
490,245.0,896.898100019805,1.6927792727226374,6,0.9258791137494178,3,0.9629294910839887,0
500,250.0,907.0681031343481,1.6582585173311297,6,0.9097282534606377,2,0.8799582758782174,4
510,255.0,883.0377554726532,1.6257405714924655,6,0.9022559888958046,2,1.0287733138022137,0
520,260.0,868.5393331430753,1.6363278596127135,6,0.8319446266338097,2,0.902871841949381,2
530,265.0,946.5016285586786,1.651675105790761,4,0.902680827102481,3,0.9206261355642384,0
540,270.0,985.4514395291603,1.670109222792141,4,0.8808389011495452,1,0.9402819919219192,0
550,275.0,960.1995305396332,1.7040138806243912,2,0.8858941043498185,3,0.9031253035642334,2
560,280.0,912.7642775191822,1.76114040703204,2,0.9514329642860445,2,1.0235769906146193,0
570,285.0,882.7667658272125,1.8380026129541498,0,0.8014366577254118,2,0.8677822079891097,4
580,290.0,864.9285868443098,1.8834695243165707,0,0.8465970906395411,2,0.934688616557553,0
590,295.0,894.1531999199552,1.9401013377371672,0,0.874740078531806,4,0.9384147363462109,0
600,300.0,893.6354360188243,1.987974785423349,0,0.8929759183926083,2,0.8329649720219043,2
610,305.0,944.8967295529284,2.0618038892451227,0,0.8436636493042742,4,0.9283775018642827,0
620,310.0,838.5205401965968,2.0018501053852176,0,0.893102186643955,2,0.9935221339367402,0
630,315.0,913.7412169062762,1.890149870377328,0,0.886351260495994,2,0.9638998412957053,0
640,320.0,899.3797116713108,1.7848166513222197,0,0.9412065291160231,1,0.9240270445363805,0
650,325.0,849.9955017226021,1.7219793726315529,2,0.9085672377700316,4,1.0091097113520318,0
660,330.0,915.3912221030344,1.6978008133485996,2,0.9562859402835132,1,0.9006791344611359,2
670,335.0,929.5456129847391,1.7150185355123666,2,0.8977090167721876,4,0.8827163811958233,2
680,340.0,865.5177409597708,1.7433181862261362,2,0.9610707439182294,3,0.9535659230950398,0
690,345.0,866.6792271818867,1.784265752910191,0,0.9383646798063656,3,0.9015119355399338,2
700,350.0,864.2808953587343,1.836280791026018,0,0.9071630961288251,2,0.9064700390888683,2
710,355.0,877.5325408292077,1.8953214288671068,0,0.9020122669580883,3,0.8879652678459551,2
720,360.0,934.5147921686415,1.9134706133865576,0,0.9208840582323989,3,0.9677320189600301,0
730,365.0,887.5982865330918,1.9134761357508658,0,0.9235213906811134,3,0.9603032839482778,0
740,370.0,885.2754509105781,1.886480526292324,0,0.8908334653103013,3,1.0060335593784095,0
750,375.0,847.8221064288703,1.8535997712329364,0,0.8930503713771042,2,0.9273585654342501,0
760,380.0,871.3638307940485,1.7806170802155483,0,0.8668796154760541,4,0.9830720343558842,0
770,385.0,849.0489906184464,1.6809042802412546,2,0.9084576207676796,1,0.8932860613746637,2
780,390.0,842.5408830868009,1.612806941312549,2,0.9321406375160172,4,0.9583547657134591,0
790,395.0,915.9673583037508,1.5554806338493365,2,0.9128742175770563,3,1.0019370844867466,0
800,400.0,954.0703330652026,1.525502760080057,2,0.8508019254204002,5,0.9396323762606281,0
810,405.0,900.0141808387222,1.536993205977752,2,0.9023417714842694,3,1.057661964009455,0
820,410.0,931.5147882800726,1.5880833598968174,4,0.8627681074659167,3,0.9089097261146277,0
830,415.0,896.6880170060945,1.6457308226189304,4,0.8972909402744601,4,0.9685788961601377,0
840,420.0,914.0550810433302,1.6707452293878715,4,0.8861998254184639,4,1.007583994570277,0
850,425.0,939.0624195299621,1.6456226672364782,4,0.9700677736037953,2,0.9511662407971647,0
860,430.0,924.2829924306549,1.6218835303094081,4,0.8990558653124086,5,1.0330479398325005,0
870,435.0,933.157378070442,1.6082602641150092,6,0.9192885546140522,1,0.915986914243936,0
880,440.0,970.3154651178393,1.5918013648753877,6,0.8916054305752799,4,0.9163473379909459,0
890,445.0,937.3382417186807,1.572992308521384,6,0.9043139871097161,3,1.0360383936334001,0
900,450.0,907.535925893307,1.5404966217724094,8,0.9665741279221005,1,0.986088975681771,0
910,455.0,881.2748698472927,1.5022412321686487,8,0.8983752693441368,4,0.8632479847226936,2
920,460.0,886.0717712356465,1.4943035305632577,8,0.9118493175507435,2,0.8675421909374418,2
930,465.0,869.1878790406518,1.3808891527184954,8,0.9428292775850019,2,0.8545551331841467,2
940,470.0,889.3155051750622,1.280777331057806,8,0.8842658776615079,5,0.8712935990366457,2
950,475.0,818.2319532700797,1.238821438555654,6,0.9661424488891299,1,0.8692836110782519,2
960,480.0,906.9695057287065,1.2510897052987033,6,0.91340893708061,5,0.9946236155767588,0
970,485.0,907.9637384404015,1.3037771394733908,6,0.903659504983336,3,0.9535274942132602,0
980,490.0,948.7545628279679,1.2102142650972574,6,0.9237928006340393,5,0.9617319057128393,0
990,495.0,857.460362474983,1.0868635755242202,8,0.9239158279189216,3,1.086961850398408,0
1000,500.0,899.5935136830642,0.9356165610572196,8,0.9288335720597217,3,0.9358689313751266,0
1010,505.0,861.1968899024329,0.8708272487694512,8,0.9247420300760694,3,0.9073621866232752,2
1020,510.0,937.5239236116166,0.9812774689278726,8,0.933716214595371,3,0.9000550490862834,2
1030,515.0,872.3883493881297,1.1272730155084323,6,0.8787451586282264,4,0.8550799599826944,2
1040,520.0,881.203959881083,1.2113391997897296,4,0.9096254264927413,3,0.9043903330878033,2
1050,525.0,888.7298604256147,1.278979223759441,4,0.9454186544342397,3,0.9538358869532195,0
1060,530.0,835.6751001223457,1.3652654683654395,4,0.9120712562673557,3,0.8508224064930069,2
1070,535.0,921.827872631518,1.3631215655317648,4,0.973096789293429,1,0.9617587233968925,0
1080,540.0,888.4769540448265,1.334166894580749,4,0.9180039961013509,4,0.8880335060887266,2
1090,545.0,803.7287361525639,1.3307507733806279,4,0.9326653496173748,3,0.9064045520809619,2
1100,550.0,851.6326347248562,1.3492674741074178,4,0.9126953325424548,3,0.9890708158598759,0
1110,555.0,865.7556641101651,1.353100160621127,4,0.931248811777471,3,0.8803836732564009,2
1120,560.0,897.1070983997236,1.2703513568570586,4,0.9322941326172819,3,0.9142002065269312,0
1130,565.0,843.8301338380757,1.1993761728666545,4,0.9008001403131926,4,0.951647663998705,0
1140,570.0,830.9890755691727,1.1061855543342087,4,0.9017411210570331,4,0.9236113800342131,0
1150,575.0,842.017027529396,0.952677251553304,4,0.9484343510747695,3,0.8419950674259845,4
1160,580.0,857.8268382838827,0.8395906033152251,4,0.8902943179182731,4,0.8993842113541303,2
1170,585.0,866.1498371164334,0.855031953074371,4,0.903477464545596,3,0.911198272624389,0
1180,590.0,913.8211996793065,1.0269021776070033,4,0.9173156489344814,3,0.8327948769825337,2
1190,595.0,837.0483907542952,1.1699202850680726,4,0.8787929360560491,5,0.869509746022942,2
1200,600.0,902.3694146886974,1.2409847554004645,4,0.917348627316952,4,0.9384930118282511,0
1210,605.0,849.570187845062,1.26262877987044,4,0.9149473788065987,5,0.867515648881056,2
1220,610.0,869.5808754058008,1.2477960376062593,4,0.912864008803589,4,0.8165936968465277,2
1230,615.0,915.0385873636635,1.2066214616266695,4,0.9021005305793188,5,0.9167986132750253,0
1240,620.0,895.7489334864151,1.1481051010106247,4,0.8817110803902289,5,0.9288757059742369,0
1250,625.0,888.2775812600422,1.044009839415391,4,0.9539490192616197,1,0.9620744217726881,0
1260,630.0,864.1900652709046,0.9206010768424139,6,0.8668362588972067,5,0.8654673270372336,2
1270,635.0,871.2044516512947,0.9083285058905579,6,0.8839467270452576,5,0.8934031266164585,2
1280,640.0,898.0767712138686,1.00637140894632,6,0.8830117126061211,3,0.9091555929067937,0
1290,645.0,900.8412773501117,1.1247067953765286,6,0.8630473207815791,4,0.9495760909931251,0
1300,650.0,858.181487428723,1.1865145821414982,8,0.9372165881642895,4,0.8847868731197607,2
1310,655.0,876.9611754063202,1.160785783483771,8,0.9195777295269588,5,0.9464383373681844,0
1320,660.0,844.8983098880565,1.1413099609942692,8,0.8875431445604919,5,0.9604728082139905,0
1330,665.0,854.0461253192356,1.0917204412095132,8,0.8928561722139317,4,0.934137393321175,0
1340,670.0,842.5087530013642,1.0347697088958214,10,0.9496233070202975,2,0.8326848746493902,2
1350,675.0,878.1836163512804,0.9683854871276939,8,0.8573730046129895,6,0.9834295742441654,0
1360,680.0,841.583698700776,0.9315857165417333,8,0.9172302396016734,5,0.8600726901671237,2
1370,685.0,945.1390103221183,0.9485842534183024,8,0.8955444568475238,4,1.085287121822003,0
1380,690.0,909.3474343660866,0.9485845484686778,8,0.9143394618508164,5,0.9799332660686898,0
1390,695.0,846.8420519753048,0.957089590455131,8,0.8936239073328123,4,0.8616813830756418,2
1400,700.0,901.4290147290243,0.9463961365586273,10,0.9179459407448268,2,0.9029412498367445,2
1410,705.0,903.8270520316394,0.956583455556738,10,0.8957933714256768,5,1.0725421359949676,0
1420,710.0,891.9639668514232,0.96924890259027,8,0.9421414080253303,3,0.9774789250914069,0
1430,715.0,921.8663965947759,0.9902771660228616,8,0.8905997427262465,6,0.9557992310704458,0
1440,720.0,876.4918391122164,0.9931158888919471,8,0.9631797725784701,1,0.9705877697451201,0
1450,725.0,845.977465214668,0.9771526948191189,6,0.9069066201347763,6,0.9487692771685848,0
1460,730.0,873.4550089000869,0.9611909882687956,4,0.9088171566598552,4,0.9824993513078188,0
1470,735.0,905.5624417770704,0.9294360134943146,4,0.8819095470067174,5,0.9986079102077592,0
1480,740.0,872.8090544227131,0.9509078139755931,4,0.9185784077874213,3,0.971049376967006,0
1490,745.0,944.8528745386931,0.9678037442940158,4,0.8688906013510005,6,0.8278662574187705,4
1500,750.0,876.9167718960122,0.8218701297082128,4,0.8922867049851433,4,0.9390384854071171,0
1510,755.0,905.470349307931,0.8180373496244882,4,0.8810468699202771,2,0.9628770467426693,0
1520,760.0,953.466860715504,0.9413615653894,6,0.9080700348289613,2,0.8778084359821854,2
1530,765.0,971.8835786832328,0.9443146966672334,6,0.9341312921940136,4,0.9118445919486401,0
1540,770.0,969.9268151769342,0.9175826554651371,6,0.8700081139838585,6,0.9206894661361386,0
1550,775.0,926.1617022357856,0.9732248797158628,6,0.9293153313330419,5,0.7642340373165567,4
1560,780.0,942.4027113321663,1.07444244814286,8,0.8928645312417555,7,0.9933484235414657,0
1570,785.0,929.8872784692275,1.1358399339373668,8,0.9432750583807312,3,0.8558907520451801,4
1580,790.0,1027.5852918933629,1.046827521888486,8,0.9062978957505333,6,0.8767011063206028,4
1590,795.0,949.6217988299616,0.8676387239273656,8,0.9096434885534384,3,0.8672339870071502,2
1600,800.0,949.1206131728644,0.8307532026143283,10,0.8778265782816,5,0.9671914480317484,0
1610,805.0,917.738753070701,0.8615945383566143,8,0.8759450319622872,7,0.8859896743450543,2
1620,810.0,930.9554644242262,0.8023886205253321,8,0.9482493623093667,2,0.8940342787150256,2
1630,815.0,959.5912831452056,0.8303122766585661,8,0.9171916779156125,8,0.9592690050044893,0
1640,820.0,902.4033526366601,0.9781199396432879,8,0.9359347423016386,8,0.8950785826472519,2
1650,825.0,895.2713009941605,0.9764074776159801,8,0.8943303676152828,7,0.9346853858993864,0
1660,830.0,953.4851680792592,0.920827137135873,8,0.9053686819025424,7,0.9272514691555495,0
1670,835.0,944.1357177410587,0.9627299128860612,8,0.8739226667347895,6,1.0007867072951129,0
1680,840.0,960.0445393446158,0.9943995449260191,8,0.8700497964238952,6,0.9498000676842349,0
1690,845.0,944.9771006145203,0.8894436660164449,8,0.9109184231295385,6,0.9562597768502182,0
1700,850.0,981.0251272691252,0.9014218171321584,8,0.876071260056014,7,0.945247679999097,0
1710,855.0,902.1461692980739,0.8366148785344669,8,0.9038259641393737,8,0.8516854568827371,2
1720,860.0,904.621315159403,0.87535335253667,8,0.9306236433861781,3,0.9588625085723889,0
1730,865.0,920.8366383555849,1.00553643315901,8,0.9031184648371547,5,0.9033260523231467,2
1740,870.0,878.4137898734685,0.9791154612073946,10,0.9675231336002559,2,0.9503435109867038,0
1750,875.0,908.7343711852222,0.9352280424632652,12,0.8701274907197373,7,0.9755652983505002,0
1760,880.0,884.1468407753863,0.9334635408683688,12,0.9239608504235369,5,0.9470757697643164,0
1770,885.0,838.0015411290134,0.9381816627020593,12,0.8692476352046662,8,0.8197890309937516,2
1780,890.0,954.267369539535,0.9700737488966256,10,0.8590610837232344,5,0.8932508068675148,2
1790,895.0,930.4238349108671,0.9818101216568055,10,0.9303063289398399,6,0.9961107451904708,0
1800,900.0,953.9615603808692,0.9621718447910256,10,0.8716690294933753,6,0.8494936084945695,4
1810,905.0,972.9081614934819,0.9014313848056698,8,0.8945109994044956,4,0.9469361991303394,0
1820,910.0,969.51970954314,0.9268156674550516,8,0.9071622200342823,4,0.9293692776390312,0
1830,915.0,963.4422842373693,1.0046789510146774,8,0.9265584624446843,7,0.9325143027263001,0
1840,920.0,971.1124102282268,0.9620810126350215,8,0.8470104672269889,7,0.882014045541174,2
1850,925.0,927.0794936548165,0.9608895834725488,8,0.9140715944975777,5,0.9257445663010219,0
1860,930.0,938.6165342214317,0.9766629121167116,8,0.8917439383442708,9,0.9257227942166294,0
1870,935.0,949.3753022070376,0.9352167708240442,8,0.9299634955296884,6,0.8741031321158489,4
1880,940.0,917.3156257459161,0.8942488317026686,8,0.9011431860921392,7,1.0103425746298114,0
1890,945.0,939.1163046864075,0.965346230891465,8,0.8762848240933628,6,0.8533606581176986,4
1900,950.0,935.3974716471528,0.9678541098850236,8,0.8859075804067983,7,0.8647458989953442,2
1910,955.0,946.6585848236818,0.9684891661421646,8,0.8822967641100284,7,0.8678888221461041,2
1920,960.0,930.549608945428,0.9711500820849054,6,0.9043346427679811,7,0.8747470370645855,4
1930,965.0,869.5450596745312,0.9166075428454182,6,0.8781775671177854,6,0.9201417847281569,0
1940,970.0,939.5460479537976,0.8994512555344439,8,0.9096313914326569,10,0.9913721805385094,0
1950,975.0,909.4245302260603,0.8854989259538123,10,0.9273915788502497,5,0.9527802868294453,0
1960,980.0,891.5787174189829,0.960902648948845,10,0.8958667316559574,9,0.9465016578881911,0
1970,985.0,919.6929591616279,0.962537736303529,10,0.9074002574136196,8,0.9030937201901772,2
1980,990.0,939.5153692430971,1.002258187764668,10,0.8719796901222867,9,0.9064429269439429,2
1990,995.0,962.7405642031559,0.9831786974564451,10,0.8854924124737105,4,0.872106189768492,2
2000,1000.0,914.7073116843953,0.8536846661888347,10,0.9051880408268032,7,0.858482143528306,2
