step,time_fs,epot_ev,ekin_ev,etot_ev,temperature_k
0,0.0,-30013.09765625,8.305132060540014,-30004.79252418946,334.6426673995843
10,5.0,-30020.673828125,15.828195408840065,-30004.84563271616,637.7730652716058
20,10.0,-30027.6171875,22.741644377267967,-30004.875543122733,916.3399787006967
30,15.0,-30030.6328125,27.41814073548742,-30003.214671764512,1104.7722882643864
40,20.0,-30028.71875,25.576915242481917,-30003.141834757516,1030.5829068346811
50,25.0,-30028.30078125,25.203789854646786,-30003.096991395352,1015.5483867151379
60,30.0,-30029.181640625,26.10165787050643,-30003.079982754494,1051.7266130949008
70,35.0,-30030.30078125,27.24442714155618,-30003.056354108445,1097.772763149919
80,40.0,-30028.46875,25.434773042251276,-30003.033976957748,1024.8555030211728
90,45.0,-30027.740234375,24.843047971163347,-30002.897186403836,1001.0128410727971
100,50.0,-30030.638671875,27.5839450212823,-30003.05472685372,1111.4531198345799
110,55.0,-30031.619140625,28.488246505973585,-30003.130894119025,1147.890573058029
120,60.0,-30032.61328125,29.39739305767342,-30003.215888192328,1184.5232508890647
130,65.0,-30032.1953125,28.939006304264012,-30003.256306195737,1166.0532536941512
140,70.0,-30034.70703125,31.550250498409433,-30003.15678075159,1271.269367777674
150,75.0,-30034.45703125,31.409963819103602,-30003.047067430896,1265.616729358282
160,80.0,-30037.279296875,36.21368721300097,-30001.065609662,1459.1754588601793
170,85.0,-30032.13671875,31.14255804906681,-30000.99416070093,1254.8420204781762
180,90.0,-30033.58984375,32.56264441713559,-30001.027199332864,1312.0622412626515
190,95.0,-30035.259765625,34.73430269064702,-30000.525462934354,1399.5659091189564
200,100.0,-30036.828125,37.27646366648166,-29999.551661333517,1501.998419970219
210,105.0,-30033.8984375,34.265157574274774,-29999.633279925725,1380.662420047876
220,110.0,-30033.7578125,34.20045453055321,-29999.557357969446,1378.0553092900914
230,115.0,-30036.52734375,36.855635212574285,-29999.671708537426,1485.041777341703
240,120.0,-30035.744140625,36.31073627033864,-29999.433404354662,1463.0859030505128
250,125.0,-30035.470703125,35.932127039669325,-29999.53857608533,1447.8304198228273
260,130.0,-30036.755859375,37.19364997581462,-29999.562209399184,1498.6615682332438
270,135.0,-30036.373046875,36.8166429632674,-29999.556403911734,1483.4706439484169
280,140.0,-30035.2578125,35.66926889023891,-29999.58854360976,1437.238950399836
290,145.0,-30040.08984375,40.500542363194775,-29999.589301386804,1631.907768444095
300,150.0,-30039.67578125,40.04703561154515,-29999.628745638456,1613.6344034994459
310,155.0,-30038.341796875,38.74976444956141,-29999.59203242544,1561.3628346884657
320,160.0,-30038.2109375,38.6677037990454,-29999.543233700955,1558.0563255592854
330,165.0,-30038.43359375,38.90128792732326,-29999.532305822675,1567.4682428147019
340,170.0,-30038.40625,38.84538177050007,-29999.5608682295,1565.2155892377334
350,175.0,-30041.986328125,42.34544091166544,-29999.640887213336,1706.2451500584339
360,180.0,-30040.04296875,40.5656980380021,-29999.477270712,1634.5331172831986
370,185.0,-30042.841796875,43.39402188352972,-29999.44777499147,1748.4961258227245
380,190.0,-30040.29296875,40.81263448060251,-29999.480334269396,1644.4830457403982
390,195.0,-30040.96875,41.501948691000834,-29999.466801308998,1672.2579136609372
400,200.0,-30040.451171875,40.923394385252855,-29999.527777489748,1648.9459476741579
410,205.0,-30040.228515625,40.93420179884272,-29999.294313826158,1649.3814159707533
420,210.0,-30044.28515625,44.75617780954552,-29999.528978440456,1803.3821275350729
430,215.0,-30045.806640625,46.322231783741714,-29999.484408841257,1866.4838910466647
440,220.0,-30049.603515625,50.11331758129456,-29999.490198043706,2019.2399284444944
450,225.0,-30045.248046875,45.82519956707082,-29999.422847307927,1846.4567336748335
460,230.0,-30046.154296875,46.688388726041346,-29999.46590814896,1881.2376282497378
470,235.0,-30048.509765625,49.14428175961177,-29999.36548386539,1980.1941035485336
480,240.0,-30046.369140625,47.089291389068435,-29999.279849235932,1897.3913914343607
490,245.0,-30045.078125,45.69452689777936,-29999.38359810222,1841.19147716968
500,250.0,-30047.91015625,48.280205110478626,-29999.629951139523,1945.3774489070647
510,255.0,-30050.97265625,51.36221588070273,-29999.6104403693,2069.562386314909
520,260.0,-30047.0625,47.65006610638069,-29999.41243389362,1919.9869559411843
530,265.0,-30046.33203125,46.886186916191484,-29999.445844333808,1889.20760554524
540,270.0,-30045.806640625,46.4019611626243,-29999.404679462375,1869.6964651303629
550,275.0,-30047.75,48.30909902345057,-29999.440900976548,1946.541685193503
560,280.0,-30047.0,47.48906880655069,-29999.51093119345,1913.4998145608292
570,285.0,-30045.45703125,45.87903689723554,-29999.577994352763,1848.6260270275054
580,290.0,-30048.9765625,49.489495192062975,-29999.48706730794,1994.1039538694597
590,295.0,-30045.654296875,46.23593705027555,-29999.418359824725,1863.0067759834546
600,300.0,-30047.6640625,48.22498172863249,-29999.439080771368,1943.152306709553
610,305.0,-30043.734375,44.51652261757687,-29999.217852382422,1793.7255860000387
620,310.0,-30045.67578125,46.523078549699875,-29999.1527027003,1874.5767060686148
630,315.0,-30046.033203125,46.82462732222784,-29999.20857580277,1886.727155315447
640,320.0,-30045.90234375,46.70645405626046,-29999.19588969374,1881.9655432603495
650,325.0,-30047.833984375,48.563048439518475,-29999.27093593548,1956.7741907524821
660,330.0,-30049.55078125,50.31641196539936,-29999.2343692846,2027.4233078218822
670,335.0,-30046.70703125,47.769085332071484,-29998.93794591793,1924.7826546569504
680,340.0,-30047.494140625,48.57668572998618,-29998.917454895014,1957.3236846346927
690,345.0,-30048.84765625,50.03699540684602,-29998.810660843155,2016.1646424823905
700,350.0,-30045.291015625,46.54770674846526,-29998.743308876536,1875.5690618876456
710,355.0,-30043.291015625,44.79461597402212,-29998.49639965098,1804.9309349226774
720,360.0,-30039.833984375,41.29851267155594,-29998.535471703442,1664.0607686070189
730,365.0,-30046.91796875,48.31902241077545,-29998.598946339225,1946.9415329960223
740,370.0,-30047.005859375,48.33901157795258,-29998.66684779705,1947.7469660914253
750,375.0,-30042.673828125,44.08806239661601,-29998.585765728385,1776.4614329231479
760,380.0,-30044.560546875,46.02437237562615,-29998.536174499375,1854.4820991286958
770,385.0,-30044.08203125,45.562834969023285,-29998.519196280977,1835.8851511543096
780,390.0,-30044.8828125,46.288667455593064,-29998.594145044408,1865.1314674826247
790,395.0,-30044.4609375,46.239620010882746,-29998.22131748912,1863.1551752807247
800,400.0,-30045.9921875,47.85650903542623,-29998.135678464572,1928.3052598450827
810,405.0,-30048.138671875,50.01266274147396,-29998.126009133524,2015.184194732049
820,410.0,-30046.669921875,48.60149426695614,-29998.068427608043,1958.32330690745
830,415.0,-30047.93359375,49.85611443550654,-29998.077479314492,2008.8763187941415
840,420.0,-30046.330078125,48.201369618849654,-29998.12870850615,1942.200892650985
850,425.0,-30049.294921875,51.03574834243092,-29998.25917353257,2056.407873294492
860,430.0,-30047.408203125,49.28834523852485,-29998.119857886475,1985.9989223650089
870,435.0,-30048.248046875,50.08320246488903,-29998.164844410112,2018.0264856226904
880,440.0,-30047.119140625,48.88174798106634,-29998.237392643932,1969.6157041571068
890,445.0,-30046.607421875,48.47267573224957,-29998.13474614275,1953.1327599359538
900,450.0,-30046.78125,48.560594663561496,-29998.220655336438,1956.6753195815654
910,455.0,-30046.201171875,48.023717024119065,-29998.17745485088,1935.0426514890455
920,460.0,-30042.830078125,44.65113256268928,-29998.17894556231,1799.149489047283
930,465.0,-30047.123046875,48.82430468928516,-29998.298742185714,1967.3011140644096
940,470.0,-30047.587890625,49.44311942325569,-29998.144771201743,1992.235312785459
950,475.0,-30049.529296875,51.26799637379597,-29998.261300501203,2065.7659545565075
960,480.0,-30046.40234375,48.23347084884669,-29998.168872901155,1943.4943628998276
970,485.0,-30049.123046875,50.91029663531032,-29998.21275023969,2051.352987520895
980,490.0,-30051.25390625,52.744548505749556,-29998.50935774425,2125.2613774335478
990,495.0,-30044.162109375,46.06532102786191,-29998.09678834714,1856.1320628030485
1000,500.0,-30047.31640625,49.21373108582266,-29998.102675164177,1982.9924585419162
1010,505.0,-30049.091796875,50.840961825510355,-29998.25083504949,2048.559246792154
1020,510.0,-30047.501953125,49.449791301604655,-29998.052161823394,1992.5041459781148
1030,515.0,-30046.732421875,48.671373827309424,-29998.06104804769,1961.1389975313764
1040,520.0,-30049.40234375,51.300015522696754,-29998.1023282273,2067.0561174723907
1050,525.0,-30046.974609375,48.97656474663455,-29997.998044628366,1973.4362015450656
1060,530.0,-30047.935546875,49.98337323718805,-29997.952173637812,2014.0040186951599
1070,535.0,-30045.267578125,47.492244824337334,-29997.775333300662,1913.6277873680144
1080,540.0,-30046.05078125,48.19985940762781,-29997.85092184237,1942.1400409862638
1090,545.0,-30046.859375,49.1185637864003,-29997.7408112136,1979.1578369253345
1100,550.0,-30047.109375,49.24960714439962,-29997.8597678556,1984.4380297682933
1110,555.0,-30046.876953125,48.928676808289865,-29997.94827631671,1971.506629888996
1120,560.0,-30044.908203125,47.182820584052266,-29997.725382540946,1901.1600081235322
1130,565.0,-30048.111328125,50.25643391152241,-29997.854894213477,2025.006583344955
1140,570.0,-30046.111328125,48.43790045289029,-29997.67342767211,1951.7315429342823
1150,575.0,-30049.75390625,51.96303549430672,-29997.790870755693,2093.7714990245936
1160,580.0,-30049.869140625,52.185305891916585,-29997.683834733085,2102.727546706669
1170,585.0,-30048.595703125,50.84114146178419,-29997.754561663216,2048.566484962649
1180,590.0,-30047.94140625,50.37912240786213,-29997.562283842137,2029.9501297419401
1190,595.0,-30047.6953125,50.14118440253787,-29997.55412809746,2020.3627796315473
1200,600.0,-30047.822265625,50.07979540901593,-29997.742470215984,2017.8892034871335
1210,605.0,-30045.439453125,47.71872865719225,-29997.720724467807,1922.7536090162403
1220,610.0,-30046.490234375,48.78886387765685,-29997.701370497343,1965.8730804519819
1230,615.0,-30047.619140625,49.90832543437496,-29997.710815190625,2010.980081600267
1240,620.0,-30046.99609375,49.35228736701287,-29997.64380638299,1988.5753732005237
1250,625.0,-30048.2265625,50.36965067579189,-29997.85691182421,2029.5684807011094
1260,630.0,-30050.12109375,52.21819832756833,-29997.90289542243,2104.052897384242
1270,635.0,-30047.546875,49.71592580294972,-29997.83094919705,2003.2276310194086
1280,640.0,-30045.75390625,47.95016552883952,-29997.80374072116,1932.0790058308962
1290,645.0,-30045.31640625,47.47023218805868,-29997.846174061942,1912.7408216621004
1300,650.0,-30046.04296875,48.22405827958278,-29997.818910470418,1943.1150977343132
1310,655.0,-30047.34375,49.51808571906599,-29997.825664280936,1995.2559656796159
1320,660.0,-30049.294921875,51.38229959680258,-29997.912622278196,2070.3716291153796
1330,665.0,-30046.599609375,48.747816160338125,-29997.85179321466,1964.2191251007519
1340,670.0,-30043.400390625,45.60937728798082,-29997.79101333702,1837.7605031233545
1350,675.0,-30043.013671875,45.17911339237586,-29997.834558482624,1820.4236737193899
1360,680.0,-30043.6484375,45.852610617052164,-29997.795826882946,1847.561220251942
1370,685.0,-30046.07421875,48.210702146939916,-29997.86351660306,1942.5769326791196
1380,690.0,-30049.029296875,51.04197815580589,-29997.987318719195,2056.6588941512355
1390,695.0,-30045.10546875,47.3701288477896,-29997.73533990221,1908.7073097854604
1400,700.0,-30048.0859375,50.20286015294059,-29997.883077347058,2022.8479102084227
1410,705.0,-30045.91015625,48.38605434494275,-29997.52410190506,1949.6424828529518
1420,710.0,-30047.375,49.638365535429415,-29997.73663446457,2000.1024579796517
1430,715.0,-30045.201171875,47.56611556465987,-29997.63505631034,1916.6042965197194
1440,720.0,-30047.232421875,49.539360871194546,-29997.693061003807,1996.1132155831374
1450,725.0,-30045.490234375,47.79531825706127,-29997.69491611794,1925.8396704790086
1460,730.0,-30050.14453125,52.54635378611922,-29997.598177463882,2117.275422585613
1470,735.0,-30048.240234375,50.7696945721709,-29997.47053980283,2045.6876411895087
1480,740.0,-30044.3359375,46.95129617891305,-29997.38464132109,1891.8310842799235
1490,745.0,-30047.1875,49.78463577343308,-29997.402864226566,2005.9961947980325
1500,750.0,-30048.888671875,51.44489338275824,-29997.44377849224,2072.8937505388744
1510,755.0,-30045.16796875,47.75941349486716,-29997.408555255133,1924.3929426840261
1520,760.0,-30047.5546875,50.23428535130941,-29997.32040214869,2024.1141407907958
1530,765.0,-30049.5703125,52.174482525106676,-29997.395829974892,2102.2914355993307
1540,770.0,-30046.390625,49.104085448377816,-29997.286539551624,1978.574454310821
1550,775.0,-30048.03515625,50.68632160221397,-29997.348834647786,2042.3282541440005
1560,780.0,-30047.53515625,50.147216854402174,-29997.387939395598,2020.6058481063308
1570,785.0,-30045.375,48.11451139559493,-29997.260488604406,1938.7010726236008
1580,790.0,-30050.87109375,53.56861959249623,-29997.302474157503,2158.466068772056
1590,795.0,-30049.44921875,52.15738109456697,-29997.291837655433,2101.6023594605726
1600,800.0,-30048.765625,51.485243203239996,-29997.28038179676,2074.519585198297
1610,805.0,-30048.564453125,51.29700263784496,-29997.267450487154,2066.934717858752
1620,810.0,-30051.9609375,54.6352164959107,-29997.32572100409,2201.442969102711
1630,815.0,-30048.431640625,51.146091175835366,-29997.285549449163,2060.853969976607
1640,820.0,-30045.76953125,48.42949158942595,-29997.340039660576,1951.392720567703
1650,825.0,-30048.900390625,51.55286866490864,-29997.34752196009,2077.2444503433617
1660,830.0,-30048.787109375,51.499802220889826,-29997.28730715411,2075.1062186757113
1670,835.0,-30050.828125,53.455798797337906,-29997.37232620266,2153.920126389116
1680,840.0,-30045.70703125,48.34677112201271,-29997.36026012799,1948.0596251199822
1690,845.0,-30045.81640625,48.485121346714166,-29997.331284903285,1953.6342370457096
1700,850.0,-30046.439453125,49.0496241956607,-29997.38982892934,1976.3800209476512
1710,855.0,-30047.208984375,49.746856895634885,-29997.462127479364,2004.4739523646076
1720,860.0,-30043.5625,46.22112640551075,-29997.34137359449,1862.410003574073
1730,865.0,-30045.923828125,48.57639950513082,-29997.34742861987,1957.3121516393862
1740,870.0,-30044.533203125,47.18284677485915,-29997.35035635014,1901.1610634422693
1750,875.0,-30045.685546875,48.243776311371406,-29997.44177056363,1943.9096058415314
1760,880.0,-30046.015625,48.698742443187655,-29997.316882556814,1962.2417742908265
1770,885.0,-30045.8515625,48.532672560677824,-29997.31888993932,1955.5502409048765
1780,890.0,-30045.52734375,48.167655886778185,-29997.359687863223,1940.842449083062
1790,895.0,-30047.166015625,49.8054021420962,-29997.360613482902,2006.8329440454825
1800,900.0,-30046.3125,49.05877785366095,-29997.25372214634,1976.7488536775031
1810,905.0,-30046.96484375,49.74002445955732,-29997.224819290444,2004.1986497424257
1820,910.0,-30047.31640625,50.15942307799267,-29997.156983172008,2021.097679324838
1830,915.0,-30044.935546875,47.83095935926416,-29997.104587515736,1927.275774495573
1840,920.0,-30045.88671875,48.7801300914823,-29997.106588658517,1965.5211658188796
1850,925.0,-30049.630859375,52.39801122419101,-29997.23284815081,2111.298184625917
1860,930.0,-30048.9921875,51.47322314667555,-29997.518964353323,2074.0352552970144
1870,935.0,-30049.033203125,51.525006733889725,-29997.50819639111,2076.1217962004644
1880,940.0,-30050.666015625,53.240295720958976,-29997.42571990404,2145.2367576254924
1890,945.0,-30048.935546875,51.59648638394248,-29997.339060491056,2079.0019600056967
1900,950.0,-30049.09375,51.72178748348006,-29997.37196251652,2084.0507772757537
1910,955.0,-30049.537109375,52.21452536053036,-29997.32258401447,2103.9049007626472
1920,960.0,-30048.69140625,51.37613307260037,-29997.3152731774,2070.1231583996137
1930,965.0,-30048.5625,51.21146788928627,-29997.351032110713,2063.488225231737
1940,970.0,-30048.193359375,50.929127511126396,-29997.264231863872,2052.1117490272295
1950,975.0,-30048.951171875,51.6801606555071,-29997.271011219495,2082.3734875413206
1960,980.0,-30047.89453125,50.77870093396584,-29997.115830316034,2046.0505388427493
1970,985.0,-30050.12890625,52.857073438737544,-29997.271832811264,2129.795398500229
1980,990.0,-30049.01953125,51.75282347736369,-29997.266707772636,2085.3013254552297
1990,995.0,-30048.138671875,50.80199829281324,-29997.336673582187,2046.9892704909914
2000,1000.0,-30047.25,49.909664445925145,-29997.340335554076,2011.034035034549
