step,time_fs,epot_ev,ekin_ev,etot_ev,temperature_k
0,0.0,-30019.3515625,7.539865744113628,-30011.811696755885,303.80742486120994
10,1.0,-30021.3203125,9.513424941968186,-30011.806887558032,383.32899169805205
20,2.0,-30023.3203125,11.500327559087701,-30011.819984940914,463.38821132385726
30,3.0,-30022.21484375,10.405954383521316,-30011.80888936648,419.2921083440961
40,4.0,-30024.23046875,12.416347534505174,-30011.814121215495,500.2978433117047
50,5.0,-30025.736328125,13.90974223721718,-30011.826585887782,560.4719119662445
60,6.0,-30025.01171875,13.201076425159235,-30011.81064232484,531.9173006833333
70,7.0,-30026.70703125,14.886828407237944,-30011.820202842762,599.8421134069345
80,8.0,-30026.33984375,14.53325504380878,-30011.806588706193,585.5954123795597
90,9.0,-30026.05078125,14.230186647372404,-30011.82059460263,573.3837321981143
100,10.0,-30025.658203125,13.838607433273886,-30011.819595691726,557.6056432106117
110,11.0,-30026.65625,14.838133019094077,-30011.818116980907,597.880006789034
120,12.0,-30027.4375,15.62627024842119,-30011.81122975158,629.6367979846931
130,13.0,-30027.40625,15.592833213873622,-30011.813416786128,628.289503522743
140,14.0,-30027.556640625,15.740826704662295,-30011.815813920337,634.2526761916768
150,15.0,-30027.326171875,15.519999193249618,-30011.80617268175,625.3547674148299
160,16.0,-30029.673828125,17.859468945362885,-30011.814359179636,719.6201436232997
170,17.0,-30030.1640625,18.34898248567484,-30011.815080014327,739.3443473643242
180,18.0,-30027.91796875,16.1062673428319,-30011.81170140717,648.9775510090593
190,19.0,-30026.88671875,15.070228248717438,-30011.81649050128,607.2319311372221
200,20.0,-30027.8828125,16.079510354975568,-30011.803302145025,647.8994188706959
210,21.0,-30027.076171875,15.250345452566979,-30011.82582642243,614.489479975867
220,22.0,-30025.10546875,13.293325381382852,-30011.812143368617,535.6343320984234
230,23.0,-30028.07421875,16.253150004520595,-30011.82106874548,654.8959645085624
240,24.0,-30028.1796875,16.363919842182092,-30011.81576765782,659.3592666779023
250,25.0,-30026.92578125,15.108166151726554,-30011.817615098273,608.7605812497035
260,26.0,-30027.986328125,16.166816589051887,-30011.81951153595,651.4172908128805
270,27.0,-30029.509765625,17.697363935030555,-30011.81240168997,713.0883687326641
280,28.0,-30027.720703125,15.915166958013955,-30011.805536166987,641.2774515945769
290,29.0,-30027.115234375,15.288108491938093,-30011.82712588306,616.0110842239569
300,30.0,-30029.013671875,17.195573596881538,-30011.81809827812,692.8694900911837
310,31.0,-30027.482421875,15.675560220302913,-30011.8068616547,631.6228624501723
320,32.0,-30028.3203125,16.50467127950043,-30011.8156412205,665.0306318146862
330,33.0,-30027.7421875,15.929939268431578,-30011.812248231567,641.872679379731
340,34.0,-30026.65234375,14.838638667575847,-30011.813705082423,597.900381125706
