condition,velocity_seed,test_config_index,drift_ev_per_atom_mev,drift_fraction_pct,plateau_temperature_mean,plateau_temperature_std
before_finetune,0,0,-0.04110433280857251,-2.6295613473406116e-05,732.6771432484801,29.877124512851204
before_finetune,1,0,0.017786694021045452,1.1378615107533883e-05,751.1306399693307,31.194284407038342
before_finetune,2,0,-0.03622688185108321,-2.3175746191870484e-05,800.5174848789205,29.434557937140813
before_finetune,3,0,-0.10046805838707466,-6.427265528734313e-05,776.4532320256477,27.425609720848076
before_finetune,4,0,-0.00886516717931348,-5.671201352696053e-06,778.9836808553505,31.915123036532776
after_finetune,0,0,-0.0271393864560802,-1.735864795249462e-05,775.8666716520537,31.255587671119226
after_finetune,1,0,-0.010799925159214277,-6.907728423834532e-06,784.2259208309797,31.39835944096624
after_finetune,2,0,-0.08080306525926062,-5.168336720046624e-05,754.2763659194526,35.45458813307936
after_finetune,3,0,-0.12816587663640652,-8.197679292676295e-05,782.9137129983314,30.044919913046204
after_finetune,4,0,-0.059548384740537585,-3.808714110744745e-05,760.3070231503235,32.493363998864346
