step,time_fs,epot_ev,ekin_ev,etot_ev,temperature_k
0,0.0,-30025.787109375,7.443837302958888,-30018.34327207204,299.9381048479943
10,1.0,-30027.712890625,9.351782129783501,-30018.361108495217,376.8158403789464
20,2.0,-30028.73046875,10.376641600596809,-30018.353827149404,418.1109943298628
30,3.0,-30027.8359375,9.486097416517861,-30018.349840083483,382.2278706149115
40,4.0,-30030.3203125,11.959790481233668,-30018.360522018767,481.90157110156275
50,5.0,-30031.34375,12.977692938023775,-30018.366057061976,522.9164027514141
60,6.0,-30031.435546875,13.078980251121084,-30018.35656662388,526.9976210127908
70,7.0,-30030.982421875,12.633943263749753,-30018.34847861125,509.0655323404122
80,8.0,-30030.78515625,12.432336498318389,-30018.352819751683,500.9420942953623
90,9.0,-30032.853515625,14.494859930924834,-30018.358655694075,584.0483396904161
100,10.0,-30032.185546875,13.83370427604705,-30018.351842598953,557.4080779460129
110,11.0,-30032.365234375,13.996997484531374,-30018.36823689047,563.987729474381
120,12.0,-30034.052734375,15.700641827934595,-30018.352092547066,632.6334876900063
130,13.0,-30034.369140625,16.013755321566656,-30018.355385303432,645.2499197881399
140,14.0,-30034.7734375,16.422418213519588,-30018.35101928648,661.7163695969423
150,15.0,-30035.486328125,17.12378187299187,-30018.362546252007,689.9767517452398
160,16.0,-30035.361328125,17.005862803781795,-30018.35546532122,685.2253821619402
170,17.0,-30035.119140625,16.75312980380439,-30018.366010821195,675.0418902396169
180,18.0,-30036.244140625,17.88990707208145,-30018.35423355292,720.8466016544902
190,19.0,-30036.080078125,17.71865454513707,-30018.361423579863,713.9462414919018
200,20.0,-30034.083984375,15.729898403247955,-30018.35408597175,633.8123369040189
210,21.0,-30034.208984375,15.86159624434319,-30018.347388130656,639.1189011481052
220,22.0,-30034.83984375,16.486818197666725,-30018.353025552333,664.3112690300148
230,23.0,-30035.244140625,16.886383660901352,-30018.3577569641,680.4111517823779
240,24.0,-30034.455078125,16.093790649885868,-30018.361287475112,648.4748216391529
250,25.0,-30034.15625,15.801795875781778,-30018.35445412422,636.7093362307753
260,26.0,-30035.27734375,16.923686009602086,-30018.353657740397,681.914193200442
270,27.0,-30035.87109375,17.522479242184886,-30018.348614507817,706.0416559682404
280,28.0,-30034.6328125,16.28260333552164,-30018.350209164477,656.082741693819
290,29.0,-30033.03125,14.673019452363107,-30018.358230547638,591.2270066931972
