step,time_fs,epot_ev,ekin_ev,etot_ev,temperature_k
0,0.0,-30020.28125,7.443837302958888,-30012.83741269704,299.9381048479943
10,1.0,-30022.15625,9.320842352652118,-30012.835407647348,375.5691691071928
20,2.0,-30023.171875,10.34454310078024,-30012.82733189922,416.8176340894908
30,3.0,-30022.3203125,9.491859972699409,-30012.8284525273,382.46006405356803
40,4.0,-30024.884765625,12.039308564677185,-30012.845457060324,485.1056313568444
50,5.0,-30025.876953125,13.037009966345085,-30012.839943158655,525.3064922087477
60,6.0,-30025.8984375,13.06233649258806,-30012.83610100741,526.3269860715947
70,7.0,-30025.279296875,12.452288447021743,-30012.82700842798,501.7460277289598
80,8.0,-30025.263671875,12.440915321020425,-30012.82275655398,501.28776491098057
90,9.0,-30027.2734375,14.444033427166186,-30012.829404072832,582.0003630094429
100,10.0,-30026.7578125,13.923110042461362,-30012.834702457538,561.0105473511586
110,11.0,-30026.755859375,13.914713439698765,-30012.8411459353,560.6722190109122
120,12.0,-30028.4296875,15.603664237767438,-30012.826023262234,628.7259231606337
130,13.0,-30028.859375,16.02989491955883,-30012.82948008044,645.9002403469809
140,14.0,-30029.33203125,16.491298668265713,-30012.840732581735,664.4918027796917
150,15.0,-30029.810546875,16.98255641826246,-30012.82799045674,684.2862867976787
160,16.0,-30029.83984375,17.0012619008831,-30012.838581849115,685.0399957758789
170,17.0,-30029.595703125,16.769156604329538,-30012.82654652067,675.6876657960464
180,18.0,-30030.626953125,17.788810902749276,-30012.838142222252,716.773085240472
190,19.0,-30030.958984375,18.11485868279032,-30012.84412569221,729.9106847412743
200,20.0,-30029.703125,16.864393228174514,-30012.838731771826,679.5250807348212
210,21.0,-30029.953125,17.114833983587904,-30012.83829101641,689.6162101480787
220,22.0,-30029.5390625,16.712441715065005,-30012.826620784934,673.4024255751316
230,23.0,-30029.212890625,16.379920425557593,-30012.83297019944,660.0039858541533
240,24.0,-30029.552734375,16.718642207910854,-30012.83409216709,673.6522650057393
250,25.0,-30029.1875,16.359567359092175,-30012.827932640907,659.1838899902826
260,26.0,-30029.451171875,16.617879555234502,-30012.833292319767,669.5921871382141
270,27.0,-30029.796875,16.9545474879041,-30012.842327512095,683.1577095399292
280,28.0,-30030.03125,17.19956981224015,-30012.83168018776,693.0305115123195
290,29.0,-30029.314453125,16.475466704410067,-30012.83898642059,663.8538778705865
300,30.0,-30028.015625,15.182324271123544,-30012.833300728875,611.7486699042181
310,31.0,-30028.482421875,15.64449150262772,-30012.83793037237,630.370995715276
320,32.0,-30029.197265625,16.36120700891237,-30012.83605861609,659.2499571864971
330,33.0,-30030.544921875,17.70938611956351,-30012.835535755436,713.572784377202
340,34.0,-30029.140625,16.31515846038669,-30012.825466539613,657.3945009461648
350,35.0,-30027.82421875,14.993771258492185,-30012.83044749151,604.1512129783997
360,36.0,-30028.638671875,15.815785957908384,-30012.822885917092,637.2730453164178
370,37.0,-30029.587890625,16.753698366327576,-30012.834192258673,675.064799601919
380,38.0,-30029.236328125,16.410048178798725,-30012.826279946203,661.2179378580319
390,39.0,-30029.87890625,17.03604198570764,-30012.842864264294,686.4414064064656
