step,time_fs,epot_ev,ekin_ev,etot_ev,temperature_k
0,0.0,-30023.96484375,7.720488771291386,-30016.24435497871,311.0853550816985
10,1.0,-30026.01171875,9.772171434874071,-30016.239547315126,393.75478817366917
20,2.0,-30027.865234375,11.62900828002002,-30016.23622609498,468.573205298883
30,3.0,-30027.228515625,10.996301066702646,-30016.2322145583,443.07923024778466
40,4.0,-30028.8984375,12.656650129536281,-30016.241787370465,509.9804709686842
50,5.0,-30030.66796875,14.416822953830264,-30016.25114579617,580.9039583632601
60,6.0,-30031.017578125,14.776108207540442,-30016.24146991746,595.3808113238731
70,7.0,-30030.005859375,13.75742531137863,-30016.248434063622,554.3345330562934
80,8.0,-30029.73046875,13.494507960399641,-30016.2359607896,543.7406781969258
90,9.0,-30030.982421875,14.746539621253447,-30016.235882253746,594.189390102129
100,10.0,-30031.21484375,14.965052528740122,-30016.24979122126,602.9940354334188
110,11.0,-30032.56640625,16.323962482537603,-30016.242443767464,657.749245631132
120,12.0,-30033.40234375,17.16117801013504,-30016.241165739866,691.4835722259747
130,13.0,-30033.28125,17.044429857681504,-30016.23682014232,686.7793829528563
140,14.0,-30034.3671875,18.12910098985906,-30016.23808651014,730.4845568474209
150,15.0,-30034.009765625,17.771031917506193,-30016.238733707494,716.0567080652467
160,16.0,-30033.267578125,17.017440617828292,-30016.250137507173,685.6918925734464
170,17.0,-30033.423828125,17.176906960268653,-30016.246921164733,692.1173463537958
180,18.0,-30033.919921875,17.679034755731166,-30016.240887119267,712.349822324578
190,19.0,-30034.052734375,17.807465594141014,-30016.245268780858,717.524747663338
200,20.0,-30032.716796875,16.47082885751003,-30016.24596801749,663.667002882169
210,21.0,-30032.025390625,15.774217189833182,-30016.25117343517,635.5980950172776
220,22.0,-30032.646484375,16.4151185122593,-30016.23136586274,661.4222392347571
230,23.0,-30033.0234375,16.77827841055293,-30016.24515908945,676.0552151069841
240,24.0,-30033.755859375,17.5031077097456,-30016.252751665255,705.2611095254089
250,25.0,-30033.603515625,17.352696903729534,-30016.25081872127,699.200534815214
260,26.0,-30033.705078125,17.46073733873349,-30016.244340786267,703.5538598548624
270,27.0,-30034.8125,18.576604005794998,-30016.235895994207,748.516010390909
280,28.0,-30035.322265625,19.073453616854408,-30016.248812008147,768.5358099472999
290,29.0,-30033.150390625,16.91029907726402,-30016.240091547737,681.374787118365
300,30.0,-30032.56640625,16.331467212632784,-30016.234939037367,658.0516373184475
310,31.0,-30033.248046875,17.0051486351822,-30016.242898239816,685.196605824201
320,32.0,-30032.021484375,15.784647752233969,-30016.236836622767,636.0183786682579
330,33.0,-30031.2421875,14.999431200939888,-30016.24275629906,604.3792717526878
340,34.0,-30031.78515625,15.53980045412303,-30016.245355795876,626.1526291114594
350,35.0,-30031.982421875,15.74266093951056,-30016.23976093549,634.3265838957068
360,36.0,-30031.67578125,15.437591185923367,-30016.238190064076,622.03426207118
370,37.0,-30031.26953125,15.01882796392307,-30016.250703286078,605.1608348219195
380,38.0,-30031.849609375,15.602950601438907,-30016.24665877356,628.6971682699478
390,39.0,-30031.91015625,15.68241376367011,-30016.22774248633,631.8990155584937
400,40.0,-30031.384765625,15.138865517778948,-30016.24590010722,609.9975655226038
410,41.0,-30030.806640625,14.563874593286727,-30016.24276603171,586.8291805649637
420,42.0,-30030.44140625,14.18953146517304,-30016.251874784826,571.7455934526207
430,43.0,-30030.580078125,14.328398271620634,-30016.25167985338,577.3410202542823
440,44.0,-30030.5078125,14.27484172524093,-30016.23297077476,575.1830406572609
450,45.0,-30030.99609375,14.754595098803918,-30016.241498651198,594.5139733206759
460,46.0,-30031.46875,15.217048393305245,-30016.251701606696,613.1478256052097
470,47.0,-30030.76953125,14.517587108870075,-30016.25194414113,584.9640967662364
480,48.0,-30031.54296875,15.298238260225974,-30016.244730489772,616.4192478335522
490,49.0,-30032.427734375,16.186946385417414,-30016.240787989584,652.2283903475859
500,50.0,-30032.4375,16.193509067732407,-30016.243990932267,652.4928236520989
510,51.0,-30032.69140625,16.448866651736992,-30016.242539598265,662.782069196793
520,52.0,-30032.625,16.374015821292847,-30016.250984178707,659.766068803986
530,53.0,-30032.43359375,16.191495056190632,-30016.24209869381,652.4116721195766
540,54.0,-30032.6640625,16.412714014252117,-30016.251348485748,661.325353643894
550,55.0,-30032.744140625,16.5023296525331,-30016.241810972468,664.9362795167709
560,56.0,-30033.318359375,17.064878421485624,-30016.253480953514,687.6033267367744
570,57.0,-30033.26953125,17.029303762886787,-30016.240227487113,686.1698999642
580,58.0,-30032.353515625,16.10526761358104,-30016.24824801142,648.9372684391079
590,59.0,-30033.00390625,16.75908262928862,-30016.244823620713,675.2817502904969
600,60.0,-30033.466796875,17.223724346184667,-30016.243072528814,694.0037817276593
610,61.0,-30032.251953125,16.00686652008566,-30016.245086604915,644.9723460077372
620,62.0,-30032.478515625,16.234891092849427,-30016.24362453215,654.1602494277048
630,63.0,-30033.365234375,17.123300472840814,-30016.241933902158,689.9573544581814
640,64.0,-30033.31640625,17.063171165950997,-30016.25323508405,687.5345354710997
650,65.0,-30033.3125,17.071034333375984,-30016.241465666622,687.8513698455715
660,66.0,-30032.75390625,16.507906523714524,-30016.245999726285,665.1609910607045
670,67.0,-30032.86328125,16.60974172368228,-30016.25353952632,669.2642855903961
680,68.0,-30033.5546875,17.30872498537412,-30016.245962514626,697.4287532298197
690,69.0,-30033.65234375,17.42152602477431,-30016.230817725227,701.9738995845269
700,70.0,-30032.80078125,16.54275803911974,-30016.25802321088,666.5652798779206
710,71.0,-30033.333984375,17.081217657280245,-30016.25276671772,688.261691397291
720,72.0,-30034.119140625,17.872692969617788,-30016.246447655383,720.1529855718875
730,73.0,-30033.865234375,17.62424773988552,-30016.240986635115,710.1422628315073
740,74.0,-30032.923828125,16.67360491754878,-30016.25022320745,671.8375558753664
750,75.0,-30032.818359375,16.5792174948288,-30016.23914188017,668.0343582046081
760,76.0,-30033.57421875,17.32671235202317,-30016.247506397976,698.1535268169288
770,77.0,-30033.57421875,17.334888636588396,-30016.23933011341,698.4829777704333
780,78.0,-30033.505859375,17.2741649613833,-30016.23169441362,696.036209615898
790,79.0,-30033.076171875,16.8292383429381,-30016.24693353206,678.1085680915684
800,80.0,-30032.943359375,16.69111368534281,-30016.25224568966,672.5430450493812
810,81.0,-30032.31640625,16.074471839818404,-30016.24193441018,647.696399564123
820,82.0,-30031.783203125,15.540534770883614,-30016.242668354116,626.1822172887076
830,83.0,-30032.486328125,16.237568573222426,-30016.248759551778,654.268134427895
840,84.0,-30032.041015625,15.79019602195967,-30016.25081960304,636.241937760025
850,85.0,-30032.4609375,16.215306096881225,-30016.24563140312,653.3711017965734
860,86.0,-30031.30078125,15.059382261946045,-30016.241398988055,606.7949085929323
870,87.0,-30031.177734375,14.946668280257573,-30016.231066094744,602.2532700963368
880,88.0,-30031.8984375,15.657228260681972,-30016.241209239317,630.8842040132571
890,89.0,-30032.458984375,16.214503586644394,-30016.244480788355,653.3387658668963
900,90.0,-30033.197265625,16.95436853699177,-30016.242897088006,683.1504989850338
910,91.0,-30033.619140625,17.371018179227434,-30016.248122445773,699.9387627516378
920,92.0,-30032.40234375,16.162259890716555,-30016.240083859284,651.2336855824814
930,93.0,-30032.4375,16.20593503902867,-30016.23156496097,652.9935092702565
940,94.0,-30033.50390625,17.25317550505632,-30016.250730744945,695.1904713902651
950,95.0,-30033.345703125,17.105438867554493,-30016.240264257445,689.2376482339478
960,96.0,-30032.71875,16.483782708008906,-30016.23496729199,664.1889585900904
970,97.0,-30032.5234375,16.283869624780905,-30016.23956787522,656.1337648939718
980,98.0,-30032.328125,16.08120211498582,-30016.246922885013,647.9675857677788
990,99.0,-30032.365234375,16.125344771149223,-30016.23988960385,649.746246973518
1000,100.0,-30033.0703125,16.828131963829428,-30016.24218053617,678.0639882277706
1010,101.0,-30033.8828125,17.644426580071965,-30016.23838591993,710.9553385123994
1020,102.0,-30033.201171875,16.969796137918106,-30016.231375737083,683.7721307047864
1030,103.0,-30032.888671875,16.63768815246786,-30016.250983722533,670.3903444423116
1040,104.0,-30033.861328125,17.623078099482463,-30016.23825002552,710.095133950049
1050,105.0,-30033.384765625,17.150180610287144,-30016.234585014714,691.0404487220096
1060,106.0,-30032.064453125,15.815844336552496,-30016.248608788446,637.2753975951103
1070,107.0,-30032.216796875,15.968261283025868,-30016.248535591974,643.4168066844478
1080,108.0,-30032.796875,16.553777284347735,-30016.24309771565,667.0092836082582
1090,109.0,-30033.37109375,17.1335776776104,-30016.23751607239,690.3714587966116
1100,110.0,-30033.041015625,16.802070103319384,-30016.23894552168,677.0138651887987
1110,111.0,-30033.181640625,16.93708566846265,-30016.24455495654,682.4541120783908
1120,112.0,-30033.71875,17.4660141587756,-30016.252735841223,703.7664812944021
1130,113.0,-30033.412109375,17.172852899431536,-30016.23925647557,691.9539941370648
1140,114.0,-30032.888671875,16.658241269433198,-30016.230430605567,671.2185010368751
1150,115.0,-30032.728515625,16.489238430868557,-30016.23927719413,664.408788646619
1160,116.0,-30033.0703125,16.825041089305024,-30016.245271410695,677.9394461388665
1170,117.0,-30032.890625,16.652339556705453,-30016.238285443294,670.9807004967943
1180,118.0,-30032.2890625,16.052568554884637,-30016.236493945114,646.813840004369
1190,119.0,-30033.04296875,16.792146227818616,-30016.250822522183,676.6139977159746
