step,time_fs,epot_ev,ekin_ev,etot_ev,temperature_k
0,0.0,-30020.27734375,8.036075779375395,-30012.241267970625,323.80145368338884
10,1.0,-30022.158203125,9.914801180501813,-30012.2434019445,399.5018368875807
20,2.0,-30023.88671875,11.641554367534336,-30012.245164382464,469.0787308173955
30,3.0,-30022.83984375,10.60102047508191,-30012.238823274918,427.1519998814264
40,4.0,-30024.205078125,11.95674224343433,-30012.248335881566,481.7787469946608
50,5.0,-30025.6875,13.447976227619227,-30012.23952377238,541.8657527817904
60,6.0,-30025.615234375,13.37316590526958,-30012.24206846973,538.8513846010536
70,7.0,-30026.986328125,14.750758104266342,-30012.235570020734,594.3593674604087
80,8.0,-30026.099609375,13.860667960369899,-30012.23894141463,558.4945386041873
90,9.0,-30026.509765625,14.26115832012528,-30012.248607304875,574.6316886554347
100,10.0,-30026.0390625,13.797834857130852,-30012.24122764287,555.96277425467
110,11.0,-30025.935546875,13.700376851906814,-30012.235170023094,552.0358521311108
120,12.0,-30026.798828125,14.557094341651299,-30012.24173378335,586.5559806355249
130,13.0,-30028.65625,16.415604834531702,-30012.240645165468,661.4418348512103
140,14.0,-30028.275390625,16.041704548797853,-30012.2336860762,646.3760913991662
150,15.0,-30027.29296875,15.063799572777965,-30012.229169177223,606.9728974158373
160,16.0,-30029.234375,16.987243599457152,-30012.24713140054,684.4751496364803
170,17.0,-30028.59765625,16.37099110231233,-30012.22666514769,659.6441923521252
180,18.0,-30026.990234375,14.750149526617284,-30012.24008484838,594.3348457494575
190,19.0,-30027.55859375,15.320856936179364,-30012.237736813822,617.3306329866015
200,20.0,-30029.115234375,16.8711579270374,-30012.24407644796,679.7976539889405
210,21.0,-30029.376953125,17.135384263040514,-30012.24156886196,690.4442524093816
220,22.0,-30029.2109375,16.983345755473103,-30012.227591744526,684.3180919402967
230,23.0,-30027.8359375,15.617040052807031,-30012.218897447194,629.264881288074
240,24.0,-30027.546875,15.306188658399961,-30012.2406863416,616.7395970384099
250,25.0,-30029.474609375,17.242323726358727,-30012.232285648643,694.7532154691165
260,26.0,-30031.517578125,19.272841227753634,-30012.244736897246,776.569830534976
270,27.0,-30031.080078125,18.834116385010592,-30012.24596173999,758.8920801319982
280,28.0,-30028.189453125,15.948471397061535,-30012.240981727937,642.6194033224829
290,29.0,-30030.19140625,17.95617132947981,-30012.23523492052,723.5166191433631
300,30.0,-30029.478515625,17.228736338089803,-30012.24977928691,694.2057323201236
310,31.0,-30027.048828125,14.821549906658014,-30012.227278218343,597.2118154900952
320,32.0,-30028.603515625,16.368173568316124,-30012.235342056683,659.5306641041567
