step,time_fs,epot_ev,ekin_ev,etot_ev,temperature_k
0,0.0,-30019.2421875,7.539865744113628,-30011.702321755885,303.80742486120994
10,5.0,-30029.015625,17.13421741891086,-30011.881407581088,690.397236199508
20,10.0,-30030.8203125,18.910856826908567,-30011.909455673092,761.9842195449495
30,15.0,-30033.546875,21.636879124559343,-30011.90999587544,871.8251427749268
40,20.0,-30033.4453125,21.473000599472783,-30011.97231190053,865.2219068041179
50,25.0,-30034.568359375,22.654364953553735,-30011.913994421448,912.8231870412839
60,30.0,-30036.33984375,24.400778629274672,-30011.939065120725,983.1922704665951
70,35.0,-30037.54296875,25.603278940342285,-30011.939689809657,1031.6451919507033
80,40.0,-30038.48046875,26.52183781554178,-30011.95863093446,1068.6571250445563
90,45.0,-30039.490234375,27.51090597089836,-30011.9793284041,1108.5101223642632
100,50.0,-30039.154296875,27.340543094411807,-30011.81375378059,1101.6456093140494
110,55.0,-30038.931640625,27.105968038767905,-30011.825672586234,1092.1937641472457
120,60.0,-30038.953125,27.122242848087907,-30011.830882151913,1092.849532840936
130,65.0,-30041.056640625,29.19815783720346,-30011.858482787797,1176.4953706420074
140,70.0,-30039.4140625,27.567384882693464,-30011.846677617308,1110.7858542318804
150,75.0,-30039.62890625,27.72697449863218,-30011.901931751367,1117.2162751303933
160,80.0,-30040.814453125,28.963118709196824,-30011.851334415802,1167.0248263850267
170,85.0,-30041.11328125,29.254879579559322,-30011.85840167044,1178.7808869978164
180,90.0,-30040.96484375,29.164552441804265,-30011.800291308195,1175.1412923355545
190,95.0,-30042.017578125,30.09981798817752,-30011.91776013682,1212.8263953397955
200,100.0,-30040.8671875,29.061859395763108,-30011.805328104238,1171.0034322027961
210,105.0,-30042.228515625,30.399797237124282,-30011.828718387875,1224.9136030205775
220,110.0,-30043.138671875,31.250503553767356,-30011.88816832123,1259.191520445602
230,115.0,-30044.091796875,32.15310887784301,-30011.938687997157,1295.5606294562663
240,120.0,-30041.48828125,29.58407130761773,-30011.904209942382,1192.0451671032167
250,125.0,-30042.865234375,30.912951911707022,-30011.95228246329,1245.5903903177766
260,130.0,-30045.025390625,33.0734351810773,-30011.95195544392,1332.6437783751885
270,135.0,-30046.646484375,34.78867810092116,-30011.857806274078,1401.7568835914203
280,140.0,-30043.25390625,31.543512402241568,-30011.71039384776,1270.997866438698
290,145.0,-30046.271484375,34.422726481974735,-30011.848757893025,1387.011419580645
300,150.0,-30047.0390625,35.25246565822522,-30011.786596841775,1420.4444979666787
310,155.0,-30046.75,35.00538733928826,-30011.74461266071,1410.4888528182387
320,160.0,-30043.26171875,31.615912701275676,-30011.645806048724,1273.9151263946735
330,165.0,-30045.201171875,33.495360753002664,-30011.705811121996,1349.6446277059358
340,170.0,-30044.03125,32.37219706280294,-30011.659052937197,1304.3884547185605
350,175.0,-30046.849609375,35.23988771520584,-30011.609721659795,1419.9376888790298
360,180.0,-30048.95703125,37.26206924215784,-30011.69496200784,1501.4184185305921
370,185.0,-30049.248046875,37.40317905572279,-30011.844867819276,1507.1042238932778
380,190.0,-30049.349609375,37.50243114185639,-30011.847178233143,1511.103435778966
390,195.0,-30048.767578125,37.031879989608626,-30011.73569813539,1492.143292630333
400,200.0,-30048.708984375,37.02403089444476,-30011.684953480555,1491.8270252762247
410,205.0,-30049.580078125,37.746971139117626,-30011.833106985883,1520.9568031153146
420,210.0,-30049.294921875,37.439243478274186,-30011.855678396725,1508.5573849595742
430,215.0,-30048.83984375,37.06059865493593,-30011.779245095066,1493.3004675794164
440,220.0,-30049.876953125,38.01639353476281,-30011.860559590237,1531.8127688577822
450,225.0,-30047.853515625,36.045933535801225,-30011.807582089197,1452.4160795276173
460,230.0,-30047.302734375,35.51385146945881,-30011.78888290554,1430.976641760901
470,235.0,-30048.443359375,36.4913542919917,-30011.952005083007,1470.3636315809954
480,240.0,-30049.005859375,36.977282575196966,-30012.028576799803,1489.9433728387326
490,245.0,-30048.39453125,36.47096027368248,-30011.923570976316,1469.541885624851
500,250.0,-30046.66015625,34.76207804434743,-30011.898078205653,1400.6850747604558
510,255.0,-30047.435546875,35.45627307817152,-30011.979273796827,1428.6566080390407
520,260.0,-30050.0859375,38.05915524338664,-30012.026782256613,1533.5357868823157
530,265.0,-30048.875,36.831752246480285,-30012.04324775352,1484.0794495399473
540,270.0,-30049.87890625,37.85760808585242,-30012.02129816415,1525.41475064684
550,275.0,-30047.46875,35.504693958100816,-30011.9640560419,1430.6076537658587
560,280.0,-30050.43359375,38.33396767018363,-30012.099626079817,1544.6089357338367
570,285.0,-30049.94921875,37.90079623994089,-30012.04842251006,1527.1549516429084
580,290.0,-30050.650390625,38.60543767156037,-30012.044952953438,1555.5474066356194
590,295.0,-30049.16015625,37.1330171087739,-30012.027139141224,1496.2184590556067
600,300.0,-30051.88671875,39.81643509685114,-30012.07028365315,1604.3427064164373
610,305.0,-30049.693359375,37.68240514257947,-30012.01095423242,1518.3552144653884
620,310.0,-30047.119140625,35.11757268801679,-30012.001567936983,1415.009190853565
630,315.0,-30049.5546875,37.63235329374072,-30011.922334206258,1516.3384513264539
640,320.0,-30052.4609375,40.47962887275298,-30011.981308627248,1631.06509114829
650,325.0,-30052.10546875,40.10174654623014,-30012.003722203768,1615.8388974178388
660,330.0,-30052.5078125,40.47780440319072,-30012.030008096808,1630.9915769216102
670,335.0,-30052.6015625,40.54106241464691,-30012.060500085354,1633.5404623016118
680,340.0,-30050.982421875,38.86414442160128,-30012.1182774534,1565.9716017329265
690,345.0,-30048.845703125,36.79168233459815,-30012.0540207904,1482.4648933719106
700,350.0,-30053.384765625,41.17504365796558,-30012.209721967036,1659.0857724542923
710,355.0,-30051.337890625,39.207713589828586,-30012.13017703517,1579.8151989272576
720,360.0,-30049.228515625,37.10775527776528,-30012.120760347236,1495.200571988851
730,365.0,-30053.62890625,41.42964941682156,-30012.199256833177,1669.3447243478665
740,370.0,-30047.677734375,35.5774486322,-30012.1002857428,1433.5391927262103
750,375.0,-30051.625,39.46738991363908,-30012.15761008636,1590.2784615252533
760,380.0,-30052.029296875,39.95745669770079,-30012.071840177297,1610.0249573818987
770,385.0,-30050.75,38.56631902517437,-30012.183680974827,1553.971180264233
780,390.0,-30048.2265625,36.28646892722012,-30011.94009357278,1462.1080873610472
790,395.0,-30052.765625,40.779786974719194,-30011.98583802528,1643.1595054395227
800,400.0,-30052.5078125,40.53738319174592,-30011.970429308254,1633.3922136095296
810,405.0,-30054.943359375,42.822980653236925,-30012.120378721764,1725.4868877868523
820,410.0,-30053.451171875,41.62935655530465,-30011.821815319694,1677.3916198136533
830,415.0,-30051.193359375,39.47554206126408,-30011.717817313736,1590.6069399174544
840,420.0,-30051.390625,39.73534137762166,-30011.65528362238,1601.0751583131093
850,425.0,-30051.517578125,39.9359289633943,-30011.581649161606,1609.1575300635998
860,430.0,-30050.759765625,39.1492729430708,-30011.610492681928,1577.4604219323796
870,435.0,-30052.59765625,40.92122550447654,-30011.676430745523,1648.8585559213275
880,440.0,-30051.384765625,39.76484897010076,-30011.619916654898,1602.264121882113
890,445.0,-30054.2890625,42.49934994588671,-30011.789712554113,1712.4466805546692
900,450.0,-30052.666015625,40.98098269706756,-30011.685032927933,1651.266381128585
910,455.0,-30052.61328125,40.903566897979225,-30011.709714352022,1648.1470292246122
920,460.0,-30050.62109375,39.09142467866545,-30011.529669071333,1575.1295140836025
930,465.0,-30052.56640625,40.98373294847351,-30011.582673301527,1651.3771983268905
940,470.0,-30050.166015625,38.57116200234524,-30011.594853622653,1554.1663206649876
950,475.0,-30053.19921875,41.596962715139554,-30011.60225603486,1676.0863592830387
960,480.0,-30051.95703125,40.63672117585682,-30011.320310074145,1637.3948866235946
970,485.0,-30049.44921875,38.2389159883442,-30011.210302761654,1540.7789727519482
980,490.0,-30050.25,38.92220610217638,-30011.327793897824,1568.311108861738
990,495.0,-30050.8203125,39.52027870380147,-30011.3000337962,1592.409534900904
1000,500.0,-30051.982421875,41.1928480147924,-30010.78957386021,1659.8031719389037
1010,505.0,-30053.951171875,43.11067157101351,-30010.840500303988,1737.0789558490585
1020,510.0,-30048.470703125,37.649465198690244,-30010.82123792631,1517.0279495156283
1030,515.0,-30048.609375,37.75965246636103,-30010.84972253364,1521.4677779130623
1040,520.0,-30052.580078125,41.61005210033426,-30010.970026024665,1676.6137761554312
1050,525.0,-30051.7109375,40.856986596506765,-30010.853950903493,1646.2701468078856
1060,530.0,-30049.091796875,38.21288373778718,-30010.878913137214,1539.7300428010078
1070,535.0,-30052.279296875,41.235532138046935,-30011.043764736954,1661.5230637789596
1080,540.0,-30051.171875,40.25289107041341,-30010.918983929587,1621.929036185872
1090,545.0,-30053.37109375,42.38146425965495,-30010.989629490345,1707.6966560877177
1100,550.0,-30053.4140625,42.04254270011539,-30011.371519799886,1694.0403272181957
1110,555.0,-30050.25390625,39.139808847063016,-30011.114097402937,1577.079080575074
1120,560.0,-30051.7109375,40.60378386458335,-30011.107153635417,1636.067727751083
1130,565.0,-30052.640625,41.45210581393489,-30011.188519186064,1670.2495707218206
1140,570.0,-30051.421875,40.356364925738745,-30011.065510074262,1626.098357841419
1150,575.0,-30050.52734375,39.96563468920793,-30010.561709060792,1610.3544771140319
1160,580.0,-30049.744140625,39.092514016572785,-30010.651626608425,1575.1734072981058
1170,585.0,-30049.064453125,38.470628913879935,-30010.59382421112,1550.1154927382659
1180,590.0,-30050.267578125,39.713388308781035,-30010.55418981622,1600.1905927865312
1190,595.0,-30046.125,35.673464097966196,-30010.451535902033,1437.407989915875
1200,600.0,-30048.01171875,37.509979686261445,-30010.501739063737,1511.407592897273
1210,605.0,-30049.869140625,39.31975893277867,-30010.54938169222,1584.3298956426377
1220,610.0,-30051.01171875,40.59776278881753,-30010.413955961183,1635.8251176588894
1230,615.0,-30050.859375,40.311191631240334,-30010.54818336876,1624.2781686311837
1240,620.0,-30048.9375,38.55173207984132,-30010.385767920157,1553.3834214832912
1250,625.0,-30050.19921875,39.73272877571365,-30010.466489974286,1600.9698874920105
