step,time_fs,epot_ev,ekin_ev,etot_ev,temperature_k
0,0.0,-30030.810546875,7.539865744113628,-30023.270681130885,303.80742486120994
10,5.0,-30031.53515625,8.280065089204705,-30023.255091160794,333.63263190705635
20,10.0,-30034.21875,10.976646891322266,-30023.242103108678,442.28729513743536
30,15.0,-30035.396484375,12.14140716512334,-30023.255077209877,489.21953920828
40,20.0,-30036.212890625,12.961262043220202,-30023.25162858178,522.2543448305107
50,25.0,-30035.619140625,12.35999048259443,-30023.259150142407,498.02702160282485
60,30.0,-30035.494140625,12.251932257182565,-30023.242208367818,493.6729797257423
70,35.0,-30035.59375,12.349258645018603,-30023.24449135498,497.5945985267925
80,40.0,-30036.189453125,12.928701031906346,-30023.260752093094,520.9423483926613
90,45.0,-30036.310546875,13.059581307461379,-30023.25096556754,526.2159700765146
100,50.0,-30037.048828125,13.79302774620853,-30023.255800378793,555.7690790298614
110,55.0,-30036.693359375,13.439707812119838,-30023.25365156288,541.5325895523904
120,60.0,-30037.001953125,13.739288157765976,-30023.262664967235,553.6037240312555
130,65.0,-30036.205078125,12.945223219475086,-30023.259854905526,521.6080848167152
140,70.0,-30036.453125,13.194926206205277,-30023.258198793796,531.6694869627518
150,75.0,-30036.138671875,12.884148576494354,-30023.254523298507,519.1471749493506
160,80.0,-30037.19140625,13.923419626461492,-30023.267986623538,561.0230215676831
170,85.0,-30037.6171875,14.348123809917443,-30023.269063690084,578.1358308248331
180,90.0,-30037.076171875,13.825143111001237,-30023.251028764,557.0631188188016
190,95.0,-30037.720703125,14.432865047359702,-30023.287838077642,581.5503501280426
200,100.0,-30037.103515625,13.839366372421004,-30023.26414925258,557.636223509484
210,105.0,-30037.650390625,14.38314303549642,-30023.267247589505,579.5468772684768
220,110.0,-30037.671875,14.409000211124637,-30023.262874788874,580.5887528413841
230,115.0,-30036.90234375,13.666327892233824,-30023.236015857765,550.6639010767396
240,120.0,-30037.41015625,14.146044675105363,-30023.264111574896,569.9933593738833
250,125.0,-30038.650390625,15.394515019303325,-30023.255875605697,620.2985734398613
260,130.0,-30036.9375,13.69354446386009,-30023.24395553614,551.7605514442587
270,135.0,-30038.515625,15.275870230050943,-30023.239754769947,615.5179620710041
280,140.0,-30039.724609375,16.45716456555317,-30023.267444809448,663.1164210160123
290,145.0,-30039.251953125,16.021599402974694,-30023.230353722025,645.5659851205814
300,150.0,-30039.591796875,16.34193366195982,-30023.24986321304,658.4733669785505
310,155.0,-30037.95703125,14.714124490883467,-30023.24290675912,592.8832717150831
320,160.0,-30037.744140625,14.530380613363821,-30023.213760011637,585.4795915757069
330,165.0,-30038.703125,15.498370535628837,-30023.204754464372,624.483273545048
340,170.0,-30040.37109375,17.125028565116047,-30023.246065184885,690.0269853086339
350,175.0,-30040.16796875,16.928619103272354,-30023.239349646727,682.1129647085068
360,180.0,-30040.8515625,17.555886865887256,-30023.295675634112,707.3877653649062
370,185.0,-30039.322265625,16.069558254558515,-30023.25270737044,647.4984141177896
380,190.0,-30041.44921875,18.16320296903598,-30023.286015780963,731.8586442420801
390,195.0,-30040.416015625,17.15942769260436,-30023.256587932396,691.4130458426501
400,200.0,-30041.021484375,17.741604443142958,-30023.279879931855,714.8709727338922
410,205.0,-30040.544921875,17.280284442558514,-30023.264637432443,696.2827848044257
420,210.0,-30040.88671875,17.57996583033442,-30023.306752919667,708.3579906222628
430,215.0,-30041.609375,18.30386702199483,-30023.305507978006,737.5264883589774
440,220.0,-30042.056640625,18.751577023138555,-30023.30506360186,755.5662820566668
450,225.0,-30040.4375,17.188410209461928,-30023.249089790537,692.5808522879265
460,230.0,-30041.6484375,18.37408231919466,-30023.274355180805,740.355706988606
470,235.0,-30041.46484375,18.156379842123084,-30023.308463907877,731.583716718533
480,240.0,-30042.984375,19.63453125781323,-30023.349843742188,791.143580301829
490,245.0,-30043.640625,20.284778302249666,-30023.355846697752,817.3442961763888
500,250.0,-30044.1484375,20.803329659185103,-30023.345107840814,838.238534582667
510,255.0,-30043.689453125,20.400894225006752,-30023.288558899992,822.0230107152721
520,260.0,-30043.46484375,20.19486097371088,-30023.269982776288,813.7212141533308
530,265.0,-30043.037109375,19.838933471387662,-30023.198175903613,799.3796566789794
540,270.0,-30043.380859375,20.17748270309497,-30023.203376671903,813.0209831646713
550,275.0,-30043.46484375,20.331088213334034,-30023.133755536666,819.2102836235892
560,280.0,-30042.4765625,19.471608381779355,-30023.00495411822,784.5788507564156
570,285.0,-30044.81640625,21.770268595093363,-30023.046137654906,877.1998686549173
580,290.0,-30042.978515625,19.958813289316605,-30023.019702335685,804.210031650345
590,295.0,-30044.24609375,21.221326543082544,-30023.024767206916,855.0810834033848
600,300.0,-30044.171875,21.132042999726607,-30023.039832000275,851.4835387905212
610,305.0,-30043.232421875,20.238035595607297,-30022.99438627939,815.4608698902977
620,310.0,-30044.529296875,21.488150604487927,-30023.041146270512,865.8323532187479
630,315.0,-30043.185546875,20.186338022236527,-30022.999208852765,813.377794783873
640,320.0,-30043.8125,20.828909617643184,-30022.983590382355,839.2692401112466
650,325.0,-30044.87109375,21.848513651581275,-30023.02258009842,880.3526342248176
660,330.0,-30045.54296875,22.523163544215926,-30023.019805205786,907.5366257599773
670,335.0,-30044.994140625,21.952915028764636,-30023.041225596236,884.5593289632224
680,340.0,-30044.734375,21.7524648888765,-30022.981910111124,876.4824953856447
690,345.0,-30044.595703125,21.582732998671794,-30023.01297012633,869.6434069681653
700,350.0,-30046.17578125,23.155128343414226,-30023.020652906587,933.0006863630799
710,355.0,-30044.263671875,21.271411006590565,-30022.99226086841,857.099160700823
720,360.0,-30044.2578125,21.25717290917497,-30023.000639590824,856.5254582162486
730,365.0,-30044.111328125,21.05789225422889,-30023.05343587077,848.4957472560648
