step,time_fs,epot_ev,ekin_ev,etot_ev,temperature_k
0,0.0,-30022.806640625,7.539865744113628,-30015.266774880885,303.80742486120994
10,1.0,-30025.525390625,10.257010537809446,-30015.26838008719,413.2906425686643
20,2.0,-30030.119140625,14.853443902179913,-30015.26569672282,598.4969355408876
30,3.0,-30031.126953125,15.862718389081191,-30015.264234735918,639.1641162639633
40,4.0,-30028.09375,12.825456988101248,-30015.268293011897,516.7822866428653
50,5.0,-30026.9609375,11.686225508664236,-30015.274711991337,470.878686521233
60,6.0,-30030.3984375,15.137157677519827,-30015.26127982248,609.9287506963449
70,7.0,-30033.021484375,17.755812663077393,-30015.265671711924,715.4434713507957
80,8.0,-30031.10546875,15.84441526856714,-30015.261053481434,638.4266198550067
90,9.0,-30027.890625,12.636770090837786,-30015.253854909162,509.1794350393845
100,10.0,-30027.509765625,12.250690606824133,-30015.259075018177,493.6229493126321
110,11.0,-30029.7578125,14.496441668868624,-30015.261370831133,584.1120734156331
120,12.0,-30030.953125,15.67925723219915,-30015.273867767803,631.7718279227677
130,13.0,-30030.025390625,14.768147822667888,-30015.25724280233,595.0600597201827
140,14.0,-30030.09765625,14.839458393293025,-30015.258197856707,597.9334107269855
150,15.0,-30032.021484375,16.757489754761544,-30015.26399462024,675.2175678335909
160,16.0,-30032.607421875,17.339543448821022,-30015.26787842618,698.6705363511296
170,17.0,-30031.205078125,15.941890301083442,-30015.263187823915,642.3542280674154
180,18.0,-30030.751953125,15.481492047069965,-30015.27046107793,623.8031805143964
190,19.0,-30031.30859375,16.05567504822107,-30015.25291870178,646.9390114295535
200,20.0,-30031.900390625,16.631286600152762,-30015.269104024846,670.1324036261263
210,21.0,-30031.455078125,16.201520377499932,-30015.2535577475,652.8156271969945
220,22.0,-30030.7265625,15.45655598161758,-30015.27000651838,622.7984196753623
230,23.0,-30030.951171875,15.68843765494212,-30015.262734220058,632.1417390972281
240,24.0,-30031.537109375,16.271364003158894,-30015.265745371842,655.6298698870563
250,25.0,-30030.974609375,15.70108847243251,-30015.273520902567,632.6514845508716
260,26.0,-30030.787109375,15.527968974656876,-30015.259140400343,625.6758976375977
270,27.0,-30030.84765625,15.584136636876638,-30015.263519613123,627.9390881768699
280,28.0,-30030.779296875,15.520475057008538,-30015.25882181799,625.3739416213859
290,29.0,-30031.669921875,16.40610614499296,-30015.263815730006,661.0590996001782
300,30.0,-30032.099609375,16.830123217771504,-30015.269486157227,678.1442227774188
310,31.0,-30031.578125,16.316898994116034,-30015.261226005885,657.4646331060922
320,32.0,-30031.5625,16.299816319334226,-30015.262683680667,656.7763127020777
330,33.0,-30032.24609375,16.983826312498415,-30015.2622674375,684.3374552548853
340,34.0,-30031.328125,16.059773825982138,-30015.268351174018,647.1041654467375
