step,time_fs,epot_ev,ekin_ev,etot_ev,temperature_k
0,0.0,-30011.9140625,7.539865744113628,-30004.374196755885,303.80742486120994
10,1.0,-30013.109375,8.727961729129925,-30004.38141327087,351.67994593063867
20,2.0,-30015.27734375,10.893290976579932,-30004.38405277342,438.92859530586475
30,3.0,-30017.53125,13.139332006727312,-30004.39191799327,529.4294032326393
40,4.0,-30017.6015625,13.218330797077254,-30004.383231702923,532.6125393623647
50,5.0,-30019.23828125,14.858253879499816,-30004.380027370502,598.690746262828
60,6.0,-30020.86328125,16.482667637899777,-30004.380613612102,664.1440285356449
70,7.0,-30021.87890625,17.48916524125959,-30004.38974100874,704.699318959012
80,8.0,-30023.013671875,18.627630993189875,-30004.38604088181,750.5720652551439
90,9.0,-30023.353515625,18.97852334486426,-30004.374992280136,764.7107389906696
100,10.0,-30024.234375,19.859537178040213,-30004.37483782196,800.2098517080611
110,11.0,-30025.076171875,20.69960569223887,-30004.37656618276,834.0591350596814
120,12.0,-30024.859375,20.484461622008048,-30004.374913377993,825.3902319028826
130,13.0,-30024.9453125,20.564854930585867,-30004.380457569416,828.6295580240629
140,14.0,-30025.427734375,21.05374410841153,-30004.373990266587,848.3286040281226
150,15.0,-30026.177734375,21.791418644986912,-30004.386315730015,878.0520777541127
160,16.0,-30026.076171875,21.7040405308299,-30004.37213134417,874.531309513379
170,17.0,-30025.875,21.48992786496022,-30004.38507213504,865.9039652269347
180,18.0,-30025.580078125,21.203090846265994,-30004.376987278734,854.346303729793
190,19.0,-30026.869140625,22.490633767143173,-30004.378506857858,906.2258878583776
200,20.0,-30028.609375,24.229090646915203,-30004.380284353087,976.2743642902194
210,21.0,-30027.462890625,23.081207302864332,-30004.381683322135,930.0221504402012
220,22.0,-30026.11328125,21.738678945977444,-30004.374602304022,875.9270117797575
230,23.0,-30025.87109375,21.48447484190622,-30004.386618908095,865.6842439549694
240,24.0,-30024.830078125,20.44364684078304,-30004.386431284216,823.7456623573407
250,25.0,-30024.96484375,20.579561698115313,-30004.385282051884,829.222144858204
260,26.0,-30024.69921875,20.318530585851903,-30004.380688164147,818.7042931196215
270,27.0,-30023.708984375,19.31626528750874,-30004.392719087493,778.3195369911576
280,28.0,-30023.455078125,19.06966915196797,-30004.38540897303,768.3833206894476
290,29.0,-30023.69921875,19.31700518492504,-30004.382213565073,778.349350032442
300,30.0,-30024.251953125,19.872000960009597,-30004.37995216499,800.7120608497964
310,31.0,-30025.517578125,21.137839907672646,-30004.37973821733,851.7171163812917
320,32.0,-30025.00390625,20.623940421962562,-30004.379965828037,831.0103180522938
330,33.0,-30025.140625,20.75975363290349,-30004.380871367095,836.4827048663836
340,34.0,-30025.3984375,21.00868779730795,-30004.389749702692,846.5131284858943
350,35.0,-30024.138671875,19.76224929239835,-30004.3764225826,796.289784294378
360,36.0,-30024.828125,20.453566387834115,-30004.374558612166,824.1453554218665
370,37.0,-30025.509765625,21.136106904119696,-30004.37365872088,851.6472876383717
380,38.0,-30025.908203125,21.52573799618148,-30004.38246512882,867.3468800107645
390,39.0,-30025.5,21.12286378432477,-30004.377136215677,851.1136762640358
400,40.0,-30025.919921875,21.54905235071032,-30004.37086952429,868.2862964741461
410,41.0,-30025.833984375,21.453372775089544,-30004.38061159991,864.4310334671285
420,42.0,-30026.51953125,22.136187443598438,-30004.383343806403,891.9440122305898
430,43.0,-30026.529296875,22.145996721261483,-30004.38330015374,892.339262157803
440,44.0,-30026.376953125,21.9944208217553,-30004.382532303243,886.2317417770925
450,45.0,-30027.994140625,23.61339307466684,-30004.380747550334,951.465766860735
460,46.0,-30029.033203125,24.653132922433745,-30004.380070202566,993.3605029735443
470,47.0,-30029.234375,24.84499413832795,-30004.38938086167,1001.091258919307
480,48.0,-30028.845703125,24.46527353674088,-30004.38042958826,985.7909946904671
490,49.0,-30028.662109375,24.279359534567583,-30004.38274984043,978.2998726781148
500,50.0,-30029.4375,25.057755766330185,-30004.37974423367,1009.6641651893027
510,51.0,-30030.041015625,25.66603497556884,-30004.37498064943,1034.1738509618488
520,52.0,-30029.169921875,24.787365058628755,-30004.38255681637,998.769182784967
530,53.0,-30028.0078125,23.621612176638486,-30004.386200323363,951.7969430765221
540,54.0,-30027.71875,23.327612440561673,-30004.39113755944,939.9506707742462
550,55.0,-30028.05078125,23.667864729289644,-30004.38291652071,953.660619352877
560,56.0,-30028.611328125,24.228586219077222,-30004.382741905923,976.2540391375328
570,57.0,-30028.833984375,24.44631553206755,-30004.387668842934,985.0271107201447
580,58.0,-30027.39453125,23.006146386635173,-30004.388384863363,926.9976849601486
590,59.0,-30026.654296875,22.27076642974962,-30004.38353044525,897.3666678335683
600,60.0,-30027.873046875,23.503457391366354,-30004.369589483635,947.0360756729374
610,61.0,-30028.85546875,24.477195129914882,-30004.378273620085,986.2713571591574
620,62.0,-30028.1015625,23.723649592461285,-30004.377912907537,955.9083855865985
630,63.0,-30028.271484375,23.88624726845434,-30004.385237106544,962.4600116908739
640,64.0,-30028.865234375,24.482988038272943,-30004.38224633673,986.5047735926123
650,65.0,-30029.1015625,24.72605520600615,-30004.375507293993,996.2987955027485
660,66.0,-30029.83203125,25.442208742161863,-30004.389822507837,1025.1551132421691
670,67.0,-30030.189453125,25.79998330062883,-30004.38946982437,1039.5710950351558
680,68.0,-30029.697265625,25.312328540846043,-30004.384937084153,1019.9217880290485
690,69.0,-30029.365234375,24.981097449164324,-30004.384136925837,1006.5753348675511
700,70.0,-30029.421875,25.05145881142051,-30004.37041618858,1009.4104389665156
710,71.0,-30030.24609375,25.870751674015978,-30004.375342075986,1042.4225990287316
720,72.0,-30031.01953125,26.637663566658652,-30004.38186768334,1073.3241475584393
730,73.0,-30030.984375,26.59832426414654,-30004.386050735855,1071.739030183986
740,74.0,-30030.583984375,26.197839805464298,-30004.386144569537,1055.6021179075071
750,75.0,-30029.794921875,25.418573880194444,-30004.376347994807,1024.202782418921
760,76.0,-30028.64453125,24.25846860728598,-30004.386062642712,977.4581045305398
770,77.0,-30028.806640625,24.419028224335978,-30004.387612400664,983.9276101488254
780,78.0,-30029.044921875,24.659777004454213,-30004.385144870546,993.6282161554111
790,79.0,-30028.5,24.117826621006994,-30004.382173378992,971.7911495569526
800,80.0,-30028.6640625,24.27824617861494,-30004.385816321384,978.2550116929983
810,81.0,-30029.822265625,25.446285346492274,-30004.375980278506,1025.3193738146822
