condition,velocity_seed,test_config_index,drift_ev_per_atom_mev,drift_fraction_pct,plateau_temperature_mean,plateau_temperature_std
water_absolute,0,1,-0.5944935438909246,-0.00038020206347665633,687.8691997904787,30.536673968763257
water_absolute,0,2,-0.18655240707706375,-0.00011928273348064237,578.4299304750796,28.807335683621297
water_absolute,0,3,-0.9653273143233795,-0.0006174380299360731,747.3454376706542,35.659583911542654
water_absolute,0,4,-1.0388324591872333,-0.0006646902108745492,935.1062981166457,37.109894699926926
water_absolute,0,5,-0.8956651959692863,-0.0005728881992096478,744.2797713888406,30.24380179327409
water_absolute+momentum,0,1,-0.5383435916996859,-0.00034424770077457964,751.8533696635631,39.56065838204106
water_absolute+momentum,0,2,0.00986239067894227,6.305716445276924e-06,762.1291654021654,29.595193830024073
water_absolute+momentum,0,3,6.595017080864333,0.004217822322148454,826.3876199351272,49.78773151834029
water_absolute+momentum,0,4,-1.6585103977983333,-0.001061023793177903,1230.7798786643557,59.66339957823429
water_absolute+momentum,0,5,-0.9226692883051631,-0.0005900911090430475,906.6105045769569,49.686435111912594
