step,time_fs,epot_ev,ekin_ev,etot_ev,temperature_k
0,0.0,-30029.14453125,7.539865744113628,-30021.604665505885,303.80742486120994
10,5.0,-30036.7578125,15.044865332435304,-30021.712947167565,606.2099709930827
20,10.0,-30036.244140625,14.517467155879338,-30021.726673469122,584.959263442878
30,15.0,-30039.796875,18.0082004329449,-30021.788674567055,725.6130527508058
40,20.0,-30038.294921875,16.55657696322428,-30021.738344911777,667.1220924113309
50,25.0,-30037.71484375,15.975578814341816,-30021.73926493566,643.7116554816131
60,30.0,-30039.134765625,17.409094463450923,-30021.72567116155,701.4729887247266
70,35.0,-30037.474609375,15.761836177949036,-30021.71277319705,635.0992209702649
80,40.0,-30039.41015625,17.645199812223577,-30021.764956437775,710.9864947261535
90,45.0,-30038.505859375,16.7957540772072,-30021.710105297792,676.7593705209066
100,50.0,-30038.78515625,17.031026101881327,-30021.754130148118,686.2392989949557
110,55.0,-30038.333984375,16.621927667554502,-30021.712056707445,669.7552996684933
120,60.0,-30038.494140625,16.787923135444537,-30021.706217489555,676.4438346304951
130,65.0,-30037.72265625,16.006067431578394,-30021.71658881842,644.9401479514498
140,70.0,-30037.91796875,16.202077659838256,-30021.715891090163,652.8380820414006
150,75.0,-30038.0859375,16.376796821324852,-30021.709140678675,659.8781249714214
160,80.0,-30038.76953125,17.03963494600487,-30021.729896303994,686.5861792781022
170,85.0,-30037.658203125,15.96730210414532,-30021.690901020855,643.3781580300063
180,90.0,-30039.73046875,17.954561525783998,-30021.775907224215,723.4517545513457
190,95.0,-30038.7421875,17.01190824288246,-30021.730279257117,685.468973937664
200,100.0,-30040.572265625,18.83100898218032,-30021.74125664282,758.7668720601425
210,105.0,-30040.26171875,18.53564427268861,-30021.726074477312,746.8656002297242
220,110.0,-30040.501953125,18.769456429594218,-30021.732496695407,756.2867055519501
230,115.0,-30040.5390625,18.785952439177848,-30021.75311006082,756.9513871739009
240,120.0,-30040.103515625,18.402708280343223,-30021.700807344656,741.5091465637751
250,125.0,-30040.16015625,18.407084803241,-30021.753071446758,741.6854918988969
260,130.0,-30038.35546875,16.649801008018635,-30021.705667741982,670.878413537636
270,135.0,-30040.55078125,18.777542256040718,-30021.77323899396,756.6125116331133
280,140.0,-30039.884765625,18.169611027411754,-30021.715154597587,732.1168472100873
290,145.0,-30040.529296875,18.780578247474416,-30021.748718627525,756.7348422913338
300,150.0,-30040.736328125,18.987600097956303,-30021.748728027043,765.0764729541884
310,155.0,-30040.193359375,18.455988370809536,-30021.73737100419,743.6559867901517
320,160.0,-30040.328125,18.54828600742791,-30021.779838992574,747.374979707724
330,165.0,-30038.654296875,16.9218929824085,-30021.73240389259,681.841945896196
340,170.0,-30038.66015625,16.938961844496767,-30021.7211944055,682.529709738728
350,175.0,-30038.126953125,16.40767214475904,-30021.71928098024,661.1221991794562
360,180.0,-30038.681640625,16.9446046085424,-30021.737036016457,682.7570763354265
370,185.0,-30037.73046875,16.01846012984882,-30021.71200862015,645.439492883627
380,190.0,-30038.4140625,16.681908138833,-30021.73215436117,672.1721215509398
390,195.0,-30038.107421875,16.38364048898959,-30021.723781386012,660.1538801533294
400,200.0,-30038.537109375,16.846319693048173,-30021.69078968195,678.7968351199495
410,205.0,-30039.71875,17.97302598070148,-30021.7457240193,724.1957516847596
420,210.0,-30038.44140625,16.73570208976941,-30021.70570416023,674.3396670035708
430,215.0,-30038.021484375,16.305850494504394,-30021.715633880496,657.0194506148504
440,220.0,-30038.4921875,16.76361845730489,-30021.728569042694,675.4645145831254
450,225.0,-30039.138671875,17.407630577162166,-30021.731041297837,701.4140036527413
460,230.0,-30038.94921875,17.193661404338076,-30021.755557345663,692.79244120037
470,235.0,-30039.38671875,17.657318580274605,-30021.729400169726,711.4748020566849
480,240.0,-30039.42578125,17.703276066545747,-30021.722505183454,713.326589081942
490,245.0,-30038.7734375,17.051647461721224,-30021.72179003828,687.0702053323777
500,250.0,-30040.189453125,18.45054716185652,-30021.738905963142,743.4367415494207
510,255.0,-30038.75390625,17.019675399484314,-30021.734230850514,685.781939702014
520,260.0,-30039.30078125,17.605459591540694,-30021.69532165846,709.3852229636544
530,265.0,-30037.87890625,16.18767984078958,-30021.69122640921,652.2579438164978
540,270.0,-30038.912109375,17.17485114878822,-30021.73725822621,692.0345105563073
550,275.0,-30039.6640625,17.900672978232247,-30021.76338952177,721.2803974719455
560,280.0,-30039.14453125,17.410670058352032,-30021.73386119165,701.53647492538
570,285.0,-30038.689453125,16.94764797831178,-30021.74180514669,682.8797042924639
580,290.0,-30039.033203125,17.308022449592315,-30021.725180675407,697.4004456187844
590,295.0,-30039.162109375,17.44066785097355,-30021.721441524027,702.7451903637125
