step,time_fs,epot_ev,ekin_ev,etot_ev,temperature_k
0,0.0,-30016.587890625,8.036075779375395,-30008.551814845625,323.80145368338884
10,5.0,-30025.048828125,16.45829516662486,-30008.590532958377,663.1619768669774
20,10.0,-30031.3828125,22.778932896842825,-30008.603879603157,917.8424628951625
30,15.0,-30029.86328125,21.215223000723157,-30008.648058249277,854.8351504452039
40,20.0,-30028.7109375,20.101914091009682,-30008.60902340899,809.9760608521101
50,25.0,-30027.873046875,19.259345813122543,-30008.613701061877,776.0260533238622
60,30.0,-30029.4296875,20.81992402037247,-30008.609763479628,838.9071791329345
70,35.0,-30031.41796875,22.740912539430227,-30008.67705621057,916.3104904078748
80,40.0,-30032.814453125,24.070902001770634,-30008.74355112323,969.9003933795072
90,45.0,-30032.220703125,23.567227679409964,-30008.65347544559,949.6056024590492
100,50.0,-30030.0859375,21.58990686189314,-30008.496030638107,869.9324668779237
110,55.0,-30029.84375,21.319836591027396,-30008.52391340897,859.0503959886181
120,60.0,-30028.46875,20.01353835532643,-30008.455211644672,806.4150949689835
130,65.0,-30029.48828125,21.033449973052285,-30008.454831276948,847.5108827035632
140,70.0,-30029.44140625,20.968670732863615,-30008.472735517138,844.9007017250027
150,75.0,-30030.892578125,22.367582541687,-30008.524995583313,901.2677258432195
160,80.0,-30029.857421875,21.32036421372484,-30008.537057661277,859.0716557428962
170,85.0,-30030.419921875,21.921396663261294,-30008.49852521174,883.2893443528359
180,90.0,-30029.58984375,21.07946962295661,-30008.510374127043,849.3651745178919
190,95.0,-30031.625,23.058592506857494,-30008.56640749314,929.1109216236985
200,100.0,-30030.966796875,22.39891737729919,-30008.5678794977,902.5303153957219
210,105.0,-30031.77734375,23.194776556836757,-30008.582567193163,934.5982508329315
220,110.0,-30030.525390625,21.96956965080719,-30008.555820974194,885.2304016330156
230,115.0,-30031.53515625,22.95889086238916,-30008.57626538761,925.0935954685212
240,120.0,-30030.021484375,21.473888548502117,-30008.547595826498,865.2576853600187
250,125.0,-30030.212890625,21.66243558899457,-30008.550455036006,872.8549016475812
260,130.0,-30030.21484375,21.663425435968133,-30008.551418314033,872.8947860261962
270,135.0,-30028.0078125,19.4742576408473,-30008.533554859154,784.6855986220324
280,140.0,-30029.240234375,20.66445545089481,-30008.575778924107,832.6428095350093
290,145.0,-30030.46875,21.897617313758495,-30008.57113268624,882.3311916240608
300,150.0,-30032.65625,24.07738350731748,-30008.578866492684,970.1615557895872
310,155.0,-30030.529296875,21.999896635963044,-30008.529400239036,886.4523813839412
320,160.0,-30031.52734375,22.98641038101863,-30008.540933368982,926.202452624866
330,165.0,-30030.708984375,22.170740710544184,-30008.538243664454,893.3362835796552
340,170.0,-30031.392578125,22.85273355310187,-30008.539844571897,920.8161481161005
350,175.0,-30030.044921875,21.532383958655515,-30008.512537916344,867.6146689626482
360,180.0,-30028.95703125,20.474258523826098,-30008.482772726173,824.979113576713
370,185.0,-30030.564453125,22.02239012975302,-30008.542062995246,887.3587225120706
380,190.0,-30030.109375,21.636445603020334,-30008.47292939698,871.8076746837356
390,195.0,-30028.833984375,20.318971288947992,-30008.515013086053,818.722050580735
400,200.0,-30029.7578125,21.241918303602418,-30008.515894196396,855.910797081216
410,205.0,-30028.896484375,20.410693347532693,-30008.485791027466,822.4178514566778
420,210.0,-30028.052734375,19.545722133261002,-30008.50701224174,787.5651516732484
430,215.0,-30029.275390625,20.705509429933272,-30008.569881195068,834.2970171927144
440,220.0,-30029.658203125,21.102166989825793,-30008.556036135175,850.2797304017338
450,225.0,-30029.5703125,21.023009627095256,-30008.547302872903,847.0902048390612
460,230.0,-30030.91796875,22.31082019407399,-30008.607148555926,898.9805733603191
470,235.0,-30030.384765625,21.827344544775265,-30008.557421080226,879.499657256313
480,240.0,-30028.099609375,19.58310687273399,-30008.516502502265,789.071512902195
490,245.0,-30030.923828125,22.312707819588574,-30008.61112030541,899.0566323600614
500,250.0,-30029.79296875,21.23231004504855,-30008.56065870495,855.5236469133326
510,255.0,-30030.29296875,21.7277800367005,-30008.5651887133,875.4878568035818
520,260.0,-30029.498046875,20.889746178230563,-30008.60830069677,841.7205568106049
530,265.0,-30030.544921875,21.9154074190904,-30008.629514455908,883.0480168663557
540,270.0,-30031.837890625,23.163776154471186,-30008.67411447053,933.3491367595545
550,275.0,-30030.98828125,22.325951103288496,-30008.66233014671,899.5902503386999
560,280.0,-30030.474609375,21.829922691845454,-30008.644686683154,879.6035397721149
570,285.0,-30031.6640625,23.00716152564776,-30008.65690097435,927.0385884430165
580,290.0,-30030.642578125,21.9776314976593,-30008.66494662734,885.5552414928867
590,295.0,-30029.818359375,21.174750539560215,-30008.64360883544,853.2043741660231
600,300.0,-30030.74609375,22.086449666534264,-30008.659644083466,889.9399041362269
610,305.0,-30031.318359375,22.657192617454918,-30008.661166757545,912.9371234583696
620,310.0,-30030.267578125,21.59952391398467,-30008.668054211015,870.3199713680355
630,315.0,-30029.658203125,21.02280210849127,-30008.63540101651,847.0818431924714
640,320.0,-30029.744140625,21.091825078206995,-30008.65231554679,849.8630187992093
650,325.0,-30030.0859375,21.422975758027974,-30008.66296174197,863.2062318870542
660,330.0,-30029.669921875,21.018247285850933,-30008.65167458915,846.8983135403498
670,335.0,-30030.021484375,21.334805517919527,-30008.68667885708,859.653546135633
680,340.0,-30030.09375,21.400685625496834,-30008.693064374504,862.3080848916137
690,345.0,-30031.296875,22.620673198041786,-30008.676201801958,911.4656289854087
700,350.0,-30030.544921875,21.924250635304862,-30008.620671239696,883.4043408165141
710,355.0,-30031.57421875,22.915315971713312,-30008.658902778287,923.3378115097454
720,360.0,-30030.509765625,21.848835815311613,-30008.66092980969,880.3656153224418
730,365.0,-30032.900390625,24.24527004930208,-30008.6551205757,976.9262887066174
740,370.0,-30032.025390625,23.37100838159541,-30008.654382243403,941.6992442293082
750,375.0,-30030.630859375,21.99927361672308,-30008.631585758278,886.4272777710446
760,380.0,-30032.275390625,23.59863241552859,-30008.676758209473,950.8710085461662
770,385.0,-30031.08203125,22.41883451962207,-30008.663196730377,903.3328463591456
780,390.0,-30029.796875,21.15610981519262,-30008.640765184806,852.4532745231564
790,395.0,-30031.142578125,22.473090187943072,-30008.669487937055,905.5189960116903
800,400.0,-30031.189453125,22.510210859726456,-30008.679242265272,907.0147170346319
810,405.0,-30031.33203125,22.666541694363055,-30008.66548955564,913.3138302959559
820,410.0,-30029.9140625,21.29618333799548,-30008.617879162004,858.097324125392
830,415.0,-30029.666015625,21.01475637728979,-30008.651259247712,846.7576526882365
840,420.0,-30028.98046875,20.353833231874706,-30008.626635518125,820.1267595590734
850,425.0,-30029.060546875,20.423657569494218,-30008.636889305504,822.9402250669156
860,430.0,-30030.328125,21.667438038746578,-30008.660686961255,873.0564677534951
870,435.0,-30030.6328125,21.985806747595003,-30008.647005752406,885.8846507575678
880,440.0,-30030.150390625,21.518510227046743,-30008.631880397952,867.0556480441966
890,445.0,-30029.88671875,21.25206466545104,-30008.634654084548,856.3196293031089
900,450.0,-30030.73828125,22.0823411981277,-30008.65594005187,889.7743596492185
910,455.0,-30031.12890625,22.453682244582833,-30008.675224005416,904.7369824461663
920,460.0,-30031.34765625,22.69865185171335,-30008.649004398285,914.6076602589227
930,465.0,-30031.03125,22.37931554957649,-30008.651934450423,901.7404895546377
940,470.0,-30030.712890625,22.0668708398449,-30008.646019785156,889.151005086805
950,475.0,-30031.26953125,22.61526144179649,-30008.654269808205,911.2475704967488
960,480.0,-30032.20703125,23.528981941273372,-30008.678049308728,948.0645485982075
970,485.0,-30032.0,23.33003870637979,-30008.66996129362,940.0484334659501
980,490.0,-30033.048828125,24.32130943393358,-30008.727518691067,979.9901800830602
990,495.0,-30030.01171875,21.36581354291176,-30008.64590520709,860.9029673511601
1000,500.0,-30029.6640625,20.999928926536967,-30008.664133573464,846.1602031071232
1010,505.0,-30031.189453125,22.493217469475837,-30008.696235655523,906.3299942150336
1020,510.0,-30032.291015625,23.561417822904236,-30008.729597802096,949.3715031257558
1030,515.0,-30031.630859375,22.914894408271497,-30008.71596496673,923.3208252518967
1040,520.0,-30030.73828125,22.053840143160564,-30008.684441106838,888.6259529786947
1050,525.0,-30030.599609375,21.936327415201674,-30008.663281959798,883.8909562982195
1060,530.0,-30031.904296875,23.21896265978304,-30008.685334215217,935.5727930731928
1070,535.0,-30032.236328125,23.542955868107903,-30008.693372256894,948.6276067309219
1080,540.0,-30031.615234375,22.904938186470353,-30008.71029618853,922.9196544340856
1090,545.0,-30030.6640625,21.96950570342509,-30008.694556796574,885.2278249704938
1100,550.0,-30030.349609375,21.6528992181332,-30008.696710156866,872.4706480849529
1110,555.0,-30030.396484375,21.719326967416897,-30008.677157407583,875.1472532307357
1120,560.0,-30031.310546875,22.59809437009107,-30008.712452504908,910.5558494470333
1130,565.0,-30032.513671875,23.807783016641885,-30008.70588885836,959.2984139786847
1140,570.0,-30031.3125,22.640691008969227,-30008.671808991032,912.2722162371741
1150,575.0,-30031.734375,22.982797095800343,-30008.7515779042,926.056860791442
1160,580.0,-30031.466796875,22.736320570081094,-30008.730476304918,916.1254639856086
1170,585.0,-30031.376953125,22.632897216136527,-30008.744055908865,911.9581772064058
1180,590.0,-30033.15234375,24.365470467827187,-30008.786873282173,981.7695817914926
1190,595.0,-30030.95703125,22.223859682348152,-30008.733171567652,895.4766317745335
1200,600.0,-30031.841796875,23.098868987427434,-30008.74292788757,930.733801162897
1210,605.0,-30030.806640625,22.074567472272214,-30008.73207315273,889.4611291867827
1220,610.0,-30031.322265625,22.573462637504853,-30008.748802987495,909.5633512380659
1230,615.0,-30030.7109375,21.967104616589467,-30008.74383288341,885.1310768276016
1240,620.0,-30031.0703125,22.377216297246843,-30008.693096202755,901.6559033741872
1250,625.0,-30031.404296875,22.65755007734036,-30008.74674679766,912.9515267608915
1260,630.0,-30030.33984375,21.612647814770533,-30008.72719593523,870.8487789936885
1270,635.0,-30032.939453125,24.164805133014113,-30008.774647991984,973.684077261645
1280,640.0,-30030.83984375,22.122573559368657,-30008.71727019063,891.3954614671445
1290,645.0,-30032.255859375,23.538126843118455,-30008.71773253188,948.4330285121015
1300,650.0,-30032.966796875,24.23697580389756,-30008.7298210711,976.5920847004677
1310,655.0,-30032.060546875,23.304048109125446,-30008.756498765873,939.0011818715021
1320,660.0,-30031.3828125,22.65924200804901,-30008.72357049195,913.0197005360068
1330,665.0,-30031.55078125,22.84868722155244,-30008.70209402845,920.6531073392634
1340,670.0,-30031.291015625,22.56837472510748,-30008.722640899894,909.3583415448134
1350,675.0,-30029.765625,21.030629112026862,-30008.734995887975,847.3972203980117
1360,680.0,-30031.134765625,22.417755895727097,-30008.717009729273,903.2893848494787
1370,685.0,-30032.65234375,23.91646905796707,-30008.735874692033,963.6777527433228
1380,690.0,-30032.109375,23.39270652478166,-30008.71666847522,942.5735379142894
1390,695.0,-30032.8125,24.082099732795623,-30008.730400267203,970.3515889236251
1400,700.0,-30031.935546875,23.19227833596887,-30008.74326853903,934.4975888219135
1410,705.0,-30031.15625,22.438721368690594,-30008.71752863131,904.1341567019496
1420,710.0,-30029.853515625,21.164073771349102,-30008.68944185365,852.774170026302
1430,715.0,-30030.619140625,21.89363362053171,-30008.725507004467,882.1706747631854
1440,720.0,-30031.25390625,22.56310522294458,-30008.690801027056,909.1460149680887
1450,725.0,-30031.662109375,22.913722835352036,-30008.748386539646,923.2736185026286
1460,730.0,-30030.146484375,21.413530741120063,-30008.73295363388,862.8256592930657
1470,735.0,-30030.40234375,21.646608395684662,-30008.755735354316,872.2171689603622
1480,740.0,-30031.466796875,22.736847418912994,-30008.729949456087,916.1466925581512
1490,745.0,-30031.0859375,22.387759018213984,-30008.698178481787,902.0807062840478
1500,750.0,-30031.48046875,22.76504409042842,-30008.71542465957,917.282834560341
1510,755.0,-30030.89453125,22.193843707147398,-30008.700687542852,894.2671836968196
1520,760.0,-30031.16015625,22.43941846588332,-30008.720737784115,904.1622451733081
1530,765.0,-30033.3359375,24.596627624669892,-30008.73930987533,991.0837079234395
1540,770.0,-30032.240234375,23.50602362478791,-30008.73421075021,947.1394781463839
1550,775.0,-30033.025390625,24.305347870102594,-30008.720042754896,979.3470331400215
1560,780.0,-30031.73828125,23.011956724563447,-30008.726324525436,927.2318036916314
1570,785.0,-30032.35546875,23.621554414484777,-30008.733914335517,951.7946156383729
1580,790.0,-30032.232421875,23.474054368496457,-30008.758367506503,945.8513255773256
1590,795.0,-30033.19140625,24.444016727759177,-30008.74738952224,984.9344838961549
1600,800.0,-30030.66796875,21.953919750576535,-30008.714048999424,884.5998127008291
1610,805.0,-30031.19140625,22.468465449559048,-30008.722940800442,905.3326492109924
1620,810.0,-30029.865234375,21.149585307152066,-30008.715649067846,852.1903793929832
1630,815.0,-30031.34375,22.618568265121134,-30008.72518173488,911.3808139141818
1640,820.0,-30031.7265625,22.97875512136266,-30008.747807378637,925.8939955777972
1650,825.0,-30032.93359375,24.20432026666622,-30008.729273483335,975.2762794845115
1660,830.0,-30031.71875,22.98685248083639,-30008.731897519163,926.2202663647553
1670,835.0,-30032.072265625,23.3411449615675,-30008.731120663433,940.4959431303051
1680,840.0,-30030.919921875,22.195632652422365,-30008.724289222577,894.339266526362
1690,845.0,-30031.1796875,22.42745166732984,-30008.75223583267,903.680061222592
1700,850.0,-30031.7421875,23.037792762921967,-30008.704394737077,928.272827570398
1710,855.0,-30032.275390625,23.535009106993133,-30008.740381518008,948.3074040758348
1720,860.0,-30032.80078125,24.072222397477375,-30008.728558852523,969.9535967166855
1730,865.0,-30032.033203125,23.27416361868495,-30008.759039506316,937.797031772264
1740,870.0,-30031.724609375,22.978591023376794,-30008.746018351623,925.887383498988
1750,875.0,-30031.90234375,23.154773902319747,-30008.74756984768,932.9864046981494
1760,880.0,-30032.375,23.630041121175793,-30008.744958878826,952.1365745794009
1770,885.0,-30033.076171875,24.33922963542997,-30008.73694223957,980.7122473524759
1780,890.0,-30031.318359375,22.621812662350866,-30008.69654671265,911.5115419670468
1790,895.0,-30031.865234375,23.112878698970338,-30008.752355676028,931.2983011860202
1800,900.0,-30031.357421875,22.620625396305737,-30008.736796478694,911.4637028871431
1810,905.0,-30032.728515625,23.978777728303605,-30008.7497378967,966.1883858664984
1820,910.0,-30031.31640625,22.625312741799505,-30008.6910935082,911.6525723461262
1830,915.0,-30031.02734375,22.30489976111071,-30008.72244398889,898.7420185168139
1840,920.0,-30029.658203125,20.963365481815206,-30008.694837643186,844.6869347012971
1850,925.0,-30032.376953125,23.61677411139386,-30008.760179013607,951.6020005943661
1860,930.0,-30032.947265625,24.254171441316927,-30008.693094183684,977.2849567621888
1870,935.0,-30032.009765625,23.29392841882843,-30008.71583720617,938.5934243392238
1880,940.0,-30032.380859375,23.6282960279417,-30008.752563347058,952.0662587011631
1890,945.0,-30032.701171875,23.92170217186696,-30008.77946970313,963.8886131103224
1900,950.0,-30032.923828125,24.18957483849777,-30008.7342532865,974.68213487871
1910,955.0,-30033.14453125,24.440407938059224,-30008.70412331194,984.7890732028061
1920,960.0,-30032.837890625,24.116909517449546,-30008.72098110755,971.7541962636745
1930,965.0,-30032.38671875,23.667774816094344,-30008.718943933905,953.6569964373965
1940,970.0,-30033.3515625,24.59089907547144,-30008.760663424528,990.8528847444551
1950,975.0,-30031.775390625,23.051985065808843,-30008.72340555919,928.8446848340739
1960,980.0,-30030.5546875,21.845337952841867,-30008.70934954716,880.2246742731556
1970,985.0,-30031.314453125,22.573747382552057,-30008.740705742446,909.5748246067529
1980,990.0,-30031.63671875,22.923865336124003,-30008.712853413876,923.6822951483089
1990,995.0,-30033.587890625,24.83923912843172,-30008.748651496568,1000.8593695467424
2000,1000.0,-30031.125,22.418064884045414,-30008.706935115955,903.3018350639103
