step,time_fs,epot_ev,ekin_ev,etot_ev,temperature_k
0,0.0,-30018.17578125,7.539865744113628,-30010.635915505885,303.80742486120994
10,1.0,-30025.8828125,15.241575211235027,-30010.641237288764,614.136096437632
20,2.0,-30034.52734375,23.874139243629035,-30010.653204506372,961.9721372422866
30,3.0,-30030.51171875,19.87351730376168,-30010.63820144624,800.7731596154985
40,4.0,-30025.74609375,15.106502231125846,-30010.639591518873,608.6935360992949
50,5.0,-30029.68359375,19.049163304072877,-30010.634430445927,767.5570687301911
60,6.0,-30031.826171875,21.182281287321672,-30010.64389058768,853.5078141956382
70,7.0,-30029.4375,18.798650417973278,-30010.63884958203,757.4630329206163
80,8.0,-30029.23046875,18.58908036570673,-30010.641388384294,749.0187263417048
90,9.0,-30030.453125,19.81267587959175,-30010.64044912041,798.3216469454771
100,10.0,-30031.0,20.354527141644574,-30010.645472858356,820.1547195980747
110,11.0,-30028.255859375,17.61130800255086,-30010.64455137245,709.6208757920773
120,12.0,-30028.48828125,17.849853943440444,-30010.63842730656,719.2327217416338
130,13.0,-30033.609375,22.965634697541297,-30010.643740302457,925.3653280511417
140,14.0,-30032.7421875,22.099015922483144,-30010.643171577518,890.4462423111415
150,15.0,-30028.408203125,17.77346554310191,-30010.6347375819,716.1547673079975
160,16.0,-30029.939453125,19.306290213720402,-30010.63316291128,777.9176065611891
170,17.0,-30032.31640625,21.67887580216045,-30010.63753044784,873.5173350377241
180,18.0,-30030.96875,20.33328996177316,-30010.635460038226,819.2989997289133
190,19.0,-30029.84765625,19.20160270641818,-30010.646053543584,773.6993826447411
200,20.0,-30030.349609375,19.70598119111872,-30010.64362818388,794.0225467159185
210,21.0,-30031.0,20.360257041010236,-30010.63974295899,820.3855971799939
220,22.0,-30029.685546875,19.04489221058116,-30010.640654664418,767.384971512668
230,23.0,-30029.23828125,18.596696454648054,-30010.64158479535,749.3256050643907
240,24.0,-30030.81640625,20.183983115775543,-30010.632423134226,813.282907408954
250,25.0,-30031.66796875,21.02528141089745,-30010.642687339103,847.1817429128425
260,26.0,-30031.619140625,20.977643778464458,-30010.641496846536,845.2622569528637
270,27.0,-30031.240234375,20.598651352474448,-30010.641583022527,829.9913334524264
280,28.0,-30030.478515625,19.840685206638348,-30010.63783041836,799.4502401871758
290,29.0,-30030.884765625,20.23176386442847,-30010.653001760573,815.2081600193893
300,30.0,-30029.572265625,18.93836606514244,-30010.633899559856,763.0926624683863
310,31.0,-30029.544921875,18.90296516743278,-30010.641956707568,761.6662371266164
320,32.0,-30031.794921875,21.157131358616425,-30010.637790516383,852.4944360620356
330,33.0,-30030.513671875,19.884774746424213,-30010.628897128576,801.2267611492522
340,34.0,-30030.9453125,20.309110142880776,-30010.63620235712,818.324710695048
350,35.0,-30032.2578125,21.61467898345763,-30010.643133516543,870.930621847292
360,36.0,-30031.7421875,21.10493844455276,-30010.637249055446,850.3914019556175
370,37.0,-30030.9453125,20.310320254738322,-30010.63499224526,818.3734703122232
380,38.0,-30030.408203125,19.7667665954735,-30010.641436529528,796.4718021526734
390,39.0,-30030.3984375,19.769619704863196,-30010.628817795136,796.5867638570257
400,40.0,-30030.814453125,20.163457913082944,-30010.650995211916,812.4558755775635
410,41.0,-30030.86328125,20.22557484635957,-30010.63770640364,814.95878294747
420,42.0,-30032.076171875,21.441331590840534,-30010.634840284158,863.9458522579237
430,43.0,-30032.435546875,21.799894843639628,-30010.63565203136,878.3936132897161
440,44.0,-30030.7734375,20.140370357786054,-30010.633067142215,811.5255976443569
450,45.0,-30030.74609375,20.11688164285052,-30010.62921210715,810.579155593524
460,46.0,-30032.857421875,22.21431822077143,-30010.643103654227,895.0921730892711
470,47.0,-30032.220703125,21.584997253061218,-30010.63570587194,869.7346416557085
480,48.0,-30029.576171875,18.947062878683468,-30010.629108996316,763.4430873454421
490,49.0,-30030.259765625,19.613434743626943,-30010.646330881373,790.2935283425501
500,50.0,-30031.44921875,20.813893548183007,-30010.635325201816,838.6641904261386
510,51.0,-30030.9609375,20.33366454023077,-30010.62727295977,819.3140927982697
520,52.0,-30031.755859375,21.11332247940291,-30010.642536895597,850.729223890943
530,53.0,-30032.587890625,21.956958772097067,-30010.630931852902,884.722265451791
540,54.0,-30032.32421875,21.68296587254988,-30010.64125287745,873.6821382046085
550,55.0,-30031.978515625,21.34036422542546,-30010.638151399573,859.8775258018827
560,56.0,-30031.546875,20.90726404826659,-30010.639610951734,842.4264127456198
570,57.0,-30032.451171875,21.815577098046894,-30010.63559477695,879.0255058842506
580,58.0,-30031.55078125,20.912856043271347,-30010.637925206727,842.6517336810169
590,59.0,-30029.72265625,19.08891108504823,-30010.633745164952,769.1586451231789
600,60.0,-30030.068359375,19.43306242187964,-30010.63529695312,783.0256999161531
610,61.0,-30033.18359375,22.54596281996144,-30010.63763093004,908.4552879070258
620,62.0,-30034.38671875,23.74513677526298,-30010.641581974738,956.7741789436753
630,63.0,-30032.724609375,22.088091617703054,-30010.636517757295,890.0060640617835
640,64.0,-30031.1875,20.550886738768398,-30010.63661326123,828.0667309751402
650,65.0,-30033.8671875,23.229621023170765,-30010.637566476827,936.0022556185422
660,66.0,-30034.244140625,23.598132624521043,-30010.64600800048,950.850870227511
670,67.0,-30031.767578125,21.129486953585662,-30010.638091171415,851.3805467980559
680,68.0,-30030.08203125,19.437506792624696,-30010.644524457377,783.2047790771101
690,69.0,-30029.77734375,19.13311899945043,-30010.64422475055,770.9399358104173
700,70.0,-30031.498046875,20.863191667540836,-30010.63485520746,840.6505831817782
710,71.0,-30032.6640625,22.012664522945713,-30010.651397977053,886.9668439747575
720,72.0,-30032.208984375,21.572828417334758,-30010.636155957665,869.2443169243297
730,73.0,-30031.947265625,21.312599233094424,-30010.634666391907,858.7587776560064
740,74.0,-30032.17578125,21.53199127978817,-30010.64378997021,867.5988465648053
