step,time_fs,epot_ev,ekin_ev,etot_ev,temperature_k
0,0.0,-30018.40234375,7.539865744113628,-30010.862478005885,303.80742486120994
10,1.0,-30020.423828125,9.549891983023322,-30010.873936141976,384.7983756647252
20,2.0,-30021.78515625,10.910400297494293,-30010.874755952507,439.6179893752717
30,3.0,-30023.634765625,12.745478680026824,-30010.889286944974,513.5596823359097
40,4.0,-30025.4609375,14.572462921219405,-30010.88847457878,587.1752341793969
50,5.0,-30026.150390625,15.28534518495129,-30010.86504544005,615.8997409708735
60,6.0,-30025.505859375,14.636368229786171,-30010.869491145215,589.7502014121739
70,7.0,-30026.951171875,16.08541683741538,-30010.865755037583,648.1374115990715
80,8.0,-30026.775390625,15.906177985833096,-30010.869212639165,640.9152546293925
90,9.0,-30027.880859375,17.02117743991582,-30010.859681935086,685.8424621371635
100,10.0,-30029.10546875,18.23348953922597,-30010.871979210773,734.690734708468
110,11.0,-30029.615234375,18.740847607993054,-30010.874386767005,755.1339565887807
120,12.0,-30029.423828125,18.522699083307295,-30010.901129041693,746.3439935083646
130,13.0,-30031.37109375,20.483087238113324,-30010.888006511886,825.3348531937653
140,14.0,-30032.1484375,21.259748202717947,-30010.88868929728,856.6292257535107
150,15.0,-30030.5703125,19.663857489841504,-30010.906455010158,792.3252362272476
160,16.0,-30031.185546875,20.279607574373866,-30010.905939300625,817.1359495593642
170,17.0,-30031.0703125,20.169643696889732,-30010.90066880311,812.7051223298091
180,18.0,-30030.283203125,19.385127685963976,-30010.898075439036,781.0942426231226
190,19.0,-30030.08984375,19.194342064160104,-30010.895501685838,773.406826105656
200,20.0,-30030.708984375,19.823817961195964,-30010.885166413806,798.7706001808066
210,21.0,-30030.494140625,19.597335587500428,-30010.8968050375,789.6448373271891
220,22.0,-30032.06640625,21.16509210267585,-30010.901314147322,852.8152021386147
230,23.0,-30030.494140625,19.58273222998932,-30010.91140839501,789.056417242489
240,24.0,-30029.462890625,18.56300826809545,-30010.899882356905,747.9681908143054
250,25.0,-30030.94140625,20.03247310312357,-30010.908933146875,807.1780418388448
260,26.0,-30030.146484375,19.24358382948884,-30010.902900545512,775.3909481613866
270,27.0,-30030.8125,19.906112115329403,-30010.906387884672,802.08651798318
280,28.0,-30031.05078125,20.146866146145307,-30010.903915103856,811.7873355586439
290,29.0,-30030.150390625,19.25964427165512,-30010.890746353343,776.0380792565893
300,30.0,-30029.609375,18.7116292252307,-30010.897745774768,753.9566462855342
310,31.0,-30031.4921875,20.583545456841122,-30010.90864204316,829.382664358263
320,32.0,-30031.82421875,20.927422861499995,-30010.8967958885,843.2386814708926
330,33.0,-30030.16796875,19.27288730560217,-30010.895081444396,776.5716871718156
340,34.0,-30030.732421875,19.839635404100598,-30010.8927864709,799.4079399902716
350,35.0,-30029.669921875,18.776051324796978,-30010.893870550204,756.5524368257919
360,36.0,-30028.845703125,17.9475052183708,-30010.89819790663,723.1674313741186
370,37.0,-30030.76171875,19.852472404245134,-30010.909246345756,799.9251873908503
380,38.0,-30031.107421875,20.208597054462476,-30010.89882482054,814.2746886398078
390,39.0,-30029.09765625,18.19693423488529,-30010.900722015114,733.217794306919
400,40.0,-30028.76171875,17.864850541383014,-30010.896868208616,719.8369868515488
410,41.0,-30029.09765625,18.201749833537416,-30010.895906416463,733.4118315318934
420,42.0,-30028.41015625,17.518805765043112,-30010.891350484955,705.8936387927887
430,43.0,-30028.466796875,17.56922114883865,-30010.89757572616,707.9250500200071
440,44.0,-30030.732421875,19.825775986539107,-30010.906645888463,798.8494958345889
450,45.0,-30030.2734375,19.38410390375116,-30010.88933359625,781.0529908756446
460,46.0,-30029.37890625,18.488771062460852,-30010.89013518754,744.9769155001067
470,47.0,-30031.623046875,20.73122412964649,-30010.891822745354,835.333151915279
480,48.0,-30031.462890625,20.565106292587835,-30010.897784332414,828.6396862737053
490,49.0,-30030.078125,19.18296492669974,-30010.8951600733,772.9484016520345
500,50.0,-30030.0703125,19.17503978998755,-30010.89527271001,772.6290703193667
510,51.0,-30030.755859375,19.86424753113981,-30010.89161184386,800.3996482235353
520,52.0,-30031.33984375,20.4423456775672,-30010.897498072434,823.693233964138
530,53.0,-30031.4609375,20.566566506704184,-30010.894370993297,828.6985233810875
540,54.0,-30032.0703125,21.17256358769206,-30010.897748912306,853.1162542660264
550,55.0,-30032.044921875,21.152242138697638,-30010.892679736302,852.2974323800712
560,56.0,-30031.052734375,20.161908198184385,-30010.890826176816,812.393432172259
570,57.0,-30030.58984375,19.704344438874095,-30010.885499311127,793.9565962731053
580,58.0,-30031.302734375,20.408145835564977,-30010.894588539435,822.3152033357455
590,59.0,-30030.927734375,20.026612602194476,-30010.901121772804,806.9419018655229
600,60.0,-30028.9609375,18.066217019659014,-30010.89472048034,727.9507428910596
610,61.0,-30029.724609375,18.825849658978996,-30010.89875971602,758.5589849771338
620,62.0,-30029.880859375,18.981883399937146,-30010.898975975062,764.8461273004524
630,63.0,-30030.130859375,19.230254063449763,-30010.90060531155,774.8538455083989
640,64.0,-30028.583984375,17.686420573600817,-30010.897563801398,712.6474226245865
650,65.0,-30030.845703125,19.948477943747136,-30010.897225181252,803.7935846167936
660,66.0,-30031.20703125,20.314600060284747,-30010.892431189714,818.545918568743
670,67.0,-30029.2421875,18.356289058255786,-30010.885898441746,739.6387545959268
680,68.0,-30030.76953125,19.876562615689668,-30010.89296863431,800.8958658288635
690,69.0,-30030.53515625,19.633982472460477,-30010.90117377754,791.1214678305358
700,70.0,-30031.255859375,20.35293254746037,-30010.90292682754,820.0904678501997
710,71.0,-30031.41015625,20.51683668665717,-30010.893319563344,826.6947359026315
720,72.0,-30031.083984375,20.19576416652928,-30010.88822020847,813.757606934532
730,73.0,-30031.53125,20.63050807432644,-30010.900741925674,831.274951617369
740,74.0,-30031.30078125,20.39999305404453,-30010.900788195955,821.9866994016912
750,75.0,-30031.935546875,21.039591395115735,-30010.895955479886,847.7583419668186
760,76.0,-30033.115234375,22.22388836296057,-30010.89134601204,895.4777874161985
770,77.0,-30031.779296875,20.880908168432697,-30010.898388706566,841.3644426450862
780,78.0,-30030.462890625,19.573532680329873,-30010.88935794467,788.6857353780141
790,79.0,-30033.11328125,22.207450685572937,-30010.90583056443,894.8154562013841
800,80.0,-30034.150390625,23.251315573383096,-30010.899075051617,936.8764045301028
810,81.0,-30031.99609375,21.107350300180187,-30010.88874344982,850.4885840106
820,82.0,-30031.208984375,20.31867181783818,-30010.890312557163,818.7099838477479
830,83.0,-30032.5078125,21.608870602517204,-30010.89894189748,870.6965819696587
840,84.0,-30032.0078125,21.10715371109305,-30010.900658788905,850.4806627522719
850,85.0,-30030.583984375,19.693123536176664,-30010.890860838823,793.5044670616819
860,86.0,-30032.427734375,21.521617546772635,-30010.906116828228,867.1808527674876
870,87.0,-30032.0078125,21.109286104040656,-30010.89852639596,850.5665842835285
880,88.0,-30031.7890625,20.897351049391446,-30010.891711450608,842.026983529886
890,89.0,-30031.802734375,20.90436443801117,-30010.89836993699,842.3095773595936
900,90.0,-30030.865234375,19.97758697809153,-30010.887647396907,804.9664888918162
910,91.0,-30030.806640625,19.91539408775492,-30010.891246537245,802.4605209476797
920,92.0,-30030.779296875,19.8827132968918,-30010.89658357811,801.1436981750325
930,93.0,-30029.6171875,18.728370054653222,-30010.888817445346,754.6311925506144
940,94.0,-30029.765625,18.8667357973928,-30010.898889202606,760.2064297520907
950,95.0,-30030.462890625,19.577062527228335,-30010.885828097773,788.8279651912192
960,96.0,-30029.96484375,19.064355220545156,-30010.900488529456,768.1692039032548
970,97.0,-30029.62109375,18.72692160910556,-30010.894172140896,754.5728296398117
980,98.0,-30030.716796875,19.818256230486142,-30010.898540644514,798.5464986991533
990,99.0,-30031.76953125,20.867240909656374,-30010.902290340342,840.8137412354506
1000,100.0,-30030.1640625,19.271269257285653,-30010.892793242714,776.506490375344
1010,101.0,-30030.0703125,19.176451694758107,-30010.89386080524,772.6859608751206
1020,102.0,-30030.39453125,19.50904185748789,-30010.885489392513,786.0871757378641
1030,103.0,-30030.380859375,19.483463461277843,-30010.897395913722,785.0565331576934
1040,104.0,-30031.283203125,20.393184977288428,-30010.89001814771,821.7123783013263
1050,105.0,-30031.1953125,20.304674727907702,-30010.890637772092,818.1459923933047
1060,106.0,-30031.619140625,20.723432579061473,-30010.895708045937,835.0192032324716
1070,107.0,-30032.14453125,21.244544503616364,-30010.899986746383,856.0166158173162
1080,108.0,-30032.845703125,21.948546617470644,-30010.89715650753,884.3833104728403
1090,109.0,-30033.162109375,22.254161330663045,-30010.907948044336,896.6975906159804
