step,time_fs,epot_ev,ekin_ev,etot_ev,temperature_k
0,0.0,-30026.052734375,7.539865744113628,-30018.512868630885,303.80742486120994
10,1.0,-30032.474609375,13.941211115971269,-30018.533398259027,561.7399025833206
20,2.0,-30038.333984375,19.789342409864147,-30018.544641965134,797.3814602642283
30,3.0,-30035.044921875,16.514533739361116,-30018.530388135638,665.4280246376834
40,4.0,-30031.7578125,13.241175118267583,-30018.516637381734,533.5330165471148
50,5.0,-30034.8671875,16.340657910198225,-30018.526529589803,658.4219625012553
60,6.0,-30037.640625,19.110977712359684,-30018.52964728764,770.0477863156594
70,7.0,-30035.12890625,16.611507687972953,-30018.517398562028,669.3354424361218
80,8.0,-30034.119140625,15.60441789945626,-30018.514722725544,628.756290812349
90,9.0,-30036.2265625,17.688830963906717,-30018.537731536093,712.7445456366664
100,10.0,-30036.162109375,17.640577152539265,-30018.52153222246,710.8002316834996
110,11.0,-30034.734375,16.21915444880256,-30018.5152205512,653.5261652853487
120,12.0,-30035.25,16.726002314931492,-30018.523997685068,673.9488293261834
130,13.0,-30037.685546875,19.164871967212203,-30018.520674907788,772.2193733620655
140,14.0,-30037.830078125,19.298359738965637,-30018.531718386035,777.5980601402131
150,15.0,-30034.40234375,15.876266658865958,-30018.526077091134,639.7100231931215
160,16.0,-30033.662109375,15.154110237671762,-30018.507999137328,610.611828329204
170,17.0,-30036.16796875,17.64487797147421,-30018.523090778526,710.9735266425564
180,18.0,-30036.7109375,18.19404788172892,-30018.51688961827,733.1014930955398
190,19.0,-30035.775390625,17.243673580007737,-30018.531717044993,694.807605769284
200,20.0,-30034.974609375,16.454468563916166,-30018.520140811084,663.0077897296529
210,21.0,-30034.564453125,16.03882919217083,-30018.52562393283,646.2602332762156
220,22.0,-30035.517578125,16.99859477950607,-30018.518983345493,684.9325281756792
230,23.0,-30035.330078125,16.8035460539862,-30018.526532071013,677.0733363765526
240,24.0,-30034.8828125,16.361429209969515,-30018.52138329003,659.2589104402107
250,25.0,-30035.1796875,16.659756727407277,-30018.519930772592,671.2795641114994
260,26.0,-30034.279296875,15.7584073665374,-30018.52088950846,634.9610622283645
270,27.0,-30034.748046875,16.237932035690964,-30018.510114839308,654.2827795953751
