step,time_fs,epot_ev,ekin_ev,etot_ev,temperature_k
0,0.0,-30018.89453125,7.443837302958888,-30011.45069394704,299.9381048479943
10,1.0,-30021.203125,9.74498676275281,-30011.45813823725,392.6594231481971
20,2.0,-30022.166015625,10.717582999272606,-30011.448432625726,431.8487095459644
30,3.0,-30022.2578125,10.799658108576924,-30011.458154391425,435.1558012700331
40,4.0,-30024.83984375,13.375389779087461,-30011.46445397091,538.9409922148701
50,5.0,-30025.2734375,13.832106951879355,-30011.44133054812,557.3437161976045
60,6.0,-30024.296875,12.84647332643127,-30011.45040167357,517.6291080379333
70,7.0,-30024.197265625,12.749669094970516,-30011.44759653003,513.7285287340219
80,8.0,-30025.62890625,14.175728398565838,-30011.453177851436,571.1894198729525
90,9.0,-30026.046875,14.590086556783097,-30011.456788443218,587.8853517755196
100,10.0,-30026.29296875,14.851510074538304,-30011.44145867546,598.4190148966929
110,11.0,-30027.830078125,16.380255056917143,-30011.449823068084,660.017469315938
120,12.0,-30029.478515625,18.02592237130023,-30011.4525932537,726.3271313084359
130,13.0,-30031.349609375,19.89221888521471,-30011.457390489784,801.5267114020821
140,14.0,-30031.046875,19.592124131289196,-30011.45475086871,789.4348496238208
150,15.0,-30030.365234375,18.908145127632213,-30011.457089247368,761.8749557460828
160,16.0,-30030.02734375,18.571323859264986,-30011.456019890735,748.3032549155976
170,17.0,-30030.923828125,19.477243771231073,-30011.44658435377,784.8059202050663
180,18.0,-30030.11328125,18.65299213912607,-30011.460289110873,751.5939540658856
190,19.0,-30028.912109375,17.46437213352452,-30011.447737241477,703.7003183838121
200,20.0,-30028.353515625,16.91340575996885,-30011.44010986503,681.499966173861
210,21.0,-30028.396484375,16.938011038569798,-30011.45847333643,682.4913984597188
220,22.0,-30029.08203125,17.626331165837556,-30011.455700084163,710.2262113121379
230,23.0,-30029.716796875,18.26128185848357,-30011.455515016518,735.8105839512962
240,24.0,-30030.8671875,19.422692465596416,-30011.444495034404,782.607858296521
250,25.0,-30030.87890625,19.422103999103715,-30011.456802250897,782.5841469340337
260,26.0,-30030.33203125,18.87891720155145,-30011.453114048447,760.6972609093327
270,27.0,-30030.8203125,19.36983625840196,-30011.450476241596,780.4780978020169
280,28.0,-30031.0703125,19.621290807330148,-30011.44902169267,790.6100764833549
290,29.0,-30030.248046875,18.798173674098678,-30011.4498732009,757.4438232511374
300,30.0,-30029.91015625,18.455096542856708,-30011.455059707143,743.6200519389272
310,31.0,-30029.486328125,18.02536458802308,-30011.460963536978,726.3046562794616
320,32.0,-30029.3515625,17.88769242628556,-30011.463870073716,720.7573658697876
330,33.0,-30029.28515625,17.82832725812051,-30011.45682899188,718.365336690653
340,34.0,-30030.109375,18.660606242185477,-30011.448768757815,751.9007527704796
350,35.0,-30030.134765625,18.688098515835655,-30011.446667109165,753.0085121318132
360,36.0,-30031.65234375,20.205058096217783,-30011.447285653783,814.1320916987613
370,37.0,-30031.61328125,20.1458833214482,-30011.46739792855,811.7477341319803
380,38.0,-30029.126953125,17.677459159034434,-30011.449493965967,712.2863360515727
390,39.0,-30030.384765625,18.94473554451225,-30011.44003008049,763.349310954012
400,40.0,-30030.298828125,18.83964913099246,-30011.459178994006,759.1150137181135
410,41.0,-30029.16796875,17.71241963300261,-30011.455549116996,713.6950151883983
420,42.0,-30029.92578125,18.47343218385224,-30011.45234906615,744.3588587112336
430,43.0,-30030.470703125,19.009247307214903,-30011.461455817785,765.9487143340062
440,44.0,-30030.5234375,19.070867639171524,-30011.452569860827,768.4316119088668
450,45.0,-30031.005859375,19.558317681989408,-30011.44754169301,788.0726701561707
460,46.0,-30030.525390625,19.06397617750513,-30011.461414447494,768.1539309403387
470,47.0,-30030.86328125,19.417202178712074,-30011.446079071287,782.3866355351763
480,48.0,-30030.21875,18.760405886327792,-30011.45834411367,755.9220276734992
490,49.0,-30029.783203125,18.334784818584172,-30011.448418306416,738.7722739582135
500,50.0,-30030.953125,19.501534368803572,-30011.451590631197,785.7846728973941
510,51.0,-30031.22265625,19.77613468975596,-30011.446521560243,796.8492752664398
520,52.0,-30030.7734375,19.32062790861099,-30011.45280959139,778.4953221745682
530,53.0,-30030.708984375,19.25427081843568,-30011.454713556563,775.8215641301117
540,54.0,-30029.845703125,18.395703510947563,-30011.44999961405,741.2269000325946
550,55.0,-30030.359375,18.90752027514326,-30011.451854724855,761.8497782652058
560,56.0,-30031.072265625,19.623064487029048,-30011.44920113797,790.6815442097228
570,57.0,-30030.115234375,18.673060937764127,-30011.442173437237,752.4025957899171
580,58.0,-30028.9296875,17.47987512280536,-30011.449812377195,704.3249877626721
590,59.0,-30028.58203125,17.138492530098873,-30011.4435387199,690.5694953039939
600,60.0,-30029.21875,17.759494547818917,-30011.45925545218,715.5918272976946
610,61.0,-30029.658203125,18.206772354671532,-30011.45143077033,733.6142063836285
620,62.0,-30030.830078125,19.376631717436723,-30011.453446407562,780.7519104904871
630,63.0,-30031.462890625,20.01279968593357,-30011.450090939066,806.3853314090363
640,64.0,-30030.228515625,18.78425512997547,-30011.444260495024,756.8829966805595
650,65.0,-30029.60546875,18.150668120903855,-30011.454800629097,731.3535715973823
660,66.0,-30028.68359375,17.236737290425346,-30011.446856459574,694.5281185280472
670,67.0,-30031.513671875,20.079049285238284,-30011.43462258976,809.0547582723151
680,68.0,-30030.984375,19.52898719055475,-30011.455387809445,786.890842604449
690,69.0,-30029.359375,17.9093356819469,-30011.450039318053,721.6294479454157
700,70.0,-30029.765625,18.315281877841798,-30011.450343122156,737.9864326176317
710,71.0,-30031.4609375,19.99986462526265,-30011.461072874736,805.8641328086602
720,72.0,-30030.765625,19.316363034996947,-30011.449261965005,778.3234755775577
730,73.0,-30031.169921875,19.71747520224173,-30011.45244667276,794.4856804160554
