step,time_fs,epot_ev,ekin_ev,etot_ev,temperature_k
0,0.0,-30044.3125,7.539865744113628,-30036.772634255885,303.80742486120994
10,1.0,-30043.767578125,7.002440042355843,-30036.765138082643,282.1526734310894
20,2.0,-30043.560546875,6.796491679656974,-30036.764055195345,273.8542973260807
30,3.0,-30044.412109375,7.643455646898342,-30036.7686537281,307.98142247266827
40,4.0,-30045.1640625,8.397916386027832,-30036.766146113972,338.38127070508017
50,5.0,-30044.9609375,8.194815865640319,-30036.76612163436,330.1976440755113
60,6.0,-30044.876953125,8.108062661315731,-30036.768890463685,326.7020556262226
70,7.0,-30045.701171875,8.941869438505908,-30036.759302436494,360.2990318068312
80,8.0,-30046.34375,9.57946672275137,-30036.764283277247,385.9900448300195
90,9.0,-30045.92578125,9.146503790676086,-30036.779277459325,368.5444618557016
100,10.0,-30045.8046875,9.043287180709992,-30036.76140031929,364.3855055107317
110,11.0,-30046.544921875,9.781202432920509,-30036.76371944208,394.11867850720154
120,12.0,-30046.845703125,10.081205418158934,-30036.76449770684,406.2068426057622
130,13.0,-30046.556640625,9.792800567710277,-30036.76384005729,394.5860077121577
140,14.0,-30046.677734375,9.909297561567572,-30036.768436813432,399.2800769315583
150,15.0,-30047.390625,10.625540887320488,-30036.765084112678,428.14001260626213
160,16.0,-30047.82421875,11.064987294409509,-30036.75923145559,445.84683734733335
170,17.0,-30047.75390625,10.994856380808505,-30036.75904986919,443.02101882650373
180,18.0,-30047.78125,11.016415257395536,-30036.764834742604,443.88970097564146
190,19.0,-30048.0390625,11.273656182390805,-30036.76540631761,454.25483288170244
200,20.0,-30048.12890625,11.361437554281684,-30036.767468695718,457.791849779619
210,21.0,-30047.919921875,11.15491396578176,-30036.76500790922,449.4702958256588
220,22.0,-30047.876953125,11.103810270465068,-30036.773142854534,447.4111501323582
230,23.0,-30047.892578125,11.132338242154702,-30036.760239882846,448.56064137128476
240,24.0,-30047.935546875,11.174018941393193,-30036.761527933606,450.2401017664445
250,25.0,-30047.99609375,11.240221806412766,-30036.755871943587,452.90764554276876
260,26.0,-30047.671875,10.90827379427811,-30036.763601205723,439.53230516178655
270,27.0,-30047.384765625,10.615238736341443,-30036.76952688866,427.7249030982555
280,28.0,-30047.4453125,10.678704425089032,-30036.76660807491,430.28215651891503
290,29.0,-30047.25390625,10.490264217766306,-30036.763642032234,422.6892449114737
300,30.0,-30047.083984375,10.313893640064027,-30036.770090734935,415.58266067622446
310,31.0,-30046.970703125,10.21827646852605,-30036.752426656472,411.72991214683
320,32.0,-30046.853515625,10.096414648242785,-30036.757100976756,406.81967540447664
330,33.0,-30046.958984375,10.198245495402418,-30036.7607388796,410.92279454438386
340,34.0,-30046.853515625,10.09886917661392,-30036.754646448386,406.91857689277776
350,35.0,-30046.458984375,9.691168439930994,-30036.76781593507,390.4908956675043
360,36.0,-30046.3125,9.557730107151157,-30036.75476989285,385.11420095761974
370,37.0,-30046.3203125,9.567336689038253,-30036.752975810963,385.5012835667651
380,38.0,-30046.197265625,9.432221562204923,-30036.765044062795,380.0570249902676
390,39.0,-30045.845703125,9.082874410110104,-30036.76282871489,365.9806127221337
400,40.0,-30045.6171875,8.855577872485785,-30036.761609627516,356.82204437104275
410,41.0,-30045.771484375,9.005142418451491,-30036.766341956547,362.84852031935145
420,42.0,-30045.943359375,9.176883533447175,-30036.766475841552,369.76856739450864
430,43.0,-30045.869140625,9.102543953285721,-30036.766596671714,366.7731670544234
440,44.0,-30045.8515625,9.085974074386892,-30036.765588425613,366.1055089807441
450,45.0,-30046.23046875,9.469667721705626,-30036.760801028293,381.5658610458343
460,46.0,-30046.658203125,9.892149455409502,-30036.76605366959,398.58912006973395
470,47.0,-30046.607421875,9.848376770137609,-30036.759045104864,396.8253662784816
480,48.0,-30046.357421875,9.597976283453612,-30036.759445591546,386.7358594324414
490,49.0,-30046.384765625,9.630166844222334,-30036.75459878078,388.0329291288904
500,50.0,-30046.806640625,10.044063582890185,-30036.76257704211,404.71026883235953
510,51.0,-30047.013671875,10.24527252220704,-30036.768399352793,412.817677079069
520,52.0,-30046.765625,9.999895781759987,-30036.76572921824,402.93059444841924
530,53.0,-30046.99609375,10.241177811885269,-30036.754915938116,412.6526869531664
540,54.0,-30047.568359375,10.801494486022719,-30036.766864888978,435.22979530677253
550,55.0,-30047.41796875,10.657112002776316,-30036.760856747223,429.41212269577125
560,56.0,-30046.958984375,10.207927410594234,-30036.751056964407,411.3129125944893
570,57.0,-30046.884765625,10.117206104922332,-30036.767559520078,407.65743553539915
580,58.0,-30047.392578125,10.622449435322874,-30036.770128689677,428.0154472489532
590,59.0,-30047.455078125,10.701091315598841,-30036.753986809403,431.1842022299736
600,60.0,-30046.8671875,10.101782828989638,-30036.76540467101,407.03597808468874
610,61.0,-30046.904296875,10.141188094726857,-30036.763108780273,408.6237533469926
620,62.0,-30047.21875,10.459523544625505,-30036.759226455375,421.45059623225836
630,63.0,-30047.0546875,10.292152696562992,-30036.762534803438,414.70664241764223
640,64.0,-30046.701171875,9.9456691133455,-30036.755502761654,400.7456133030097
650,65.0,-30046.640625,9.877968407515054,-30036.762656592484,398.0177163088634
660,66.0,-30046.88671875,10.121902500882403,-30036.764816249117,407.8466696691596
670,67.0,-30046.955078125,10.189624433337388,-30036.765453691663,410.57542195786397
680,68.0,-30046.95703125,10.189537722858937,-30036.767493527143,410.5719280909888
690,69.0,-30046.96484375,10.205072585459686,-30036.75977116454,411.1978817568072
700,70.0,-30046.841796875,10.085293658190341,-30036.75650321681,406.37157202115344
710,71.0,-30046.77734375,10.030868048039313,-30036.746475701962,404.17857482098543
720,72.0,-30046.90625,10.14589670303599,-30036.760353296962,408.81347955878823
730,73.0,-30046.728515625,9.974592045420856,-30036.753923579578,401.9110188700928
740,74.0,-30046.392578125,9.63319250208815,-30036.75938562291,388.1548434117066
750,75.0,-30046.40234375,9.63625632628769,-30036.76608742371,388.2782955489037
760,76.0,-30046.78125,10.01880460137054,-30036.76244539863,403.692496581429
770,77.0,-30046.892578125,10.130048037201398,-30036.7625300878,408.1748816688387
780,78.0,-30046.69140625,9.925386294187753,-30036.766019955812,399.92834794758187
790,79.0,-30046.875,10.112162310950678,-30036.76283768905,407.45420352702354
800,80.0,-30047.29296875,10.529762463043632,-30036.763206286956,424.2807666429593
810,81.0,-30047.15234375,10.380368577922653,-30036.771975172076,418.26116721387797
820,82.0,-30046.775390625,10.001460865452374,-30036.773929759547,402.9936571159008
830,83.0,-30046.974609375,10.219122558220077,-30036.75548681678,411.7640040444669
840,84.0,-30047.19140625,10.432832392801947,-30036.758573857198,420.3751168567237
