step,time_fs,epot_ev,ekin_ev,etot_ev,temperature_k
0,0.0,-30010.060546875,7.539865744113628,-30002.520681130885,303.80742486120994
10,1.0,-30018.619140625,16.081543413896096,-30002.537597211103,647.9813378883812
20,2.0,-30028.5625,26.029711760804254,-30002.532788239198,1048.8276540074046
30,3.0,-30025.0703125,22.54002872718209,-30002.53028377282,908.2161826620035
40,4.0,-30019.265625,16.736319455290857,-30002.52930554471,674.3645428084768
50,5.0,-30022.2265625,19.69445141620412,-30002.532111083798,793.5579719681825
60,6.0,-30026.982421875,24.45309102416057,-30002.52933085084,985.3001188710598
70,7.0,-30025.38671875,22.844852688844668,-30002.541866061154,920.4986006746848
80,8.0,-30020.615234375,18.099684310643923,-30002.515550064356,729.2992564901438
90,9.0,-30019.287109375,16.760230104149453,-30002.526879270852,675.3279860451369
100,10.0,-30022.51171875,19.97754948184197,-30002.534169268158,804.9649780374577
110,11.0,-30024.203125,21.668310676523195,-30002.534814323477,873.0916293657504
120,12.0,-30023.0,20.478565585617662,-30002.521434414382,825.1526600821842
130,13.0,-30022.744140625,20.20765131288711,-30002.53648931211,814.2365814211453
140,14.0,-30023.603515625,21.073717255955657,-30002.529798369043,849.1333916367736
150,15.0,-30024.365234375,21.83441016947343,-30002.530824205525,879.7843558593698
160,16.0,-30023.806640625,21.27013694202434,-30002.536503682975,857.0478242064996
170,17.0,-30022.30859375,19.773722611867527,-30002.534871138134,796.752084255788
180,18.0,-30022.212890625,19.684429334907144,-30002.528461290094,793.1541474421343
190,19.0,-30023.099609375,20.558378152734484,-30002.541231222265,828.3685861092828
200,20.0,-30022.974609375,20.444728904089942,-30002.52988047091,823.7892624528814
210,21.0,-30022.68359375,20.14366807251607,-30002.539925677484,811.6584740448201
220,22.0,-30021.94921875,19.419433400349575,-30002.529785349652,782.4765392182111
230,23.0,-30022.787109375,20.258786675222566,-30002.528322699778,816.2970030888134
240,24.0,-30024.4609375,21.931181332306508,-30002.529756167693,883.683602713214
250,25.0,-30022.37109375,19.836956158833736,-30002.534137591167,799.299983876367
260,26.0,-30021.7578125,19.230111119700936,-30002.5277013803,774.8480858074035
270,27.0,-30024.091796875,21.56259076136044,-30002.52920611364,868.8318061444659
280,28.0,-30023.712890625,21.170759788190534,-30002.54213083681,853.0435729080125
290,29.0,-30021.43359375,18.897528973763965,-30002.536064776235,761.4471939691359
300,30.0,-30022.01171875,19.477134453981023,-30002.53458429602,784.801515432706
310,31.0,-30023.373046875,20.833283326578538,-30002.539763548422,839.4454720620317
320,32.0,-30022.1015625,19.5718473073313,-30002.529715192668,788.6178258358545
330,33.0,-30021.640625,19.10830349896817,-30002.532321501032,769.9400329535204
340,34.0,-30022.50390625,19.974348930884183,-30002.529557319114,804.8360167034472
350,35.0,-30023.833984375,21.29809814759807,-30002.5358862274,858.1744784666237
360,36.0,-30023.662109375,21.12900180444609,-30002.533107570554,851.3609984512061
370,37.0,-30022.73828125,20.19820889764712,-30002.540072352353,813.8561136574094
380,38.0,-30022.5625,20.029279244118204,-30002.533220755882,807.0493501468809
390,39.0,-30023.82421875,21.290996032564372,-30002.533222717437,857.8883095409847
400,40.0,-30024.65625,22.12203035544902,-30002.534219644553,891.3735738912114
410,41.0,-30022.310546875,19.769835400301137,-30002.5407114747,796.5954549767059
420,42.0,-30021.1015625,18.569629525728992,-30002.53193297427,748.2349843222082
430,43.0,-30022.015625,19.48822363168371,-30002.527401368316,785.2483369857703
440,44.0,-30023.412109375,20.887353217130844,-30002.52475615787,841.6241360818848
450,45.0,-30024.46484375,21.92424777082178,-30002.54059597918,883.4042253965241
460,46.0,-30022.705078125,20.165135101003706,-30002.539943023996,812.523455314459
470,47.0,-30020.9375,18.407229801250782,-30002.53027019875,741.6913343732137
480,48.0,-30023.947265625,21.425518955040374,-30002.52174666996,863.3087061434235
490,49.0,-30027.125,24.58426419882557,-30002.540735801176,990.5855424791597
500,50.0,-30023.255859375,20.722129421618273,-30002.533729953382,834.9666944849098
510,51.0,-30020.56640625,18.033070960189235,-30002.533335289812,726.6151728274054
520,52.0,-30022.66015625,20.12955745167593,-30002.530598798323,811.0899080350097
530,53.0,-30025.400390625,22.86249068617888,-30002.53789993882,921.2092969565117
540,54.0,-30025.337890625,22.80281904913442,-30002.535071575865,918.8049190799052
550,55.0,-30023.015625,20.48355584109028,-30002.53206915891,825.353734838153
560,56.0,-30021.625,19.096044913802018,-30002.528955086196,769.4460919049443
570,57.0,-30022.734375,20.205962031193877,-30002.528412968804,814.1685143840781
580,58.0,-30023.92578125,21.401446540350406,-30002.52433470965,862.3387447985733
590,59.0,-30022.48828125,19.952998096963718,-30002.535283153036,803.9757173172042
600,60.0,-30020.775390625,18.237923249253114,-30002.537467375747,734.8693843120076
610,61.0,-30022.12109375,19.592055950887715,-30002.52903779911,789.4321023982199
620,62.0,-30023.927734375,21.38329404246594,-30002.544440332535,861.6073174994356
630,63.0,-30022.115234375,19.582588246100542,-30002.5326461289,789.0506156306361
640,64.0,-30021.931640625,19.400254181675695,-30002.531386443323,781.7037417661198
650,65.0,-30024.041015625,21.509090506337436,-30002.531925118663,866.6760947220648
660,66.0,-30023.65625,21.120297100043302,-30002.535952899958,851.0102556238747
670,67.0,-30022.6171875,20.081999417001946,-30002.535188083,809.1736293456918
680,68.0,-30022.693359375,20.157931506710796,-30002.53542786829,812.2331974363817
690,69.0,-30022.359375,19.827275833694515,-30002.532099166307,798.9099298950131
700,70.0,-30022.62109375,20.0875270595834,-30002.533566690418,809.3963572980477
710,71.0,-30022.255859375,19.73043137214392,-30002.525428002857,795.0077295808063
720,72.0,-30022.294921875,19.768840746170458,-30002.526081128828,796.5553769010048
730,73.0,-30024.060546875,21.530154199160854,-30002.53039267584,867.5248241944358
740,74.0,-30023.826171875,21.283871264620437,-30002.54230061038,857.6012278507741
750,75.0,-30022.8125,20.273403478127626,-30002.539096521872,816.8859649352172
760,76.0,-30024.6796875,22.144880378003702,-30002.534807121996,892.2942808037686
770,77.0,-30024.982421875,22.442973603113607,-30002.539448271888,904.3054940219769
780,78.0,-30023.798828125,21.254748516115622,-30002.544079608884,856.4277709845115
790,79.0,-30023.712890625,21.165553646925247,-30002.547336978074,852.8337993623092
800,80.0,-30022.9609375,20.42756781547575,-30002.533369684523,823.097782482729
810,81.0,-30022.458984375,19.93160517767173,-30002.527379197327,803.1137221649116
820,82.0,-30024.033203125,21.50359324179967,-30002.5296098832,866.4545908067857
830,83.0,-30024.615234375,22.08148333206568,-30002.533751042934,889.7397932407407
840,84.0,-30023.32421875,20.799825840494407,-30002.524392909505,838.0973535365148
850,85.0,-30024.103515625,21.568227114010885,-30002.53528851099,869.0589144037447
