step,time_fs,epot_ev,ekin_ev,etot_ev,temperature_k
0,0.0,-30021.109375,7.02473981339244,-30014.08463518661,283.0512087954508
10,1.0,-30022.8046875,8.735450954328435,-30014.06923654567,351.98171287172
20,2.0,-30023.912109375,9.83746896817096,-30014.07464040683,396.38585298489664
30,3.0,-30025.7578125,11.671739495827218,-30014.08607300417,470.2949946617385
40,4.0,-30027.083984375,12.99666136833816,-30014.08732300666,523.6807068070893
50,5.0,-30029.23828125,15.15745470677394,-30014.080826543224,610.7465886259974
60,6.0,-30031.55078125,17.488709635067067,-30014.06207161493,704.6809610002897
70,7.0,-30034.205078125,20.11599307482042,-30014.08908505018,810.5433520959286
80,8.0,-30034.3828125,20.29547462822168,-30014.087337871777,817.7752883663452
90,9.0,-30034.392578125,20.316231156697647,-30014.0763469683,818.6116411184171
100,10.0,-30035.306640625,21.215646507416054,-30014.090994117585,854.8522150033999
110,11.0,-30035.595703125,21.50940126426301,-30014.086301860738,866.6886162401298
120,12.0,-30036.037109375,21.960363289848097,-30014.076746085153,884.8594453175788
130,13.0,-30036.45703125,22.38542984941241,-30014.07160140059,901.9868559689775
140,14.0,-30035.5078125,21.42394483331323,-30014.083867666686,863.2452793020748
150,15.0,-30035.779296875,21.693401124509222,-30014.08589575049,874.1026108142197
160,16.0,-30036.810546875,22.722005240726354,-30014.088541634275,915.548649557487
170,17.0,-30036.53125,22.447517524415076,-30014.083732475585,904.4885844212256
180,18.0,-30035.837890625,21.76899834582667,-30014.068892279174,877.148685892287
190,19.0,-30035.173828125,21.084812371913358,-30014.08901575309,849.5804524627939
200,20.0,-30035.08203125,21.000148330887697,-30014.081882919112,846.1690436718044
210,21.0,-30035.486328125,21.40113376697311,-30014.085194358027,862.3261420709457
220,22.0,-30034.828125,20.74636322614903,-30014.08176177385,835.9431587879814
230,23.0,-30033.84765625,19.76492227708261,-30014.08273397292,796.3974881476266
240,24.0,-30033.80859375,19.738168620537245,-30014.070425129463,795.3194902393728
250,25.0,-30034.287109375,20.209010876604875,-30014.078098498394,814.291362973768
260,26.0,-30034.611328125,20.529170514029175,-30014.08215761097,827.1917087214773
270,27.0,-30035.498046875,21.41575801611708,-30014.082288858885,862.9154039522235
280,28.0,-30035.232421875,21.157696947691598,-30014.074724927308,852.5172256137715
290,29.0,-30035.099609375,21.015366990475144,-30014.084242384524,846.7822564180276
300,30.0,-30035.712890625,21.633279949224494,-30014.079610675777,871.6801194778001
310,31.0,-30034.923828125,20.836825768659324,-30014.08700235634,839.5882093789559
320,32.0,-30034.171875,20.085045291705626,-30014.086829708296,809.2963582352477
330,33.0,-30034.537109375,20.4545547768373,-30014.082554598164,824.1851810537821
340,34.0,-30034.990234375,20.92320003717194,-30014.06703433783,843.06852918592
350,35.0,-30034.74609375,20.65953772244645,-30014.086556027552,832.4446571451966
360,36.0,-30034.2578125,20.170609572076955,-30014.087202927923,812.7440408017457
370,37.0,-30035.20703125,21.132237618728958,-30014.074793631273,851.4913806672786
380,38.0,-30036.068359375,21.995591892953673,-30014.072767482045,886.2789283102724
390,39.0,-30035.2265625,21.143935709664607,-30014.082626790336,851.9627374531374
400,40.0,-30035.10546875,21.025377233128637,-30014.080091516873,847.1856039239387
410,41.0,-30036.0625,21.98037819036943,-30014.08212180963,885.6659152989556
420,42.0,-30036.6171875,22.537525748626024,-30014.079661751373,908.115328947175
430,43.0,-30036.693359375,22.615666034445873,-30014.077693340554,911.2638729423226
440,44.0,-30037.291015625,23.205825884987803,-30014.085189740013,935.0434667089087
450,45.0,-30037.919921875,23.84092238866775,-30014.078999486333,960.6337145819555
460,46.0,-30037.259765625,23.17736399012078,-30014.082401634878,933.8966379350712
470,47.0,-30035.78515625,21.69834374219326,-30014.086812507805,874.3017660779369
480,48.0,-30035.54296875,21.455848711163995,-30014.087120038836,864.5307975462816
490,49.0,-30035.21484375,21.131022906382515,-30014.083820843618,851.442435680399
500,50.0,-30034.859375,20.777715629287762,-30014.081659370713,837.2064561972522
510,51.0,-30035.07421875,20.999510775527828,-30014.074707974472,846.1433543480603
520,52.0,-30035.095703125,21.014583222209552,-30014.081119902792,846.7506756675821
530,53.0,-30035.30859375,21.222006027724902,-30014.086587722275,855.1084622038082
540,54.0,-30036.048828125,21.95458029571347,-30014.094247829285,884.6264283626814
550,55.0,-30035.919921875,21.844168126518532,-30014.075753748482,880.1775379003224
560,56.0,-30035.640625,21.55874070406795,-30014.08188429593,868.6766739403531
570,57.0,-30035.15625,21.07875166911464,-30014.077498330884,849.3362456595675
580,58.0,-30034.791015625,20.70726409707506,-30014.083751527924,834.3677188370045
590,59.0,-30034.73046875,20.650594326268497,-30014.079874423733,832.0842965957453
600,60.0,-30035.103515625,21.020233558917184,-30014.083282066083,846.9783473931807
610,61.0,-30035.5,21.406261116889546,-30014.09373888311,862.5327408390592
620,62.0,-30035.994140625,21.9149360346887,-30014.07920459031,883.0290231486875
630,63.0,-30036.6640625,22.577594187625543,-30014.086468312373,909.7298257676464
640,64.0,-30037.048828125,22.97128617045255,-30014.077541954546,925.5930455583375
650,65.0,-30036.90234375,22.811851639068127,-30014.090492110932,919.1688735561145
660,66.0,-30036.8828125,22.80112417307028,-30014.08168832693,918.7366266261693
670,67.0,-30036.193359375,22.10460935630433,-30014.088750018695,890.6716212214587
680,68.0,-30036.060546875,21.98645598348981,-30014.07409089151,885.9108107307057
690,69.0,-30036.435546875,22.362249377516015,-30014.073297497485,901.0528341026851
700,70.0,-30036.5234375,22.44101884748855,-30014.08241865251,904.2267301165127
710,71.0,-30036.5703125,22.499925888804633,-30014.070386611194,906.6002997709066
720,72.0,-30037.14453125,23.052481554051205,-30014.092049695948,928.8646900728281
730,73.0,-30038.1328125,24.041670077257997,-30014.09114242274,968.7225374320251
740,74.0,-30037.76953125,23.690443538961638,-30014.079087711038,954.570398154739
750,75.0,-30037.35546875,23.268108662926743,-30014.087360087073,937.5530565372958
760,76.0,-30037.216796875,23.143638939344413,-30014.073157935654,932.5377382971459
770,77.0,-30037.158203125,23.07860293395705,-30014.079600191042,929.9172113553473
780,78.0,-30036.220703125,22.144882072808944,-30014.075821052193,892.2943490933686
790,79.0,-30036.115234375,22.030547814833312,-30014.084686560167,887.6874240276125
800,80.0,-30036.65234375,22.571807304740695,-30014.08053644526,909.4966521214722
810,81.0,-30036.2734375,22.196763574795927,-30014.076673925203,894.3848353236974
820,82.0,-30035.2734375,21.180264549984003,-30014.093172950015,853.4265528313152
830,83.0,-30034.908203125,20.834127178909828,-30014.07407594609,839.4794738085393
840,84.0,-30035.37109375,21.292205167830204,-30014.07888858217,857.9370298078817
850,85.0,-30035.162109375,21.080533098764683,-30014.081576276236,849.4080256584318
860,86.0,-30034.68359375,20.595253556046252,-30014.088340193954,829.8544244121216
870,87.0,-30034.736328125,20.648429903989754,-30014.08789822101,831.997084491295
880,88.0,-30035.17578125,21.1075410167227,-30014.06824023328,850.4962686436725
890,89.0,-30034.919921875,20.843692644228668,-30014.07622923077,839.8648996880895
900,90.0,-30035.224609375,21.14509336467269,-30014.079516010326,852.0093834013305
910,91.0,-30035.94140625,21.855102018093003,-30014.086304231907,880.618102434982
920,92.0,-30035.259765625,21.175895814655767,-30014.083869810343,853.250521284466
930,93.0,-30034.423828125,20.34354864472205,-30014.080279480277,819.7123577587431
940,94.0,-30034.681640625,20.598358535044447,-30014.083282089956,829.9795348193495
950,95.0,-30035.015625,20.9243689261434,-30014.091256073858,843.1156277895849
960,96.0,-30034.201171875,20.135344731228194,-30014.06582714377,811.3230976642943
970,97.0,-30034.2734375,20.179557589934955,-30014.093879910066,813.1045875747666
980,98.0,-30036.142578125,22.05283385522447,-30014.089744269775,888.585406136495
990,99.0,-30036.712890625,22.632061293211024,-30014.08082933179,911.9244949632468
1000,100.0,-30036.814453125,22.732686860481003,-30014.08176626452,915.9790491827775
1010,101.0,-30036.2421875,22.16759779962168,-30014.07458970038,893.2096447632175
1020,102.0,-30036.736328125,22.653260871652527,-30014.08306725335,912.7786997399677
1030,103.0,-30037.802734375,23.715503287722925,-30014.087231087276,955.5801426246295
1040,104.0,-30037.28125,23.1955778401276,-30014.085672159872,934.6305373246857
1050,105.0,-30036.3984375,22.31962296449344,-30014.078814535507,899.3352676086704
1060,106.0,-30036.81640625,22.73186942777012,-30014.08453682223,915.9461119747
1070,107.0,-30036.95703125,22.88080801963324,-30014.076223230368,921.9473660542855
1080,108.0,-30036.83984375,22.75071540240361,-30014.089128347598,916.7054818649225
1090,109.0,-30037.09765625,23.018158110657403,-30014.07949813934,927.4816791143132
1100,110.0,-30036.859375,22.775475495589035,-30014.08389950441,917.7031521690469
1110,111.0,-30036.255859375,22.178123278941804,-30014.077736096056,893.6337529471294
1120,112.0,-30036.05078125,21.972612765492194,-30014.078168484506,885.3530193118158
1130,113.0,-30035.6796875,21.595335980159454,-30014.08435151984,870.1512249428195
1140,114.0,-30035.4375,21.35118302409921,-30014.0863169759,860.3134528431208
1150,115.0,-30035.126953125,21.04438566362588,-30014.082567461373,847.951519726157
1160,116.0,-30034.55078125,20.456158586630785,-30014.094622663368,824.2498041306196
1170,117.0,-30034.21875,20.142137252324023,-30014.076612747675,811.5967919729828
1180,118.0,-30034.439453125,20.35959951863031,-30014.07985360637,820.3591033155388
1190,119.0,-30035.52734375,21.44916889880308,-30014.078174851198,864.2616446646789
