step,time_fs,epot_ev,ekin_ev,etot_ev,temperature_k
0,0.0,-30028.21484375,7.02473981339244,-30021.19010393661,283.0512087954508
10,1.0,-30029.443359375,8.254883685291675,-30021.18847568971,332.6179855278181
20,2.0,-30031.220703125,10.026491453636005,-30021.194211671365,404.0022266046569
30,3.0,-30032.8359375,11.649607104015749,-30021.186330395984,469.4032035887328
40,4.0,-30034.84765625,13.660116089487383,-30021.187540160514,550.4136059308856
50,5.0,-30036.20703125,15.01911289625496,-30021.187918353746,605.1723157369581
60,6.0,-30036.130859375,14.946263580364612,-30021.184595794635,602.2369633295461
70,7.0,-30035.47265625,14.287550525640295,-30021.18510572436,575.6951224440514
80,8.0,-30037.4921875,16.291498344294844,-30021.200689155707,656.4411525463751
90,9.0,-30037.57421875,16.38574417389922,-30021.1884745761,660.2386449378499
100,10.0,-30037.951171875,16.768105668823758,-30021.183066206177,675.6453199479183
110,11.0,-30039.05859375,17.857769954376757,-30021.20082379562,719.5516853650395
120,12.0,-30039.427734375,18.240912757721787,-30021.186821617277,734.9898420098356
130,13.0,-30039.900390625,18.71213540925686,-30021.188255215744,753.9770422011529
140,14.0,-30041.37890625,20.19409248907069,-30021.18481376093,813.6902492333303
150,15.0,-30043.2421875,22.044787732900247,-30021.1973997671,888.261199872564
160,16.0,-30041.8671875,20.678461650360155,-30021.18872584964,833.2071680443078
170,17.0,-30040.58984375,19.412052957636256,-30021.177790792364,782.1791555019533
180,18.0,-30042.2109375,21.00746623164494,-30021.203471268356,846.4639073550449
190,19.0,-30042.619140625,21.43049116192237,-30021.188649463078,863.5090536588783
200,20.0,-30041.365234375,20.17173541992836,-30021.193498955072,812.7894051289272
210,21.0,-30040.6875,19.495249597930226,-30021.19225040207,785.5314376118235
220,22.0,-30040.48828125,19.2948395840442,-30021.193441665957,777.4562208504844
230,23.0,-30041.4609375,20.268567008624377,-30021.192370491375,816.6910867510335
240,24.0,-30040.947265625,19.746768645378346,-30021.20049697962,795.6660151629442
250,25.0,-30039.2578125,18.0577922244018,-30021.2000202756,727.6112785771128
