step,time_fs,epot_ev,ekin_ev,etot_ev,temperature_k
0,0.0,-30032.4609375,7.539865744113628,-30024.921071755885,303.80742486120994
10,1.0,-30036.759765625,11.837853425889495,-30024.921912199112,476.9883028768343
20,2.0,-30042.697265625,17.764884350407335,-30024.932381274593,715.8090011971339
30,3.0,-30041.228515625,16.303721888562,-30024.924793736438,656.93368167521
40,4.0,-30038.01171875,13.098420301695548,-30024.913298448304,527.7809282896889
50,5.0,-30040.630859375,15.695992235275153,-30024.934867139724,632.4461394240744
60,6.0,-30043.55078125,18.61643436039938,-30024.9343468896,750.1209139627151
70,7.0,-30041.162109375,16.24319806504441,-30024.918911309956,654.4949662405237
80,8.0,-30037.837890625,12.909071112136674,-30024.928819512865,520.1513906252618
90,9.0,-30038.37109375,13.445636753588223,-30024.92545699641,541.7714872331705
100,10.0,-30040.341796875,15.412844473707942,-30024.928952401293,621.0371309328943
110,11.0,-30039.888671875,14.966645129512926,-30024.922026745488,603.0582068598127
120,12.0,-30039.01171875,14.082879166963554,-30024.928839583037,567.4482012742719
130,13.0,-30040.533203125,15.602514058483967,-30024.930689066518,628.679578435396
140,14.0,-30041.875,16.948553498757537,-30024.926446501242,682.9161908618698
150,15.0,-30041.185546875,16.249053474477375,-30024.936493400524,654.7309010597512
160,16.0,-30040.1015625,15.163060555086286,-30024.938501944915,610.9724677593582
170,17.0,-30041.216796875,16.2930826137814,-30024.92371426122,656.5049882762582
180,18.0,-30041.60546875,16.672756174441922,-30024.93271257556,671.8033570624945
190,19.0,-30041.220703125,16.284957653244383,-30024.935745471757,656.1776053464259
200,20.0,-30041.388671875,16.458244186569054,-30024.930427688432,663.1599227031501
210,21.0,-30040.271484375,15.337304242089012,-30024.93418013291,617.993352168069
220,22.0,-30038.77734375,13.850552824942769,-30024.926790925056,558.0869646034647
230,23.0,-30038.85546875,13.92902725454043,-30024.92644149546,561.2489724140322
240,24.0,-30038.927734375,14.012764119867732,-30024.914970255133,564.6230220701417
250,25.0,-30040.2734375,15.341995594647997,-30024.93144190535,618.182383085652
260,26.0,-30041.73828125,16.79839040197079,-30024.93989084803,676.8655972183977
270,27.0,-30040.201171875,15.273202306894435,-30024.927969568107,615.4104621643195
280,28.0,-30040.67578125,15.752252203742577,-30024.923529046257,634.713049303233
290,29.0,-30042.345703125,17.413854865422167,-30024.931848259577,701.6648018833782
300,30.0,-30041.408203125,16.482237513014148,-30024.925965611987,664.1266973074365
310,31.0,-30040.091796875,15.160288182273613,-30024.931508692727,610.860759212607
320,32.0,-30039.888671875,14.974425505440571,-30024.91424636956,603.3717052767938
