step,time_fs,epot_ev,ekin_ev,etot_ev,temperature_k
0,0.0,-30025.546875,7.539865744113628,-30018.007009255885,303.80742486120994
10,5.0,-30035.63671875,17.399264542839052,-30018.23745420716,701.0769070212807
20,10.0,-30041.44140625,23.11983179944746,-30018.321574450554,931.5784657966972
30,15.0,-30041.609375,23.327961074379253,-30018.281413925622,939.9647184437848
40,20.0,-30042.861328125,24.539424516907232,-30018.32190360809,988.7787956805392
50,25.0,-30044.869140625,26.563586163558593,-30018.30555446144,1070.3393112443703
60,30.0,-30044.873046875,26.474625166135525,-30018.398421708865,1066.7547631294005
70,35.0,-30044.32421875,26.005352979720193,-30018.31886577028,1047.8461539641598
80,40.0,-30046.546875,28.15263122240618,-30018.394243777595,1134.3674655512036
90,45.0,-30048.201171875,30.74034405346358,-30017.460827821535,1238.6354191414412
100,50.0,-30047.08203125,28.75131921321437,-30018.330712036786,1158.4906877617275
110,55.0,-30047.396484375,29.324200526238595,-30018.07228384876,1181.5740691331896
120,60.0,-30052.154296875,33.95596845438661,-30018.198328420614,1368.2041146222573
130,65.0,-30052.302734375,34.21510564685589,-30018.087628728143,1378.6456537426745
140,70.0,-30055.796875,37.888106402430466,-30017.90876859757,1526.6436339368922
150,75.0,-30056.189453125,38.95890134197877,-30017.23055178302,1569.7896877499275
160,80.0,-30057.958984375,40.78449235630028,-30017.1744920187,1643.3491016352182
170,85.0,-30059.107421875,42.214319056927515,-30016.893102818074,1700.961794308757
180,90.0,-30061.974609375,45.24835873041879,-30016.72625064458,1823.213809319734
190,95.0,-30067.35546875,49.33056789120165,-30018.0249008588,1987.7002199498584
200,100.0,-30069.2734375,51.77694519231095,-30017.496492307688,2086.27327327898
210,105.0,-30070.69140625,52.923161760168135,-30017.76824448983,2132.458326916813
220,110.0,-30074.8203125,57.25911930497425,-30017.561193195026,2307.169142825371
230,115.0,-30080.771484375,63.60480098210587,-30017.166683392894,2562.858736612025
240,120.0,-30083.650390625,66.33696234532238,-30017.31342827968,2672.9470241537656
250,125.0,-30084.0859375,66.91928168264906,-30017.16665581735,2696.410696362813
260,130.0,-30076.96484375,60.365465439420205,-30016.59937831058,2432.3346367296053
270,135.0,-30082.998046875,66.32249715999312,-30016.675549715008,2672.3641715070253
280,140.0,-30090.26953125,73.49063142315615,-30016.778899826844,2961.1932416069963
290,145.0,-30096.603515625,79.47919362370514,-30017.124322001295,3202.4932491290606
300,150.0,-30092.1640625,78.03451726601155,-30014.129545233987,3144.282212104772
310,155.0,-30093.142578125,80.78451882985817,-30012.35805929514,3255.0893434026725
320,160.0,-30088.81640625,77.53051837598528,-30011.285887874015,3123.9743432237738
330,165.0,-30092.375,83.21444455854814,-30009.160555441453,3352.999505637807
340,170.0,-30093.2265625,86.00431240829153,-30007.22225009171,3465.4129883043024
350,175.0,-30097.275390625,92.1119306974985,-30005.163459927502,3711.5101798793403
360,180.0,-30097.57421875,91.59703284552714,-30005.977185904474,3690.763153899984
370,185.0,-30094.01953125,88.0663203919045,-30005.953210858097,3548.498464465968
380,190.0,-30104.96484375,100.27090493922182,-30004.69393881078,4040.263640220736
390,195.0,-30104.357421875,101.56104619744536,-30002.796375677553,4092.247920401599
400,200.0,-30101.568359375,99.94825546908837,-30001.620103905912,4027.2629704501096
410,205.0,-30098.044921875,97.64666497912597,-30000.398256895875,3934.523881509909
420,210.0,-30107.845703125,107.7225505334752,-30000.123152591525,4340.51636829297
430,215.0,-30113.0703125,112.93047920924455,-30000.139833290756,4550.3619349838045
440,220.0,-30108.716796875,108.75041409042097,-29999.96638278458,4381.932567326509
450,225.0,-30108.58203125,109.17835034374919,-29999.40368090625,4399.1756079244005
460,230.0,-30114.56640625,114.57701770096777,-29999.98938854903,4616.70669974249
470,235.0,-30109.6875,109.296923041338,-30000.390576958664,4403.953314469299
480,240.0,-30115.509765625,115.5738094924593,-29999.93595613254,4656.870909235512
490,245.0,-30109.296875,112.2144620059446,-29997.082412994056,4521.511110569496
500,250.0,-30106.5859375,109.57380904534773,-29997.01212845465,4415.110014961477
510,255.0,-30111.232421875,113.85122429750857,-29997.38119757749,4587.461958208685
520,260.0,-30109.26171875,116.45980811183637,-29992.801910638165,4692.570876332893
530,265.0,-30104.349609375,112.26912636560337,-29992.0804830094,4523.71372781803
540,270.0,-30110.609375,133.1264455183461,-29977.482929481655,5364.1276869459025
550,275.0,-30099.67578125,126.9492796549405,-29972.726501595058,5115.228181624215
560,280.0,-30114.904296875,141.69604590434332,-29973.208250970656,5709.426703363007
570,285.0,-30112.73046875,140.73824801161783,-29971.992220738382,5670.83369372572
580,290.0,-30109.09765625,137.02996862080548,-29972.067687629195,5521.414214570122
590,295.0,-30112.140625,141.6987230080341,-29970.441901991966,5709.5345731853595
600,300.0,-30103.712890625,135.515175982014,-29968.197714642985,5460.377948619466
610,305.0,-30096.365234375,128.4842111967258,-29967.881023178274,5177.075914047315
620,310.0,-30104.21484375,145.07856799608663,-29959.136275753914,5845.720287506857
630,315.0,-30101.146484375,142.34442764646604,-29958.802056728535,5735.552259717258
640,320.0,-30100.248046875,143.26326751306678,-29956.984779361934,5772.575514932341
650,325.0,-30092.3125,144.60238312686909,-29947.71011687313,5826.53314229969
660,330.0,-30091.44921875,142.67625925940874,-29948.77295949059,5748.9229099698
670,335.0,-30088.58203125,139.52513578764948,-29949.056895462352,5621.953181348002
680,340.0,-30084.994140625,138.7037718288633,-29946.290368796137,5588.857569614139
690,345.0,-30091.650390625,145.32640621955926,-29946.32398440544,5855.7065518530335
700,350.0,-30087.705078125,141.47920259449927,-29946.2258755305,5700.689331929897
710,355.0,-30095.314453125,152.98201528360298,-29942.332437841396,6164.177677788802
720,360.0,-30094.5,155.1539434219457,-29939.346056578055,6251.69221943812
730,365.0,-30097.87890625,160.47008275112552,-29937.408823498874,6465.897969860455
740,370.0,-30101.515625,165.8962349490775,-29935.619390050924,6684.5365215418
750,375.0,-30090.990234375,155.53368301931965,-29935.45655135568,6266.993249073307
760,380.0,-30086.625,157.66037455728576,-29928.964625442713,6352.685050698293
770,385.0,-30094.46875,166.81244604898237,-29927.65630395102,6721.453854600239
780,390.0,-30084.626953125,156.7286251900073,-29927.898327934992,6315.141626783891
790,395.0,-30096.669921875,167.7731775738003,-29928.8967443012,6760.16507048174
800,400.0,-30092.3671875,165.26265460214043,-29927.104532897858,6659.007364899204
810,405.0,-30110.48828125,183.91128115211103,-29926.57700009789,7410.425414188488
820,410.0,-30083.00390625,156.57672376864485,-29926.427182481355,6309.020989994979
830,415.0,-30086.9609375,161.54196760476032,-29925.41896989524,6509.087940104257
840,420.0,-30085.17578125,165.38125059102492,-29919.794530658975,6663.786009931444
850,425.0,-30092.009765625,172.4120169459839,-29919.597748679014,6947.080049055217
860,430.0,-30086.931640625,172.17495425940507,-29914.756686365596,6937.527968582641
870,435.0,-30073.978515625,166.65016750864433,-29907.328348116356,6714.915087581897
880,440.0,-30079.7421875,177.14104922196162,-29902.601138278038,7137.629213537619
890,445.0,-30087.748046875,187.36588252946666,-29900.382164345534,7549.6233235406235
900,450.0,-30070.884765625,172.14223434769033,-29898.74253127731,6936.209569494766
910,455.0,-30079.68359375,181.27971574986788,-29898.403878000132,7304.390487925575
920,460.0,-30087.5078125,190.46058803436668,-29897.047224465634,7674.319775978321
930,465.0,-30085.966796875,188.66451949725732,-29897.30227737774,7601.949925419717
940,470.0,-30078.998046875,186.95168156744666,-29892.046365307553,7532.933725619789
950,475.0,-30083.755859375,199.75600044412602,-29883.999858930874,8048.86428420602
960,480.0,-30073.33203125,197.4949775540565,-29875.837053695945,7957.759805015453
970,485.0,-30072.390625,194.688440702744,-29877.702184297257,7844.674670278007
980,490.0,-30077.384765625,206.21472656242702,-29871.170039062574,8309.108831851549
990,495.0,-30076.056640625,208.78543918160662,-29867.271201443393,8412.691787755093
1000,500.0,-30078.8203125,212.77064408302726,-29866.049668416974,8573.269559261184
1010,505.0,-30084.396484375,216.53440660005376,-29867.862077774946,8724.924646618629
1020,510.0,-30077.0390625,212.0895073750313,-29864.949555124967,8545.824191365045
1030,515.0,-30073.59765625,210.94080843241898,-29862.65684781758,8499.539114211211
1040,520.0,-30069.80859375,211.30330678694438,-29858.505286963056,8514.145434183256
1050,525.0,-30069.08984375,212.84013597858547,-29856.249707771414,8576.069629521684
1060,530.0,-30054.91015625,204.78139305551736,-29850.128763194483,8251.354837751393
1070,535.0,-30070.927734375,229.54559482362717,-29841.382139551373,9249.190690967544
1080,540.0,-30081.12109375,244.33953124040787,-29836.781562509594,9845.289862872758
1090,545.0,-30056.373046875,238.1023906052484,-29818.270656269753,9593.9737653223
1100,550.0,-30051.095703125,237.34264386689995,-29813.7530592581,9563.360925789377
1110,555.0,-30049.529296875,243.48333291414198,-29806.04596396086,9810.790653271262
1120,560.0,-30036.41015625,251.64910959203746,-29784.76104665796,10139.81820743427
1130,565.0,-30048.48828125,275.44605709121186,-29773.042224158788,11098.680020713346
1140,570.0,-30021.890625,273.29020446208096,-29748.600420537918,11011.813217262918
1150,575.0,-30027.63671875,298.44907941892313,-29729.187639331078,12025.551826469673
1160,580.0,-30014.552734375,303.4908558194324,-29711.061878555567,12228.702539883974
1170,585.0,-30029.466796875,332.28127777526527,-29697.185519099734,13388.768813198962
1180,590.0,-30000.56640625,306.41045835561977,-29694.155947894382,12346.343484463103
1190,595.0,-30027.95703125,330.45035786820733,-29697.50667338179,13314.994679684096
1200,600.0,-30019.162109375,332.35685694378594,-29686.805252431215,13391.814160867034
1210,605.0,-29995.375,321.6029802833283,-29673.77201971667,12958.503053432616
1220,610.0,-30009.984375,338.0399273167096,-29671.94444768329,13620.80483973302
1230,615.0,-29988.99609375,321.94542387799595,-29667.050669872006,12972.301297351934
1240,620.0,-30001.841796875,341.65068030523776,-29660.191116569764,13766.294640809527
1250,625.0,-29989.42578125,343.343435443469,-29646.08234580653,13834.50163506113
1260,630.0,-29995.2421875,368.72692835092494,-29626.515259149077,14857.290883028507
1270,635.0,-29999.169921875,387.56749388742,-29611.60242798758,15616.442821912842
1280,640.0,-29998.611328125,389.6514517473583,-29608.95987637764,15700.412734963535
1290,645.0,-29976.439453125,386.9358487767363,-29589.503604348265,15590.991642672307
1300,650.0,-29960.673828125,398.2065471669729,-29562.467280958026,16045.127295816845
1310,655.0,-29962.142578125,394.63254511820884,-29567.51003300679,15901.118317973785
1320,660.0,-29954.85546875,397.63603595003656,-29557.219432799964,16022.13941386322
1330,665.0,-29959.908203125,417.4144822340681,-29542.493720890932,16819.081831305928
1340,670.0,-29974.16796875,431.3688093084867,-29542.799159441514,17381.350221490447
1350,675.0,-29975.884765625,456.0667319651325,-29519.818033659867,18376.51545869574
1360,680.0,-29924.51953125,409.8409094173025,-29514.678621832696,16513.91623120798
1370,685.0,-29959.328125,459.7400132941326,-29499.588111705867,18524.524744169496
1380,690.0,-29953.052734375,456.94969778156093,-29496.10303659344,18412.09322361006
1390,695.0,-29942.802734375,462.70509505224834,-29480.09763932275,18643.99820483945
1400,700.0,-29934.1640625,455.6692454605695,-29478.49481703943,18360.49934442174
1410,705.0,-29938.0390625,468.70548882955086,-29469.33357367045,18885.77494775542
1420,710.0,-29951.296875,488.8193041798909,-29462.47757082011,19696.23055175491
1430,715.0,-29955.08203125,504.6360842852461,-29450.445946964755,20333.543654730973
1440,720.0,-29959.7421875,519.5321917132583,-29440.209995786743,20933.75965217011
1450,725.0,-29949.673828125,508.04989435356975,-29441.62393377143,20471.097940313895
1460,730.0,-29952.03125,526.2928523041869,-29425.73839769581,21206.17019026148
1470,735.0,-29937.515625,525.3060712190384,-29412.209553780962,21166.409346958033
1480,740.0,-29923.51171875,526.3562213285585,-29397.15549742144,21208.723548738097
1490,745.0,-29924.01953125,546.0769856887115,-29377.942545561287,22003.341760770618
1500,750.0,-29920.91796875,549.363609755574,-29371.554358994425,22135.771279826695
1510,755.0,-29904.58984375,544.5113549615522,-29360.078488788447,21940.25705135478
1520,760.0,-29895.78515625,548.2846162939757,-29347.500539956025,22092.29487903452
1530,765.0,-29924.00390625,577.9869214026855,-29346.016984847316,23289.104097363637
1540,770.0,-29893.779296875,568.055010376308,-29325.72428649869,22888.91284525413
1550,775.0,-29895.86328125,570.6081496206959,-29325.255131629303,22991.787708742933
1560,780.0,-29923.724609375,599.6255386880332,-29324.099070686967,24160.99927668444
1570,785.0,-29921.203125,610.1101619157951,-29311.092963084204,24583.461226481508
1580,790.0,-29906.630859375,609.9053621728053,-29296.725497202195,24575.20913226106
1590,795.0,-29889.404296875,603.5962188715185,-29285.80807800348,24320.991796767958
1600,800.0,-29887.556640625,628.917092425299,-29258.639548199702,25341.25789309945
1610,805.0,-29898.150390625,675.9097083697833,-29222.24068225522,27234.753894501257
1620,810.0,-29869.099609375,663.5516083754229,-29205.548000999577,26736.8030472471
1630,815.0,-29917.3984375,770.2250617740574,-29147.173375725943,31035.047641773534
1640,820.0,-29876.478515625,756.4593013793234,-29120.019214245676,30480.37725920796
1650,825.0,-29888.203125,790.909817081884,-29097.293307918117,31868.508403175165
1660,830.0,-29882.087890625,803.8713886567543,-29078.216501968247,32390.77522011284
1670,835.0,-29876.123046875,826.8301791653442,-29049.292867709657,33315.86477197762
1680,840.0,-29873.7109375,871.8760713773146,-29001.834866122685,35130.920500811844
1690,845.0,-29865.59375,889.4134410090854,-28976.180308990915,35837.562142385774
1700,850.0,-29879.484375,938.9691360510342,-28940.515238948967,37834.33351854132
1710,855.0,-29839.23046875,949.8082831690283,-28889.42218558097,38271.0804693979
1720,860.0,-29838.083984375,992.005541978951,-28846.07844239605,39971.35484699581
1730,865.0,-29840.517578125,1032.0168578289786,-28808.500720296022,41583.54997702122
1740,870.0,-29850.10546875,1061.8758635476338,-28788.229605202367,42786.67320814544
1750,875.0,-29820.791015625,1039.0967102715326,-28781.694305353467,41868.82186540317
1760,880.0,-29806.875,1042.9858421185759,-28763.889157881425,42025.528519274085
1770,885.0,-29793.724609375,1089.3624695437654,-28704.362139831235,43894.20419997759
1780,890.0,-29791.4296875,1087.657639434394,-28703.772048065606,43825.51066312538
1790,895.0,-29811.087890625,1147.8800264994986,-28663.207864125503,46252.080174330295
