condition,velocity_seed,test_config_index,drift_ev_per_atom_mev,drift_fraction_pct,plateau_temperature_mean,plateau_temperature_std
water_absolute,0,1,-0.4198711388312404,-0.00026848064032967777,5034.108722031705,213.3187331073416
water_absolute,0,2,-0.037965480278974915,-2.4274496414563998e-05,4929.658470257328,209.14571730793946
water_absolute,0,3,-0.28081969683550295,-0.00017959530450258957,5010.123057016839,190.57817871747167
water_absolute,0,4,-0.26295361997578465,-0.00016822151036739968,5341.592959014861,194.8217547292813
water_absolute,0,5,-0.2250740704615358,-0.00014394007238755798,5013.347904835912,192.01799174452248
water_absolute+momentum,0,1,-0.0599296391972833,-3.832299187102306e-05,5286.980864011872,226.16361483876076
water_absolute+momentum,0,2,-0.07688628873362784,-4.916292186337331e-05,5359.965488475627,232.99598802407283
water_absolute+momentum,0,3,-0.2779770749725685,-0.00017778406687873045,5457.361639920381,212.60889073070896
water_absolute+momentum,0,4,-0.26281355413478497,-0.000168148701932475,5628.261377676625,230.91174166110636
water_absolute+momentum,0,5,-0.31940228554579636,-0.00020427043606098747,5144.357186188678,224.2018095650119
