step,time_fs,epot_ev,ekin_ev,etot_ev,temperature_k
0,0.0,-30016.8125,7.539865744113628,-30009.272634255885,303.80742486120994
10,1.0,-30025.095703125,15.802356271017132,-30009.29334685398,636.7319165046337
20,2.0,-30033.83203125,24.526577601068222,-30009.305453648933,988.2611487421299
30,3.0,-30031.220703125,21.92494135644052,-30009.29576176856,883.4321723743486
40,4.0,-30029.14453125,19.850301402628194,-30009.29422984737,799.8377101819719
50,5.0,-30033.822265625,24.525788649652235,-30009.29647697535,988.2293591445208
60,6.0,-30037.130859375,27.833888466187133,-30009.296970908814,1121.5242108771172
70,7.0,-30036.267578125,26.97680760907936,-30009.29077051592,1086.9894410373442
80,8.0,-30035.927734375,26.635280269656832,-30009.292454105343,1073.2281162298486
90,9.0,-30037.796875,28.516926707941533,-30009.27994829206,1149.0461981845353
100,10.0,-30040.1171875,30.833793345285336,-30009.283394154714,1242.4008162541995
110,11.0,-30042.677734375,33.376297722205294,-30009.301436652793,1344.8471639300112
120,12.0,-30043.134765625,33.859705044093644,-30009.275060580905,1364.3253268849164
130,13.0,-30048.697265625,39.38771680726795,-30009.30954881773,1587.068154856835
140,14.0,-30047.703125,38.39550520571294,-30009.307619794286,1547.0884971525606
150,15.0,-30047.1171875,37.831254061056526,-30009.285933438943,1524.3528552922419
160,16.0,-30050.458984375,41.15763676375006,-30009.30134761125,1658.3843881212122
170,17.0,-30053.341796875,44.035606804406314,-30009.306190070594,1774.34781460027
180,18.0,-30053.62890625,44.33138831056994,-30009.29751793943,1786.2658806187924
190,19.0,-30054.88671875,45.59626512858553,-30009.290453621416,1837.2321685991803
200,20.0,-30060.138671875,50.830853516178124,-30009.307818358822,2048.1519478385458
210,21.0,-30062.66796875,53.361603382648596,-30009.306365367353,2150.1246653899816
220,22.0,-30062.517578125,53.230707429247275,-30009.286870695752,2144.850411991152
230,23.0,-30063.150390625,53.85021987920858,-30009.30017074579,2169.8127241170864
240,24.0,-30062.845703125,53.542782786308784,-30009.30292033869,2157.4250139547903
250,25.0,-30061.068359375,51.78760964402181,-30009.280749730977,2086.7029811440525
260,26.0,-30064.3125,55.01009140147333,-30009.302408598527,2216.547983378726
270,27.0,-30066.439453125,57.132253281071776,-30009.30719984393,2302.057269307692
280,28.0,-30070.20703125,60.89022195043047,-30009.31680929957,2453.478902383625
290,29.0,-30066.6953125,57.39926834485557,-30009.296044155144,2312.8162352734503
300,30.0,-30066.2109375,56.900053680884554,-30009.310883819115,2292.7011395063414
310,31.0,-30067.84765625,58.54232388296157,-30009.30533236704,2358.8739200241953
320,32.0,-30068.052734375,58.768703504915166,-30009.284030870083,2367.995542652618
330,33.0,-30075.26953125,65.95832227671589,-30009.311208973286,2657.690298358294
340,34.0,-30078.60546875,69.29569865425381,-30009.309770095748,2792.1648045978777
350,35.0,-30075.486328125,66.2022147377108,-30009.28411338729,2667.5175742054503
360,36.0,-30078.1484375,68.82979249111304,-30009.318645008887,2773.3918242220307
370,37.0,-30071.17578125,61.88829645337922,-30009.28748479662,2493.6947967842934
380,38.0,-30074.50390625,65.18301493829065,-30009.32089131171,2626.450468107091
390,39.0,-30077.46484375,68.15659398752469,-30009.308249762475,2746.2663142014753
400,40.0,-30074.046875,64.74825905294293,-30009.298615947057,2608.9326408070674
410,41.0,-30079.67578125,70.38013232110023,-30009.2956489289,2835.8604101880196
420,42.0,-30078.720703125,69.41736701059435,-30009.303336114404,2797.0672460048445
430,43.0,-30079.7109375,70.41265413596537,-30009.298283364034,2837.1708272645706
440,44.0,-30081.5703125,72.27068732609158,-30009.29962517391,2912.0374492915735
450,45.0,-30083.400390625,74.08543851902841,-30009.31495210597,2985.1600890574578
460,46.0,-30083.404296875,74.09817415215328,-30009.306122722846,2985.6732520281194
470,47.0,-30079.560546875,70.25956796482673,-30009.300978910174,2831.002452784985
