step,time_fs,epot_ev,ekin_ev,etot_ev,temperature_k
0,0.0,-30020.173828125,7.720488771291386,-30012.45333935371,311.0853550816985
10,1.0,-30022.658203125,10.198688251422231,-30012.45951487358,410.940634724937
20,2.0,-30024.666015625,12.211177258971318,-30012.45483836603,492.0308190458325
30,3.0,-30029.078125,16.629837791181572,-30012.44828720882,670.0740260717254
40,4.0,-30031.431640625,18.985840918557862,-30012.445799706442,765.0055894953779
50,5.0,-30031.46875,19.01283260516952,-30012.45591739483,766.0931784631988
60,6.0,-30031.837890625,19.383814271204955,-30012.454076353795,781.0413205726172
70,7.0,-30032.90625,20.457496472426158,-30012.448753527573,824.3037122043233
80,8.0,-30033.447265625,20.99837619058723,-30012.448889434414,846.0976379731554
90,9.0,-30034.322265625,21.864128446311117,-30012.458137178688,880.9818086342311
100,10.0,-30035.853515625,23.395319339485,-30012.458196285515,942.6788173096528
110,11.0,-30036.396484375,23.94922784389056,-30012.447256531108,964.9977182083267
120,12.0,-30036.6796875,24.226634917255936,-30012.453052582743,976.1754143978397
130,13.0,-30037.7890625,25.335612737132784,-30012.453449762867,1020.8599893119241
140,14.0,-30039.0078125,26.568315130670022,-30012.43949736933,1070.5298577831463
150,15.0,-30040.697265625,28.245118498052214,-30012.452147126947,1138.094099685026
160,16.0,-30041.056640625,28.54923870015767,-30012.507401924842,1150.3481607765063
170,17.0,-30042.30078125,29.834810355152474,-30012.46597089485,1202.1483157439143
180,18.0,-30038.662109375,26.20212290502553,-30012.459986469974,1055.7746988913448
190,19.0,-30039.01953125,26.568647895112683,-30012.450883354886,1070.543266020354
200,20.0,-30037.673828125,25.226347103932525,-30012.447481021067,1016.4572967740211
210,21.0,-30037.63671875,25.177400079225265,-30012.459318670775,1014.4850508434432
220,22.0,-30039.228515625,26.78948767870937,-30012.43902794629,1079.441669286194
230,23.0,-30038.140625,25.692402189156255,-30012.448222810843,1035.2362777387461
240,24.0,-30038.044921875,25.58901248198458,-30012.455909393015,1031.070346705093
250,25.0,-30038.99609375,26.52157489851046,-30012.47451885149,1068.646531202577
260,26.0,-30036.4453125,23.999759228732493,-30012.445553271267,967.0338035213156
270,27.0,-30037.025390625,24.56346574954565,-30012.461924875453,989.7475005920384
280,28.0,-30037.603515625,25.147247966198286,-30012.456267658803,1013.270117299036
290,29.0,-30038.908203125,26.468006413502017,-30012.440196711497,1066.488070556665
300,30.0,-30039.404296875,26.942474005503147,-30012.461822869496,1085.6060206897291
310,31.0,-30037.25,24.803951268306697,-30012.446048731694,999.4374988825577
320,32.0,-30038.58203125,26.124637256173806,-30012.457393993827,1052.6525324973713
330,33.0,-30041.2109375,28.761989698595585,-30012.448947801404,1158.9206387443714
340,34.0,-30045.138671875,32.674536165821735,-30012.46413570918,1316.5707491307253
350,35.0,-30044.263671875,31.812943422780922,-30012.45072845222,1281.854179708161
360,36.0,-30045.73046875,33.28668525308201,-30012.443783496918,1341.2363657535248
370,37.0,-30044.953125,32.50988132535635,-30012.443243674643,1309.9362327122103
380,38.0,-30043.587890625,31.1397959676496,-30012.44809465735,1254.7307266075559
390,39.0,-30044.78125,32.327772393203745,-30012.453477606796,1302.5984302102622
400,40.0,-30045.298828125,32.842817514384414,-30012.456010610615,1323.351390178467
410,41.0,-30045.94921875,33.49046377539459,-30012.458754974607,1349.447311439678
420,42.0,-30047.16796875,34.712706001657935,-30012.455262748343,1398.6957033765761
430,43.0,-30046.919921875,34.47757414249932,-30012.4423477325,1389.2214226588358
440,44.0,-30049.77734375,37.33952909294713,-30012.437814657053,1504.5395454308687
450,45.0,-30050.212890625,37.7594335902907,-30012.45345703471,1521.4589586346362
460,46.0,-30050.5078125,38.03759763166876,-30012.470214868332,1532.667155699157
470,47.0,-30045.408203125,32.973694898544764,-30012.434508226455,1328.6248953579684
480,48.0,-30047.353515625,34.90081011036861,-30012.45270551463,1406.2750724015245
490,49.0,-30047.28515625,34.82394135671046,-30012.46121489329,1403.177762861311
500,50.0,-30050.45703125,37.97493965729292,-30012.48209159271,1530.1424479008776
510,51.0,-30048.736328125,36.28504588884506,-30012.451282236154,1462.05074819363
520,52.0,-30049.787109375,37.32899903255456,-30012.458110342446,1504.1152526596086
530,53.0,-30048.353515625,35.89027460593117,-30012.463241019068,1446.1440396471469
540,54.0,-30045.91015625,33.461379682109126,-30012.44877656789,1348.2754121266994
550,55.0,-30046.10546875,33.65063856305151,-30012.454830186947,1355.9013109427503
560,56.0,-30045.84375,33.39048034211008,-30012.45326965789,1345.418631032648
570,57.0,-30045.22265625,32.76223949674611,-30012.460416753253,1320.1046214865676
580,58.0,-30044.404296875,31.9401293460462,-30012.464167528953,1286.9789430842177
590,59.0,-30045.208984375,32.75211786514777,-30012.456866509852,1319.6967857325042
600,60.0,-30046.0,33.5277248012699,-30012.47227519873,1350.9486878173282
610,61.0,-30045.453125,32.988487947157644,-30012.464637052843,1329.2209587571654
620,62.0,-30048.349609375,35.88410198671233,-30012.465507388286,1445.8953233419543
630,63.0,-30046.767578125,34.32090386621543,-30012.446674258783,1382.9086321124971
640,64.0,-30047.033203125,34.57241100954205,-30012.460792115457,1393.0427300051438
650,65.0,-30046.91015625,34.4542285955299,-30012.45592765447,1388.2807493434927
660,66.0,-30046.19140625,33.730952423161895,-30012.46045382684,1359.1374358087467
670,67.0,-30047.982421875,35.52076629369586,-30012.461655581305,1431.255264088688
680,68.0,-30049.3828125,36.909346297118006,-30012.473466202882,1487.2059838190492
690,69.0,-30050.705078125,38.23480470056393,-30012.470273424435,1540.6133146625632
700,70.0,-30049.54296875,37.08632450743417,-30012.456644242568,1494.3370516864943
710,71.0,-30050.208984375,37.75348685021194,-30012.45549752479,1521.219343785916
720,72.0,-30048.166015625,35.713113235911464,-30012.45290238909,1439.0055916379645
730,73.0,-30048.697265625,36.25216964726671,-30012.445095977735,1460.7260500316193
740,74.0,-30048.203125,35.7551249559701,-30012.44800004403,1440.698390013714
750,75.0,-30047.544921875,35.09033771915598,-30012.454584155843,1413.9117991974554
760,76.0,-30050.033203125,37.577618705916095,-30012.455584419084,1514.133004340767
770,77.0,-30049.275390625,36.8212914363003,-30012.4540991887,1483.6579471006996
780,78.0,-30047.578125,35.12984542819682,-30012.448279571803,1415.503702256901
790,79.0,-30047.63671875,35.16321428193035,-30012.47350446807,1416.8482494766267
800,80.0,-30045.189453125,32.740225757662714,-30012.44922736734,1319.2176113448133
810,81.0,-30046.97265625,34.513089163315016,-30012.459567086684,1390.6524464176252
820,82.0,-30046.490234375,34.05496493277893,-30012.43526944222,1372.1930271826936
830,83.0,-30048.447265625,35.9968338475644,-30012.450431777437,1450.4376822522597
840,84.0,-30046.966796875,34.51700983001908,-30012.44978704498,1390.8104237206069
850,85.0,-30044.0859375,31.631148165543614,-30012.454789334457,1274.5290162599435
860,86.0,-30045.041015625,32.58578457917052,-30012.45523104583,1312.9946389043726
870,87.0,-30045.943359375,33.49149643934149,-30012.451862935657,1349.4889210631254
880,88.0,-30045.05078125,32.58743413781162,-30012.46334711219,1313.0611053614577
890,89.0,-30044.138671875,31.67612368214844,-30012.462548192852,1276.3412363107027
900,90.0,-30045.4140625,32.9666845505528,-30012.447377949447,1328.3424240457327
910,91.0,-30045.84375,33.39472812482942,-30012.44902187517,1345.5897889780451
920,92.0,-30047.2421875,34.78037565880301,-30012.461811841196,1401.4223493111588
930,93.0,-30048.37109375,35.92491055596107,-30012.44618319404,1447.5396425853585
940,94.0,-30048.755859375,36.28265774553612,-30012.473201629466,1461.9545215904632
950,95.0,-30047.5859375,35.14410332584033,-30012.44183417416,1416.0782025615504
960,96.0,-30047.515625,35.07398043232562,-30012.441644567676,1413.2527071979025
970,97.0,-30046.6171875,34.16827953796657,-30012.448907962033,1376.7588668898659
980,98.0,-30046.953125,34.48923241932337,-30012.463892580676,1389.69117519561
990,99.0,-30047.853515625,35.39336964471208,-30012.460145980287,1426.1220098402387
1000,100.0,-30047.46875,35.01952734434535,-30012.449222655654,1411.0586028203886
1010,101.0,-30048.03125,35.574924293602336,-30012.456325706396,1433.4374783409862
1020,102.0,-30049.056640625,36.60019009347083,-30012.45645053153,1474.7490047033077
1030,103.0,-30047.103515625,34.65541540413854,-30012.448100220863,1396.3872658669673
1040,104.0,-30047.900390625,35.44664770212575,-30012.453742922873,1428.2687681478506
1050,105.0,-30046.91796875,34.466709025972186,-30012.45125972403,1388.7836293101277
1060,106.0,-30046.322265625,33.8692823570065,-30012.452983267995,1364.7112301452519
1070,107.0,-30049.375,36.90055781895932,-30012.47444218104,1486.8518654556121
1080,108.0,-30045.982421875,33.54000619844717,-30012.442415676553,1351.443548041204
1090,109.0,-30048.716796875,36.2469972562215,-30012.46979961878,1460.5176363997123
1100,110.0,-30049.71875,37.25148860128586,-30012.467261398713,1500.9920876958276
1110,111.0,-30047.798828125,35.335201506777295,-30012.463626618224,1423.778213174
1120,112.0,-30048.4375,35.97518336499822,-30012.462316635003,1449.5653089794903
1130,113.0,-30048.416015625,35.9667047523399,-30012.44931087266,1449.2236761752017
1140,114.0,-30047.67578125,35.226540444845114,-30012.449240805156,1419.399880916019
1150,115.0,-30049.466796875,36.99638133091395,-30012.470415544085,1490.7129281583295
1160,116.0,-30044.546875,32.11174206710029,-30012.4351329329,1293.8938167207373
1170,117.0,-30047.74609375,35.28970546070103,-30012.456388289298,1421.9450191797187
1180,118.0,-30045.140625,32.684348960121326,-30012.45627603988,1316.9661407554606
1190,119.0,-30046.748046875,34.278294866796315,-30012.469752008205,1381.1917672731543
1200,120.0,-30046.47265625,34.00903424435275,-30012.463622005645,1370.34231993585
1210,121.0,-30049.5,37.04708429884795,-30012.452915701153,1492.7559271511
1220,122.0,-30048.720703125,36.27044723456842,-30012.45025589043,1461.462517618611
1230,123.0,-30049.6015625,37.15406175930732,-30012.44750074069,1497.0664212478584
1240,124.0,-30049.447265625,36.99516603674061,-30012.45209958826,1490.66395972762
1250,125.0,-30053.3828125,40.90905239491836,-30012.47376010508,1648.3680589823987
1260,126.0,-30052.333984375,39.882819750991544,-30012.45116462401,1607.0175751089528
1270,127.0,-30049.27734375,36.81691499698775,-30012.460428753013,1483.4816051335174
1280,128.0,-30050.251953125,37.774312077416866,-30012.477641047582,1522.0584646488064
1290,129.0,-30050.623046875,38.17438191314456,-30012.448664961856,1538.1786703238167
1300,130.0,-30051.37890625,38.925474880579415,-30012.45343136942,1568.4428193169065
1310,131.0,-30051.11328125,38.64995731288852,-30012.46332393711,1557.3412578853197
1320,132.0,-30050.623046875,38.159230779821826,-30012.46381609518,1537.5681784457483
1330,133.0,-30049.947265625,37.485159577413,-30012.462106047587,1510.4075043532682
1340,134.0,-30049.521484375,37.064928496907754,-30012.456555878092,1493.474931977611
1350,135.0,-30049.205078125,36.74967989263007,-30012.45539823237,1480.7724688427118
1360,136.0,-30049.056640625,36.610449847804716,-30012.446190777195,1475.162405902967
1370,137.0,-30051.19140625,38.723522085505735,-30012.467884164493,1560.3054385336004
1380,138.0,-30052.95703125,40.50108208523058,-30012.45594916477,1631.9295157228134
1390,139.0,-30053.85546875,41.387663541138764,-30012.46780520886,1667.652967331942
1400,140.0,-30050.375,37.91649922486235,-30012.458500775138,1527.787679541989
1410,141.0,-30048.609375,36.14432371760992,-30012.46505128239,1456.3805622891655
1420,142.0,-30051.30078125,38.845055043558446,-30012.45572620644,1565.2024242724492
1430,143.0,-30054.720703125,42.26031847684966,-30012.46038464815,1702.8152709867159
1440,144.0,-30056.40625,43.9524416781235,-30012.453808321876,1770.9968022995583
1450,145.0,-30054.52734375,42.08314490134411,-30012.444198848654,1695.6763311760415
1460,146.0,-30054.642578125,42.189961690480246,-30012.45261643452,1699.9803512661506
1470,147.0,-30053.42578125,40.96509585348724,-30012.460685396512,1650.6262449244255
1480,148.0,-30054.146484375,41.68138677841078,-30012.46509759659,1679.488098535329
1490,149.0,-30053.095703125,40.65518267710611,-30012.440520447894,1638.13876474344
1500,150.0,-30053.5703125,41.118729126893136,-30012.451583373106,1656.8166640579334
1510,151.0,-30051.693359375,39.237713444946294,-30012.455645930055,1581.0239974707379
1520,152.0,-30053.6953125,41.241093971353735,-30012.454218528645,1661.747169394602
1530,153.0,-30052.822265625,40.36653630272616,-30012.455729322275,1626.5081980102912
1540,154.0,-30056.541015625,44.06916433485365,-30012.471851290145,1775.6999642612725
1550,155.0,-30054.341796875,41.87339120001603,-30012.468405674983,1687.2246247374565
1560,156.0,-30053.498046875,41.050404091927376,-30012.447642783074,1654.0636106706493
1570,157.0,-30057.626953125,45.139675175612176,-30012.48727794939,1818.8345707455805
1580,158.0,-30056.982421875,44.526325689107416,-30012.45609618589,1794.1205858605801
1590,159.0,-30056.677734375,44.226017938623684,-30012.451716436375,1782.020141709893
1600,160.0,-30058.38671875,45.914785299493644,-30012.471933450506,1850.0664545366315
1610,161.0,-30056.9609375,44.5004589993499,-30012.46047850065,1793.0783269303004
1620,162.0,-30055.146484375,42.695459951237154,-30012.451024423764,1720.3486350107614
1630,163.0,-30057.3125,44.847595307329,-30012.46490469267,1807.065656596653
1640,164.0,-30055.69921875,43.221124512770444,-30012.47809423723,1741.5294891798032
1650,165.0,-30054.431640625,41.96927619121602,-30012.462364433784,1691.0881646528787
1660,166.0,-30052.890625,40.43066205338913,-30012.45996294661,1629.0920476221252
1670,167.0,-30054.892578125,42.43298547202613,-30012.459592652973,1709.7726249958428
1680,168.0,-30053.736328125,41.27404164289843,-30012.462286482103,1663.0747457184884
1690,169.0,-30053.861328125,41.41531671448962,-30012.44601141051,1668.7672099020465
1700,170.0,-30055.654296875,43.19785330890679,-30012.456443566094,1740.5918114068593
1710,171.0,-30052.6328125,40.20790964479711,-30012.424902855204,1620.116578040481
1720,172.0,-30055.123046875,42.65392559339648,-30012.469121281603,1718.6750712196965
1730,173.0,-30053.2421875,40.76731251546643,-30012.474874984535,1642.65686607289
1740,174.0,-30053.681640625,41.23284133550092,-30012.448799289497,1661.4146419820659
1750,175.0,-30054.837890625,42.36871886409377,-30012.469171760906,1707.1830997545294
1760,176.0,-30054.466796875,42.01689573116188,-30012.44990114384,1693.0069216036006
1770,177.0,-30056.763671875,44.300821576246314,-30012.462850298754,1785.0342405397198
1780,178.0,-30057.267578125,44.79792190179195,-30012.46965622321,1805.064142255091
1790,179.0,-30054.685546875,42.229675698536624,-30012.455871176462,1701.5805668307241
1800,180.0,-30054.875,42.42035734274198,-30012.45464265726,1709.2637937289694
1810,181.0,-30058.42578125,45.94144478984366,-30012.484336460155,1851.1406581612348
1820,182.0,-30058.59375,46.117870122889315,-30012.47587987711,1858.2494486797832
1830,183.0,-30054.423828125,41.9742345403042,-30012.449593584697,1691.2879537896044
1840,184.0,-30055.98828125,43.52875036424442,-30012.459530885757,1753.924805081815
1850,185.0,-30057.609375,45.13645184505643,-30012.472923154943,1818.7046915423093
1860,186.0,-30056.607421875,44.175580930377095,-30012.431840944624,1779.9878591583022
1870,187.0,-30057.80078125,45.332237001632976,-30012.468544248368,1826.5935567110303
1880,188.0,-30054.841796875,42.37998666206384,-30012.461810212935,1707.6371185396538
1890,189.0,-30056.771484375,44.31466866305971,-30012.45681571194,1785.5921878466586
1900,190.0,-30057.263671875,44.81358260572649,-30012.450089269274,1805.695166506097
1910,191.0,-30057.4921875,45.00720273085604,-30012.484984769144,1813.4967950248588
1920,192.0,-30054.1328125,41.67196085398643,-30012.460851646014,1679.108295243933
1930,193.0,-30052.41796875,39.97767517588116,-30012.44029357412,1610.8396302154813
1940,194.0,-30057.451171875,44.983281087070495,-30012.467890787928,1812.5329087643368
1950,195.0,-30057.923828125,45.473147049763014,-30012.450681075235,1832.2713128292844
1960,196.0,-30056.11328125,43.667253194117585,-30012.44602805588,1759.5055660008816
1970,197.0,-30054.609375,42.152550417965486,-30012.456824582034,1698.4729209286327
1980,198.0,-30055.810546875,43.3289554035489,-30012.481591471453,1745.874370953523
1990,199.0,-30055.01171875,42.55368841514985,-30012.45803033485,1714.636166545268
2000,200.0,-30056.193359375,43.72884289040334,-30012.464516484597,1761.98722915797
2010,201.0,-30057.228515625,44.763609100623746,-30012.464906524376,1803.6815601088736
2020,202.0,-30054.17578125,41.72557120022384,-30012.450210049778,1681.2684426244114
2030,203.0,-30054.267578125,41.80680361704944,-30012.460774507952,1684.5415793364682
2040,204.0,-30057.3125,44.85164457926844,-30012.46085542073,1807.2288158520341
2050,205.0,-30058.666015625,46.18262922096918,-30012.48338640403,1860.8588180626982
2060,206.0,-30058.826171875,46.35977757816465,-30012.466394296836,1867.9967417399157
2070,207.0,-30058.884765625,46.42611608635477,-30012.458649538647,1870.6697510515346
2080,208.0,-30059.734375,47.27088144288556,-30012.463493557116,1904.708286522799
2090,209.0,-30060.20703125,47.7421711503918,-30012.464860099608,1923.6981886325075
2100,210.0,-30061.70703125,49.24971430202318,-30012.457316947977,1984.4423475217882
2110,211.0,-30061.1640625,48.70778922436462,-30012.456273275635,1962.6063005816031
2120,212.0,-30064.4453125,51.98411805687735,-30012.461194443124,2094.6209888247345
2130,213.0,-30064.1171875,51.65615064906453,-30012.461036850935,2081.4060408419
2140,214.0,-30064.44921875,52.005036360878606,-30012.44418238912,2095.4638600755984
2150,215.0,-30062.1796875,49.71509990619552,-30012.464587593804,2003.1943527655762
2160,216.0,-30061.58984375,49.1386396867279,-30012.451204063273,1979.966764801147
2170,217.0,-30061.783203125,49.31816177618607,-30012.465041348813,1987.2003344103368
2180,218.0,-30065.478515625,53.003165810707024,-30012.475349814293,2135.6819684772295
2190,219.0,-30061.50390625,49.02481168426517,-30012.479094565733,1975.380238531459
2200,220.0,-30063.203125,50.75440760611269,-30012.448717393887,2045.0716761379147
2210,221.0,-30061.912109375,49.466707923241046,-30012.445401451758,1993.185775523139
2220,222.0,-30062.283203125,49.80306062552205,-30012.480142499477,2006.7385961956925
2230,223.0,-30058.423828125,45.95399526734931,-30012.469832857652,1851.646360567773
2240,224.0,-30059.638671875,47.1820251370182,-30012.45664673798,1901.12795679487
2250,225.0,-30063.2734375,50.79414307301178,-30012.479294426987,2046.6727563539243
2260,226.0,-30060.435546875,47.999609029293595,-30012.435937845705,1934.0712564967394
2270,227.0,-30064.462890625,51.99411237822905,-30012.46877824677,2095.023694806
2280,228.0,-30057.01171875,44.570181732842926,-30012.441537017155,1795.8876984543672
2290,229.0,-30061.427734375,48.96259745952205,-30012.465136915478,1972.8734109498541
2300,230.0,-30062.21875,49.7696899438286,-30012.449060056173,2005.3939753211014
2310,231.0,-30062.326171875,49.85783639439991,-30012.4683354806,2008.9457025092986
2320,232.0,-30062.49609375,50.046959746982495,-30012.449134003018,2016.566140416179
2330,233.0,-30060.23046875,47.78612053153953,-30012.44434821846,1925.4690621153889
2340,234.0,-30062.1953125,49.73854964191692,-30012.456762858084,2004.1392242082484
2350,235.0,-30062.173828125,49.71799473877137,-30012.45583338623,2003.3109956422693
2360,236.0,-30060.365234375,47.902679006395076,-30012.462555368606,1930.1656086181245
2370,237.0,-30059.564453125,47.10543739902177,-30012.459015725977,1898.0419703534262
2380,238.0,-30058.46875,46.00665740235746,-30012.46209259764,1853.7683012186405
2390,239.0,-30059.83203125,47.369952111924164,-30012.462079138077,1908.7001884825113
2400,240.0,-30059.365234375,46.90337682128714,-30012.461857553713,1889.900246631694
2410,241.0,-30059.443359375,47.011209521226945,-30012.432149853772,1894.2452013028194
2420,242.0,-30061.1796875,48.712033269208995,-30012.46765423079,1962.7773079150124
2430,243.0,-30059.390625,46.92970600730192,-30012.4609189927,1890.9611411453777
2440,244.0,-30061.060546875,48.59964803051116,-30012.46089884449,1958.2489156173303
